ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 22, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5668.2 at 2015-05-22T16:37:06. Report at Friday, May 22, 2015. Processed Saturday at 2015-05-23T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,38.881,.377,1.033,.153,.38,17.05,24.60,26.3,17.00,1.45,2.62,f,1300 Smiles,,6.48,+2,6.45,6.60,6.60,6.45,+1.39,7.00,5.70,,
TIX,1499.06,16.845,9.791,.373,2.19,1.15,48.68,5.2,19.58,2.49,7.80,,360 Capital Indust,,2.51,-1,2.51,2.56,2.56,2.48,+.68,2.79,2.17,,
TGP,2510.66,23.308,19.719,.279,-,-,15.09,7.4,5.52,2.73,4.93,,360 Capital Grp,,1.12,+1,1.09,1.145,1.125,1.085,+1.98,1.41,.755,,
TOF,216.180,10.490,3.700,.165,2.10,1.01,4.70,45.1,17.00,.28,8.02,,360 Capital Office,,2.12,-1,2.09,2.18,2.15,2.08,+.61,2.24,1.925,,
TOT,86.019,1.017,-,.050,-,-,-,-,-,-,-,,360 Capital Total Re,,1.25,-,1.25,1.265,1.25,1.20,+1.08,1.35,1.20,,
3DM,9226.43,306.271,34.055,.026,.01,13.00,-.24,-,-,-,-,,3D Medical,†,.13,-.5,.125,.13,.145,.12,-2.62,.195,.001,,
3PL,495.055,14.672,-,.342,.10,25.40,-2.29,-,-,-,-,,3P Learning,,2.54,-13,2.54,2.56,2.68,2.53,-3.79,2.85,1.94,,
8CO,72.000,.907,-,.003,-,-,-.61,-,-,-,-,,8common,,.18,-1.5,.175,.235,.195,.18,-6.61,.295,.145,,
8IH,882.389,15.106,-,.339,-,-,-,-,-,-,-,,8I Hldgs,,.95,-5,.91,.95,1.05,.95,-3.92,1.13,.25,,
NNW,1315.94,33.432,20.155,.026,.04,4.25,.13,130.8,-,-,-,,99 Wuxian,,.17,-1,.165,.17,.175,.165,-4.48,.73,.15,,
AYI,-,5.000,67.643,.004,-,-,.04,2.5,-,-,-,,A1 Invest & Res,,.001,-,-,.001,.001,.001,+1.08,.002,.001,,
ABP,3405.61,67.716,62.937,1.588,2.42,1.19,24.24,11.8,17.00,1.43,5.92,,Abacus Prop,,2.87,-4,2.86,2.88,2.94,2.85,-.30,3.337,2.411,,
ALR,80.048,2.488,2.471,.071,1.30,.89,2.86,40.6,6.50,.44,5.60,f,Aberdeen Leaders,,1.16,-1.5,1.16,1.17,1.17,1.15,-.20,1.295,1.04,,
AKG,19.660,4.382,1.702,.049,-.01,-,6.20,12.7,4.50,1.38,5.70,f,Academies A'asia,,.79,-,.79,.83,.80,.77,+1.08,1.40,.645,,
ACX,20.926,4.853,-,.426,-,-,27.00,9.6,-,-,-,,Aconex,,2.59,-,2.51,2.59,2.59,2.52,+1.08,2.60,1.65,,
ACQ,972.500,7.383,2.424,.039,.92,.84,-8.05,-,-,-,-,,Acorn Capital Invest,,.775,-.5,.765,.78,.775,.76,+.44,.94,.715,,
ACQO,-,5.865,3.017,-,-,-,-,-,-,-,-,,  opt oct15,,.001,-,-,.007,.001,.001,+1.08,.037,.001,,
ACR,1428.96,62.314,154.460,.153,.09,10.22,6.01,15.3,8.00,.75,8.70,f,Acrux,,.92,+3,.91,.925,.945,.87,+4.45,2.10,.75,,
ACW,6093.65,122.937,11.188,.049,.01,8.20,-.58,-,-,-,-,,Actinogen,,.082,-.1,.081,.082,.087,.078,-.13,.15,.011,,
ACWOA,-,1.193,-,-,-,-,-,-,-,-,-,,  opt sep15,,.002,-,-,.001,.002,.002,+1.08,.006,.001,,
ACU,10375.2,69.127,-,.013,-,-,-.04,-,-,-,-,,Acuvax,†,.15,-3,.15,.16,.19,.145,-15.59,.215,.001,,
ADA,95.952,.990,.198,.047,.12,4.92,-2.60,-,.75,-,1.27,,Adacel Tech,,.59,-.5,.575,.59,.62,.58,+.24,.62,.20,,
AAU,26.667,.534,2.241,.002,-.03,-,-1.78,-,-,-,-,,Adcorp Aust,,.04,+.3,.036,.047,.04,.04,+9.19,.066,.035,,
ABC,9396.49,152.146,164.862,2.894,1.35,3.30,26.90,16.6,17.00,1.58,3.81,f,Adelaide Brighton,,4.46,-6,4.45,4.48,4.55,4.30,-.25,4.75,3.12,,
AHZ,14941.8,449.108,460.652,.137,.01,7.40,-1.22,-,-,-,-,,ADMEDUS,,.074,+.3,.073,.074,.077,.072,+5.30,.167,.067,,
ADJ,5424.45,103.854,194.035,.122,.69,.17,-1.04,-,-,-,-,,Adslot,,.115,-,.11,.115,.117,.107,+1.08,.17,.077,,
ABV,4133.69,52.428,34.009,.009,-,-,-.64,-,-,-,-,,Adv Braking Tech,,.006,-.1,.005,.006,.007,.005,-13.21,.009,.005,,
ABVO,-,.400,-,-,-,-,-,-,-,-,-,,  opt aug16,,.003,-,.001,.002,.003,.003,+1.08,.003,.002,,
ASW,104.764,.602,.322,.029,.15,4.60,3.69,18.7,3.85,.96,5.58,f,Advanced Share Reg,,.69,+5.5,.67,.69,.69,.625,+9.74,.69,.595,,
AER,144.500,3.266,-,.004,-,-,-,-,-,-,-,,Aeeris,,.22,-1.5,.21,.22,.235,.22,-5.30,.25,.19,,
AEI,1870.34,16.872,.819,.066,.01,47.00,-1.36,-,-,-,-,,Aeris Environmental,,.47,-,.47,.485,.47,.43,+1.08,.60,.087,,
AFJ,1082.02,73.627,45.401,.246,-.15,-,-2.90,-,-,-,-,,Affinity Education,,1.065,-3,1.06,1.065,1.105,1.06,-1.66,1.480,1.035,,
AFT,-,1.000,3.521,.007,-,-,-.02,-,-,-,-,,AFT Corp,,.001,-,-,.001,.001,.001,+1.08,.001,.001,,
AHA,-,9.178,12.049,.003,-,-,-.03,-,-,-,-,,AG Financial,,.01,-,.007,.015,.01,.01,+1.08,.063,.006,,
AGX,2030.29,12.795,37.742,.002,.01,1.50,.79,1.9,-,-,-,,Agenix,,.015,-,.015,.019,.019,.015,+1.08,.022,.01,,
AGXO,-,.363,.144,-,-,-,-,-,-,-,-,,  opt jun15,,.001,-,-,.002,.001,.001,+1.08,.001,.001,,
AGL,8286.16,156.399,122.397,10.242,8.49,1.79,103.90,14.6,63.00,1.65,4.15,f,AGL Energy,,15.18,+13,15.11,15.19,15.28,14.76,+1.94,15.58,12.55,,
AGJ,-,1.231,1.097,.009,.11,.86,1.76,5.4,.52,3.38,5.47,,Agricultural Land,,.095,-,.10,.105,.10,.10,+1.08,.105,.076,,
APW,1082.35,31.502,90.712,.061,-,-,5.82,2.3,.23,25.30,1.70,,AIMS Prop Sec Fund,,.135,-,.135,.14,.14,.135,+1.08,.15,.105,,
AGI,2665.90,82.545,46.045,1.006,.71,4.39,19.00,16.4,10.00,1.90,3.21,f,Ainsworth Game Tech,,3.12,-,3.10,3.15,3.18,3.01,+1.08,4.06,2.03,,
AIZ,51.126,2.526,7.118,3.006,1.45,1.85,21.72,12.3,11.15,1.95,4.16,,Air New Zealand,,2.68,-6,2.68,2.75,2.74,2.66,-1.11,2.90,1.595,,
AJL,186.025,5.045,7.389,.143,.38,1.41,-9.60,-,-,-,-,,AJ Lucas Grp,,.535,-3.5,.535,.55,.57,.48,-5.06,.94,.215,,
