ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:17 Thursday 1/4/2010. Processed 18:11 Thursday 1/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,14.922,0.37,0.028,0.061,0.08,36.3,19.23,15.1,12.5,1.54,4.31,f,1300 Smiles Ltd,,2.90,,2.82,2.90,2.90,2.81,-0.42,3.00,2.50
TQH,-,0.814,0.253,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,,0.095,0.14,0.10,0.10,-0.42,0.18,0.10
FCS,-,2.126,0.338,0.001,0.01,1.7,-2.77,-,-,-,-,,4C Sec Solution,,0.017,,0.015,0.02,0.017,0.017,-0.42,0.065,0.015
ABP,28107.6,299.188,299.279,0.725,0.60,0.7,-2.32,-,5.75,-,14.38,,Abacus Prop stp,,0.40,1,0.40,0.405,0.405,0.39,2.14,0.48,0.28
ALR,42.139,1.324,0.87,0.088,1.38,1.1,7.67,19.1,9,0.85,6.14,f,Aberdeen Leaders,,1.465,-0.5,1.45,1.465,1.47,1.41,-0.76,1.47,1.05
ACR,1623.68,25.677,11.09,0.372,0.06,38.7,-2.84,-,-,-,-,,Acrux Ltd,,2.32,6,2.32,2.34,2.35,2.18,2.23,2.60,0.54
ACW,73,0.352,0.07,0.002,0.04,1.1,-1.88,-,-,-,-,,Actinogen Ltd,,0.045,0.3,0.035,0.045,0.045,0.042,6.72,0.10,0.017
ACWO,2,0.008,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-0.42,0.004,0.001
ACU,119.23,9.522,5.595,0.007,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.011,-0.1,0.011,0.013,0.012,0.011,-8.76,0.05,0.011
ADA,26.155,1.084,0.684,0.03,0.21,1.7,2.7,13.3,-,-,-,,Adacel Tech,,0.36,1,0.36,0.375,0.365,0.35,2.44,0.84,0.32
