ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4831.5 at 16:35 12/3/2010  Report at 19:08 Friday 12/3/2010. Processed 12:51 Sunday 14/3/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,15.582,0.324,0.026,0.059,0.08,35.0,19.23,14.6,12.5,1.54,4.46,f,1300 Smiles Ltd,,2.80,-10,2.80,2.90,2.90,2.80,-4.67,3.00,2.50
TQH,3,0.559,0.213,0.019,-0.08,-,3.28,3.7,-,-,-,,3Q Hldgs Ltd,,0.12,-2,0.11,0.17,0.14,0.12,-15.50,0.18,0.10
FCS,25,2.082,0.281,0.002,0.01,2.0,-2.77,-,-,-,-,,4C Sec Solution,,0.02,,0.017,0.02,0.02,0.02,-1.22,0.07,0.015
ABP,18723.5,207.141,187.986,0.771,0.60,0.7,-2.32,-,5.75,-,13.53,,Abacus Prop stp,,0.425,,0.425,0.43,0.435,0.42,-1.22,0.48,0.255
ALR,123.948,1.223,0.716,0.085,1.41,1.0,7.67,18.4,9,0.85,6.38,f,Aberdeen Leaders,,1.41,5.5,1.41,1.415,1.41,1.355,2.84,1.45,1.00
ACR,2645.39,12.267,10.274,0.367,0.06,38.2,-2.84,-,-,-,-,,Acrux Ltd,,2.29,10,2.28,2.30,2.33,2.18,3.35,2.54,0.445
ACW,-,0.22,0.042,0.003,0.04,1.8,-1.88,-,-,-,-,,Actinogen Ltd,,0.07,,0.05,0.065,0.07,0.07,-1.22,0.10,0.017
ACWO,-,0.006,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,0.001,0.001,0.001,-1.22,0.004,0.001
ACU,330.6,8.277,4.942,0.009,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.014,,0.011,0.013,0.014,0.012,-1.22,0.05,0.012
ADA,90.744,0.964,0.574,0.03,0.21,1.8,2.7,13.7,-,-,-,,Adacel Tech,,0.37,-3,0.37,0.40,0.40,0.35,-8.72,0.84,0.32
AAU,715.07,1.946,0.789,0.012,0.07,2.8,-2.18,-,1,-,5.13,,Adcorp Aust,,0.195,1,0.195,0.23,0.20,0.185,4.19,0.31,0.18
ABC,9134.15,101.304,51.588,1.554,1.21,2.0,20.4,12.0,13.5,1.51,5.51,f,Adelaide Brighton,,2.45,6,2.44,2.47,2.46,2.41,1.29,3.01,1.645
AYT,344.758,2.729,6.179,0.13,1.78,0.7,6.83,19.1,13.82,0.49,10.59,,Adelaide Managed unt,,1.305,-0.5,1.305,1.31,1.31,1.30,-1.60,1.575,1.10
ADQ,113.592,2.398,0.078,0.007,0.02,3.2,-11.08,-,-,-,-,,ADG Global Supply,,0.064,-0.8,0.06,0.072,0.072,0.064,-12.33,0.123,0.058
ADQO,242.047,0.951,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.012,0.2,0.01,0.028,0.013,0.01,18.78,0.013,0.01
