ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010. Processed 19:33 Saturday 24/7/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,12.359,1.444,0.256,0.069,0.08,41.0,19.23,17.1,12.5,1.54,3.81,f,1300 Smiles Ltd,,3.28,7,3.21,3.28,3.30,3.21,1.32,3.30,2.50,
TQH,-,0.893,0.619,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.035,0.094,0.11,0.11,-0.86,0.18,0.095,
FCS,4.286,3.242,1.593,0.003,0.01,2.3,-2.77,-,-,-,-,,4C Sec Solution,,0.023,,0.023,0.034,0.023,0.023,-0.86,0.05,0.015,
AAY,145.975,3.861,-,0.004,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.08,-3,0.08,0.09,0.11,0.08,-28.13,0.275,0.07,
ABP,15327.2,685.037,660.148,0.744,0.60,0.7,-2.32,-,3.9,-,9.51,,Abacus Prop stp,,0.41,1.5,0.405,0.41,0.41,0.385,2.94,0.48,0.33,
ALR,49.034,2.906,1.701,0.076,1.21,1.0,7.67,16.6,9.5,0.81,7.48,f,Aberdeen Leaders,,1.27,4,1.23,1.27,1.27,1.215,2.39,1.47,1.20,
ACR,492.831,42.067,30.16,0.305,0.06,31.7,-2.84,-,-,-,-,,Acrux Ltd,,1.90,12,1.875,1.90,1.94,1.72,5.88,2.60,1.15,
ACW,8,0.973,1.135,0.001,0.04,0.7,-1.88,-,-,-,-,,Actinogen Ltd,,0.027,,0.023,0.027,0.027,0.027,-0.86,0.095,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,0.001,0.001,0.001,-0.86,0.003,0.001,
ACU,165.5,39.028,8.204,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.003,-0.1,0.003,0.004,0.004,0.003,-25.86,0.035,0.003,
