ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:42 Thursday 24/12/2009. Processed 16:20 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,-,0.833,0.537,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,,2.66,2.70,2.70,2.70,-2.81,3.00,2.50
TQH,2.5,3.099,3.103,0.025,-0.10,-,1.07,15.0,-,-,-,,3Q Hldgs Ltd,,0.16,2,0.16,0.18,0.16,0.14,11.47,0.195,0.105
FCS,110.222,3.523,0.152,0.001,0.03,0.6,-4.2,-,-,-,-,,4C Sec Solution,,0.019,-0.1,0.019,0.02,0.02,0.019,-7.81,0.09,0.015
ABP,18824.9,1270.03,611.846,0.678,0.62,0.7,-11.81,-,7.75,-,17.42,,Abacus Prop stpld,,0.445,1,0.44,0.445,0.46,0.43,-0.51,0.48,0.167
ABPNA,150,0.15,-,0.098,-,-,-,-,-,-,-,,  new,,0.43,,0.415,0.43,0.43,0.43,-,0.43,0.43
ALR,132.036,4.204,2.682,0.082,1.45,1.0,-21.34,-,9,-,6.47,f,Aberdeen Leaders,,1.39,,1.36,1.39,1.39,1.35,-2.81,1.44,0.90
ACR,420.977,74.251,44.539,0.35,0.09,24.2,-4.84,-,-,-,-,,Acrux Ltd,,2.18,8,2.18,2.23,2.25,2.07,1.00,2.54,0.42
ACW,-,1.722,1.813,0.002,0.05,1.0,-2.32,-,-,-,-,,Actinogen Ltd,,0.05,,0.05,0.085,0.05,0.05,-2.81,0.10,0.017
ACWO,-,0.008,0.079,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,-2.81,0.004,0.001
ACU,1180.34,43.413,24.139,0.011,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.017,0.5,0.016,0.017,0.017,0.016,38.85,0.05,0.012
