ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4404.1 at 16:38 27/8/2010  Report at 19:06 Friday 27/8/2010. Processed 15:44 Sunday 29/8/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,50.437,1.564,0.475,0.069,0.15,21.9,21,15.6,13.7,1.53,4.18,f,1300 Smiles Ltd,,3.28,-2,3.20,3.28,3.30,3.20,0.69,3.30,2.61,
TQH,417.87,1.316,2.114,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,,0.05,0.11,0.10,0.08,1.30,0.18,0.08,
FCS,167.531,3.684,1.836,0.006,0.01,4.2,-2.77,-,-,-,-,,4C Sec Solution,,0.042,0.8,0.042,0.045,0.042,0.034,24.83,0.05,0.015,
AAY,246,5.205,-,0.004,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.069,0.9,0.063,0.069,0.07,0.06,16.30,0.275,0.05,
ABP,19194,773.095,761.894,0.759,0.60,0.7,-2.32,-,3.9,-,9.51,,Abacus Prop stp,,0.41,1,0.405,0.41,0.42,0.395,3.80,0.48,0.33,
ALR,31,3.165,2.379,0.074,1.31,0.9,10.29,11.9,9.5,1.08,7.76,f,Aberdeen Leaders,,1.225,-1,1.225,1.235,1.245,1.225,0.49,1.47,1.21,
ACR,507.111,44.584,34.676,0.311,-,-,29.08,6.7,-,-,-,,Acrux Ltd,,1.94,-6,1.92,1.94,2.02,1.92,-1.70,2.60,1.24,
ACW,-,1.983,1.268,0.003,0.04,1.8,-1.88,-,-,-,-,,Actinogen Ltd,,0.07,,0.07,0.082,0.07,0.07,1.30,0.11,0.027,
ACWO,-,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,0.001,0.02,0.001,0.001,1.30,0.003,0.001,
ACU,720,50.48,9.541,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.002,-0.1,0.002,0.003,0.003,0.002,-32.03,0.029,0.002,
ADA,93.15,3.97,1.846,0.025,0.21,1.5,2.7,11.3,-,-,-,,Adacel Tech,,0.305,-2.5,0.305,0.34,0.345,0.30,-6.28,0.84,0.30,
AAU,20,5.654,3.615,0.011,0.07,2.5,-2.18,-,-,-,-,,Adcorp Aust,,0.175,-1,0.175,0.19,0.185,0.175,-4.11,0.305,0.145,
ABC,12652.1,388.553,538.731,2.058,1.16,2.8,23.6,13.7,15.5,1.52,4.78,f,Adelaide Brighton,,3.24,-16.5,3.24,3.26,3.435,3.15,-3.54,3.435,2.293,
AYT,245.141,8.474,19.549,0.137,1.63,0.9,2.11,69.2,15.35,0.14,10.51,,Adelaide Managed unt,,1.46,1,1.455,1.46,1.465,1.445,1.99,1.465,1.144,
ADQ,1292,9.024,1.507,0.006,0.02,2.5,-11.08,-,-,-,-,,ADG Global Supply,,0.05,-1.2,0.055,0.071,0.062,0.05,-18.05,0.118,0.05,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.001,0.009,0.008,0.008,1.30,0.013,0.008,
ADL,2156.29,64.464,7.674,0.001,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.003,,0.002,0.004,0.003,0.003,1.30,0.016,0.002,
ADG,54.222,1.758,0.691,0.104,2.44,1.7,37.1,11.1,23,1.61,5.60,f,Adtrans Grp,,4.11,,4.09,4.20,4.11,4.05,1.30,4.18,2.75,
ASC,6842.64,152.768,40.053,0.009,0.02,0.7,-0.19,-,-,-,-,,Adultshop Com,,0.014,-0.1,0.013,0.014,0.015,0.013,-5.37,0.019,0.005,
ASCO,-,27.646,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.005,,0.005,0.007,0.005,0.005,1.30,0.008,0.002,
ABV,3224.63,34.203,77.361,0.016,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.018,-0.2,0.018,0.02,0.02,0.017,-8.70,0.038,0.016,
