ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:07 Friday 21/5/2010. Processed 13:41 Sunday 23/5/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,29.6,1.274,0.07,0.063,0.08,37.5,19.23,15.6,12.5,1.54,4.17,f,1300 Smiles Ltd,,3.00,10,2.90,3.00,3.05,2.90,10.28,3.05,2.50,
TQH,75,0.893,0.417,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,1,0.06,0.11,0.11,0.10,16.83,0.18,0.095,
FCS,149.315,2.74,0.573,0.004,0.01,4.5,-2.77,-,-,-,-,,4C Sec Solution,,0.045,1.5,0.03,0.04,0.048,0.035,56.83,0.06,0.015,
AAY,227.5,2.653,-,0.01,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.20,-4,0.15,0.20,0.20,0.20,-9.84,0.275,0.20,
ABP,30804.6,466.238,434.277,0.68,0.60,0.6,-2.32,-,5.75,-,15.33,,Abacus Prop stp,,0.375,-4,0.375,0.38,0.415,0.365,-2.81,0.48,0.31,
ALR,117.936,1.858,1.114,0.078,1.38,0.9,7.67,16.9,9,0.85,6.92,f,Aberdeen Leaders,,1.30,-3,1.30,1.31,1.33,1.265,4.58,1.47,1.155,
ACR,1463.24,34.756,18.219,0.302,0.06,31.3,-2.84,-,-,-,-,,Acrux Ltd,,1.88,-7,1.82,1.88,1.95,1.745,3.24,2.60,1.05,
ACW,20,0.901,0.881,0.001,0.04,0.7,-1.88,-,-,-,-,,Actinogen Ltd,,0.028,-0.7,0.027,0.04,0.035,0.028,-13.17,0.10,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,6.83,0.003,0.001,
ACU,2404.34,17.54,7.012,0.004,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.006,-0.1,0.005,0.007,0.006,0.005,-7.45,0.035,0.005,
ADA,79.007,3.392,0.759,0.03,0.21,1.7,2.7,13.5,-,-,-,,Adacel Tech,,0.365,-5.5,0.365,0.38,0.41,0.36,-6.26,0.84,0.32,
AAU,110.277,2.852,2.38,0.011,0.07,2.4,-2.18,-,1,-,5.88,,Adcorp Aust,,0.17,-3,0.17,0.21,0.19,0.17,-8.17,0.305,0.17,
ABC,12275.7,220.794,358.827,1.664,1.21,2.2,20.4,12.8,13.5,1.51,5.15,f,Adelaide Brighton,,2.62,-18,2.62,2.66,2.82,2.51,0.40,3.01,2.03,
AYT,601.133,6.339,9.275,0.148,1.79,0.8,6.83,21.8,16.02,0.43,10.75,,Adelaide Managed unt,,1.49,-1.5,1.49,1.53,1.545,1.49,5.83,1.565,1.10,
ADQ,-,4.008,0.325,0.007,0.02,2.9,-11.08,-,-,-,-,,ADG Global Supply,,0.059,,0.058,0.069,0.059,0.059,6.83,0.123,0.058,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.004,0.009,0.008,0.008,6.83,0.013,0.008,
ADL,-,33.616,4.28,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.005,,0.004,0.005,0.005,0.005,6.83,0.016,0.004,
ADG,33.791,0.834,0.416,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,,3.50,3.70,3.50,3.50,6.83,3.70,2.00,
ASC,1819.1,84.63,24.255,0.005,0.02,0.4,-0.19,-,-,-,-,,Adultshop Com,,0.008,-0.3,0.007,0.009,0.011,0.008,-20.44,0.015,0.004,
ASCO,1926.78,17.675,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.002,0.003,0.003,0.003,6.83,0.005,0.002,
ABV,851.179,20.661,54.664,0.017,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.022,0.2,0.018,0.022,0.022,0.019,16.83,0.038,0.009,
AMT,27.666,0.266,0.111,0.014,0.22,1.8,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.40,,0.40,0.495,0.44,0.40,6.83,0.64,0.28,
AES,111.173,3.774,0.307,0.029,0.01,6.5,-0.09,-,-,-,-,,Advanced Energy,,0.065,-1.5,0.056,0.065,0.08,0.065,-11.92,0.125,0.02,
ACE,314.384,7.961,7.816,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.037,,0.037,0.04,0.04,0.037,6.83,0.093,0.031,
ANM,103.883,4.796,2.654,0.011,0.02,2.5,-2.64,-,-,-,-,,Advanced Magnesium,,0.049,-0.6,0.05,0.054,0.057,0.049,-4.08,0.124,0.019,
ASW,27.5,2.976,0.721,0.016,0.11,3.6,3.16,12.5,2.75,1.15,6.96,f,Advanced Share,,0.395,0.5,0.375,0.395,0.395,0.39,8.11,0.44,0.195,
AEI,13,1.917,0.691,0.007,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.075,-0.3,0.062,0.073,0.078,0.062,2.99,0.185,0.062,
AVE,366.438,19.957,8.775,0.191,2.07,0.5,4.2,25.6,4,1.05,3.72,,Aevum Ltd,,1.075,-12.5,1.075,1.105,1.205,1.01,-3.59,1.67,0.795,
AFT,14686.4,834.803,198.93,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,-,0.001,0.001,0.001,6.83,0.002,0.001,
AGK,9386.91,131.11,129.071,6.369,6.21,2.3,27,52.4,57,0.47,4.03,f,AGL Energy Ltd,,14.15,-67,14.14,14.20,14.82,14.00,2.31,15.69,13.07,
