ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4721.2 at 16:47 4/12/2009  Report at 19:06 Friday 4/12/2009. Processed 20:45 Friday 4/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,80.47,0.787,0.482,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,,2.69,2.70,2.70,2.70,-2.70,3.00,2.40
TQH,17,3.091,2.845,0.019,-0.10,-,1.07,12.1,-,-,-,,3Q Hldgs Ltd,,0.13,-5,0.14,0.18,0.18,0.13,-30.47,0.195,0.105
FCS,1.858,3.29,-,0.001,0.03,0.8,-4.2,-,-,-,-,,4C Sec Solution,,0.023,,0.023,0.03,0.023,0.023,-2.70,0.09,0.015
ABP,16635.1,1197.38,551.859,0.624,0.62,0.7,-11.81,-,7.75,-,18.90,,Abacus Prop stpld,,0.41,-1,0.41,0.415,0.445,0.41,-5.08,0.48,0.147
ALR,149.02,3.929,2.469,0.082,1.42,1.0,-21.34,-,9,-,6.47,f,Aberdeen Leaders,,1.39,4.5,1.36,1.39,1.415,1.335,0.65,1.44,0.90
ACX,-,0.832,0.367,-,-0.01,-,-0.33,-,-,-,-,,ACMA Engineering,,0.001,,0.01,-,0.001,0.001,-2.70,0.05,0.001
ACR,1834.26,70.557,42.528,0.351,0.09,24.3,-4.84,-,-,-,-,,Acrux Ltd,,2.19,-26,2.19,2.20,2.46,2.15,-13.31,2.54,0.42
ACW,35.5,1.722,1.813,0.002,0.05,1.0,-2.32,-,-,-,-,,Actinogen Ltd,,0.05,-1,0.05,0.06,0.06,0.05,-19.36,0.10,0.017
ACWO,-,0.008,0.079,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,-2.70,0.004,0.001
ACU,3017.1,39.762,23.749,0.01,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.016,-0.4,0.016,0.018,0.02,0.014,-22.70,0.05,0.014
ADA,8.5,6.681,4.22,0.047,0.22,2.6,8.2,7.0,-,-,-,,Adacel Tech,,0.57,2,0.56,0.585,0.57,0.55,0.94,0.84,0.325
AAU,25,5.138,11.183,0.015,0.08,3.1,0.45,54.4,1,0.45,4.08,,Adcorp Aust,,0.245,-1.5,0.245,0.26,0.26,0.245,-8.47,0.345,0.165
ABC,8608.68,685.832,275.326,1.63,1.15,2.2,20.8,12.4,14,1.49,5.45,f,Adelaide Brighton,,2.57,6,2.55,2.58,2.67,2.47,-0.31,3.01,1.445
AYT,165.5,22.881,19.235,0.134,1.79,0.8,12.59,10.7,15.47,0.81,11.46,,Adelaide Managed unt,,1.35,4,1.35,1.365,1.35,1.31,0.36,1.76,1.10
