ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4462.1 at 16:37 20/8/2010  Report at 19:06 Friday 20/8/2010. Processed 11:42 Sunday 22/8/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,52.96,1.514,0.459,0.07,0.08,41.3,19.23,17.2,13.7,1.40,4.15,f,1300 Smiles Ltd,,3.30,15,3.20,3.30,3.30,3.15,5.18,3.30,2.61,
TQH,5,0.898,1.894,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,-1,0.05,0.10,0.11,0.08,-8.67,0.18,0.08,
FCS,237.572,3.516,1.786,0.005,0.01,3.4,-2.77,-,-,-,-,,4C Sec Solution,,0.034,1.1,0.034,0.04,0.034,0.03,48.25,0.05,0.015,
AAY,601.025,4.959,-,0.003,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.06,-1,0.062,0.09,0.07,0.05,-13.87,0.275,0.05,
ABP,16638.4,753.901,740.832,0.725,0.60,0.7,-2.32,-,3.9,-,9.75,,Abacus Prop stp,,0.40,,0.40,0.405,0.415,0.395,0.42,0.48,0.33,
ALR,46.665,3.134,2.305,0.075,1.31,0.9,10.29,12.0,9.5,1.08,7.69,f,Aberdeen Leaders,,1.235,1,1.23,1.245,1.245,1.22,1.24,1.47,1.21,
ACR,348.796,44.076,33.717,0.321,0.06,33.3,-2.84,-,-,-,-,,Acrux Ltd,,2.00,5,1.97,2.00,2.04,1.915,2.98,2.60,1.23,
ACW,187.728,1.983,1.246,0.003,0.04,1.8,-1.88,-,-,-,-,,Actinogen Ltd,,0.07,-1.5,0.07,0.082,0.085,0.07,-17.23,0.11,0.027,
ACWO,-,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,0.001,0.02,0.001,0.001,0.42,0.003,0.001,
ACU,1357.77,49.76,9.111,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.003,,0.003,0.004,0.003,0.003,0.42,0.033,0.002,
ADA,12.934,3.877,1.745,0.027,0.21,1.6,2.7,12.2,-,-,-,,Adacel Tech,,0.33,1,0.33,0.345,0.345,0.32,3.55,0.84,0.30,
AAU,35.6,5.634,3.58,0.011,0.07,2.6,-2.18,-,-,-,-,,Adcorp Aust,,0.185,,0.18,0.19,0.195,0.185,0.42,0.305,0.145,
ABC,17629.4,375.901,528.802,2.179,1.21,2.8,20.4,16.8,15.5,1.32,4.52,f,Adelaide Brighton,,3.43,29,3.41,3.43,3.45,3.13,9.66,3.45,2.31,
AYT,53.667,8.229,19.227,0.136,1.63,0.9,2.11,68.7,15.35,0.14,10.59,,Adelaide Managed unt,,1.45,1.5,1.445,1.45,1.45,1.435,1.47,1.45,1.144,
ADQ,25.5,7.732,1.305,0.007,0.02,3.1,-11.08,-,-,-,-,,ADG Global Supply,,0.062,0.5,0.05,0.071,0.062,0.062,9.19,0.118,0.052,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.002,0.009,0.008,0.008,0.42,0.013,0.008,
ADL,1001.25,62.307,7.466,0.001,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.003,,0.003,0.004,0.003,0.003,0.42,0.016,0.002,
ADG,80.911,1.704,0.66,0.104,2.44,1.7,37.1,11.1,20,1.86,4.87,f,Adtrans Grp,,4.11,-2,4.11,4.12,4.11,4.09,-0.06,4.18,2.55,
ASC,12640.1,145.925,39.44,0.009,0.02,0.8,-0.19,-,-,-,-,,Adultshop Com,,0.015,-0.2,0.011,0.015,0.019,0.015,-11.34,0.019,0.005,
ASCO,2385.5,27.646,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.005,-0.1,0.005,0.008,0.008,0.005,-16.25,0.008,0.002,
ABV,1631.63,30.978,74.554,0.015,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.02,-0.1,0.019,0.02,0.022,0.02,-4.34,0.038,0.016,
AMT,10,0.665,0.241,0.017,0.22,2.1,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.47,-3,0.26,0.50,0.50,0.47,-5.58,0.64,0.33,
AES,20,4.178,0.46,0.022,0.01,4.9,-0.09,-,-,-,-,,Advanced Energy,,0.049,0.6,0.046,0.11,0.049,0.043,14.37,0.125,0.033,
ACE,136,11.022,13.55,0.007,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.033,-0.5,0.034,0.037,0.038,0.033,-12.74,0.093,0.031,
ANM,487.363,10.104,19.178,0.014,0.02,2.5,-2.64,-,-,-,-,,Advanced Magnesium,,0.051,-0.3,0.05,0.053,0.054,0.051,-5.14,0.07,0.03,
ASW,190.411,6.189,0.993,0.032,0.11,7.0,3.61,21.2,3.6,1.00,4.71,f,Advanced Share,,0.765,10.5,0.75,0.80,0.78,0.68,16.33,0.78,0.235,
AEI,300.45,4.704,3.109,0.012,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.12,2.5,0.12,0.145,0.14,0.12,26.74,0.16,0.055,
AVE,520.278,36.45,15.507,0.293,2.07,0.8,4.2,39.3,4,1.05,2.42,,Aevum Ltd,,1.65,-2,1.65,1.67,1.675,1.64,-0.78,1.70,1.01,
AFT,14076.2,987.637,291.917,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,0.001,0.002,0.001,0.001,0.42,0.002,0.001,
AGK,6570.35,216.391,238.207,6.882,6.21,2.5,27,56.6,57,0.47,3.73,f,AGL Energy Ltd,,15.29,14,15.25,15.37,15.40,14.98,1.34,15.69,13.37,
AGJ,31.706,0.426,0.447,0.012,0.38,0.3,-2.28,-,2.12,-,16.31,,Agricultural Land unt,,0.13,,0.13,0.16,0.155,0.13,0.42,0.175,0.13,
AHC,-,0.097,0.025,0.012,4.89,0.4,14.09,14.5,-,-,-,,AHC Ltd,,2.04,,-,2.04,2.04,2.04,0.42,2.45,2.00,
ENY,0.665,0.024,-,0.001,-,-,-,-,-,-,-,,Aii200energy etf unt,,14.95,-10,14.90,15.02,15.13,14.95,-0.24,16.50,13.95,
FIN,26.372,0.161,-,-,-,-,-,-,-,-,-,,Aii200financials etf unt,,4.34,-2,4.34,4.37,4.38,4.28,-0.04,5.09,4.18,
FIX,0.188,0.047,-,0.001,-,-,-,-,-,-,-,,Aii200finxareit etf unt,,5.07,-23,5.01,5.05,5.30,5.07,-3.92,5.98,4.83,
IDD,-,0.039,-,-,-,-,-,-,-,-,-,,Aii200industrials etf unt,,3.45,,3.46,3.50,3.45,3.45,0.42,3.97,3.21,
