ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:27 Friday 11/6/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,4.38,1.324,0.079,0.064,0.08,38.1,19.23,15.9,12.5,1.54,4.10,f,1300 Smiles Ltd,,3.05,-2,3.06,3.20,3.15,3.05,-1.64,3.15,2.50,
TQH,-,0.893,0.459,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.071,0.14,0.11,0.11,-0.99,0.18,0.095,
FCS,-,2.841,0.625,0.004,0.01,3.0,-2.77,-,-,-,-,,4C Sec Solution,,0.03,,-,0.028,0.03,0.03,-0.99,0.05,0.015,
AAY,3.5,2.668,-,0.011,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.21,,0.15,0.21,0.21,0.21,-0.99,0.275,0.20,
ABP,16699.3,525.374,535.723,0.707,0.60,0.7,-2.32,-,5.75,-,14.74,,Abacus Prop stp,,0.39,1,0.385,0.39,0.39,0.375,1.65,0.48,0.33,
ALR,64.736,2.246,1.242,0.078,1.46,0.9,7.67,17.0,9,0.85,6.90,f,Aberdeen Leaders,,1.305,6.5,1.29,1.31,1.305,1.26,4.26,1.47,1.17,
ACR,369.455,39.083,24.642,0.299,0.06,31.1,-2.84,-,-,-,-,,Acrux Ltd,,1.865,-8.5,1.85,1.87,1.95,1.845,-5.34,2.60,1.05,
ACW,-,0.945,0.91,0.002,0.04,1.0,-1.88,-,-,-,-,,Actinogen Ltd,,0.04,,0.027,0.048,0.04,0.04,-0.99,0.10,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-0.99,0.003,0.001,
ACU,3664.91,23.934,7.465,0.003,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.004,-0.1,0.004,0.005,0.004,0.004,-20.99,0.035,0.004,
ADA,14,3.513,1.008,0.039,0.21,2.2,2.7,17.4,-,-,-,,Adacel Tech,,0.47,5,0.41,0.46,0.47,0.42,10.92,0.84,0.32,
AAU,109.376,3.019,2.672,0.011,0.07,2.5,-2.18,-,1,-,5.71,,Adcorp Aust,,0.175,-0.5,0.175,0.18,0.175,0.17,-3.76,0.305,0.17,
ABC,9613.63,249.701,401.539,1.728,1.21,2.2,20.4,13.3,13.5,1.51,4.96,f,Adelaide Brighton,,2.72,-9,2.71,2.77,2.79,2.69,-4.19,3.01,2.03,
AYT,213.9,6.774,10.347,0.145,1.79,0.8,6.83,21.4,16.02,0.43,10.97,,Adelaide Managed unt,,1.46,-3,1.46,1.51,1.51,1.45,-3.00,1.565,1.10,
ADQ,550,4.793,0.46,0.006,0.02,2.6,-11.08,-,-,-,-,,ADG Global Supply,,0.052,-0.4,0.053,0.069,0.058,0.052,-8.13,0.123,0.052,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.001,0.008,0.008,0.008,-0.99,0.013,0.008,
ADL,5743.83,39.915,5.393,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.004,,0.003,0.004,0.006,0.003,-0.99,0.016,0.003,
ADG,8.484,0.903,0.466,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,,3.50,3.60,3.51,3.50,-0.99,3.70,2.10,
ASC,1784.95,91.06,26.158,0.007,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.011,0.1,0.01,0.011,0.011,0.009,9.01,0.015,0.004,
ASCO,243.946,17.919,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.003,0.004,0.003,0.003,-0.99,0.005,0.002,
ABV,1436.43,22.549,57.769,0.015,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.019,0.1,0.018,0.019,0.019,0.018,4.57,0.038,0.009,
AMT,-,0.589,0.114,0.012,0.22,1.6,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.35,,0.385,0.44,0.35,0.35,-0.99,0.64,0.28,
AES,-,3.897,0.319,0.029,0.01,6.5,-0.09,-,-,-,-,,Advanced Energy,,0.065,,0.037,0.065,0.065,0.065,-0.99,0.125,0.02,
ACE,500,8.506,9.847,0.007,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.035,0.3,0.035,0.048,0.039,0.032,8.39,0.093,0.031,
ANM,34.693,5.376,3.092,0.011,0.02,2.6,-2.64,-,-,-,-,,Advanced Magnesium,,0.052,0.2,0.052,0.053,0.055,0.05,3.01,0.124,0.02,
ASW,34.9,3.175,0.771,0.015,0.11,3.4,3.16,11.9,2.75,1.15,7.33,f,Advanced Share,,0.375,,0.375,0.395,0.375,0.375,-0.99,0.44,0.22,
AEI,32.4,2.97,1.143,0.006,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.06,,0.06,0.065,0.062,0.06,-0.99,0.185,0.06,
AVE,226.402,20.916,10.046,0.206,2.07,0.6,4.2,27.6,4,1.05,3.45,,Aevum Ltd,,1.16,-2.5,1.15,1.18,1.18,1.15,-3.10,1.67,0.795,
AFT,18612,888.486,231.844,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,0.001,0.002,0.001,0.001,-0.99,0.002,0.001,
AGK,8528.49,160.545,156.557,6.688,6.21,2.4,27,55.0,57,0.47,3.84,f,AGL Energy Ltd,,14.86,48,14.82,14.86,15.01,14.18,2.35,15.69,13.07,
AGJ,-,0.274,0.214,0.013,0.38,0.4,-2.28,-,2.12,-,14.13,,Agricultural Land unt,,0.15,,0.13,0.15,0.15,0.15,-0.99,0.18,0.13,
AHC,10.204,0.093,0.01,0.012,4.89,0.4,14.09,14.9,-,-,-,,AHC Ltd,,2.10,10,-,2.10,2.10,2.10,4.01,2.45,2.00,
ENY,-,0.005,-,0.001,-,-,-,-,-,-,-,,Aii200energy etf unt,,14.44,,14.95,15.04,14.44,14.44,-0.99,16.50,14.36,
FIN,1.4,0.041,-,-,-,-,-,-,-,-,-,,Aii200financials etf unt,,4.35,-11,4.51,4.54,4.37,4.35,-3.45,5.09,4.32,
FIX,-,0.01,-,0.001,-,-,-,-,-,-,-,,Aii200finxareit etf unt,,5.08,,5.22,5.25,5.08,5.08,-0.99,5.98,5.08,
IDD,1,0.015,-,-,-,-,-,-,-,-,-,,Aii200industrials etf unt,,3.36,-12,3.36,3.38,3.48,3.36,-4.43,3.97,3.36,
RSR,1.4,0.102,-,-,-,-,-,-,-,-,-,,Aii200res etf unt,,4.81,-8,4.97,5.00,4.81,4.74,-2.62,5.65,4.60,
MAM,3.28,0.083,-,-,-,-,-,-,-,-,-,,Aii300metals&Min etf unt,,4.01,-16,4.14,4.17,4.17,4.01,-4.82,4.83,3.90,
AGI,106.901,3.249,3.426,0.027,0.01,9.7,-4.95,-,-,-,-,,Ainsworth Game Tech,,0.097,0.2,0.097,0.115,0.10,0.095,1.12,0.22,0.065,
AIZ,22.265,10.354,8.703,1.034,1.12,0.9,3.9,24.6,5.17,0.75,5.39,,Air New Zealand,,0.96,2,0.925,0.96,0.96,0.925,1.14,1.145,0.67,
AIG,-,-,0.18,0.001,-0.11,-,-8.38,-,-,-,-,,Aircruising Aust,,0.11,,-,-,0.11,0.11,-0.99,0.11,0.10,
AJL,393.228,18.3,32.214,0.173,1.32,2.0,16,16.6,5.5,2.91,2.08,,AJ Lucas Grp,,2.65,35,2.52,2.65,2.65,2.21,14.23,5.60,2.00,
ACL,281.544,20.479,40.479,0.107,0.09,6.2,-4.6,-,-,-,-,,Alchemia Ltd,,0.56,,0.55,0.56,0.56,0.525,-0.99,0.81,0.299,
AAI,2.165,0.038,-,14.289,-,-,-137.14,-,11.61,-,0.70,,Alcoa Inc cdi,,16.50,100,14.51,17.89,17.00,15.50,5.47,47.10,14.50,
LEP,611.344,19.207,7.279,0.342,2.39,0.9,95.98,2.3,27,3.55,12.11,,ALE Prop Grp stp,,2.23,7,2.23,2.25,2.24,2.14,2.25,2.43,1.871,
ALS,1910.01,47.822,59.933,0.26,0.65,4.2,-17.36,-,14,-,5.07,f,Alesco Corp,,2.76,9,2.75,2.84,2.98,2.46,2.38,5.91,2.37,
AJX,288.152,23.914,-,0.009,-,-,-0.13,-,-,-,-,,Alexium Int Grp,,0.12,,0.115,0.12,0.12,0.115,-0.99,0.205,0.01,
AEJ,14479.3,353.246,660.57,0.036,-1.53,-,-58.71,-,-,-,-,,Alinta Energy Grp stp,,0.045,-0.6,0.041,0.045,0.051,0.041,-12.75,0.105,0.041,
ABQ,3811.7,52.238,7.746,0.007,0.06,0.6,2.3,1.6,0.5,4.60,13.89,,Allied Brands Ltd,,0.036,-3.1,0.036,0.042,0.067,0.035,-47.25,0.245,0.035,
ABQO,-,4.651,0.017,-,-,-,-,-,-,-,-,,  opt dec10,,0.001,,-,0.001,0.001,0.001,-0.99,0.005,0.001,
AEA,230.5,8.108,0.241,0.011,-,-,-3,-,-,-,-,,Altera Res Ltd,,0.25,-1,0.22,0.285,0.26,0.24,-4.83,0.36,0.037,
AEAO,-,0.942,-,0.002,-,-,-,-,-,-,-,,  opt feb12,,0.16,,-,0.16,0.16,0.16,-0.99,0.16,0.06,
AIQ,34.298,19.512,2.724,0.133,1.44,0.7,-44.5,-,47,-,46.31,,Alternative Invest unt,,1.015,-0.5,1.015,1.04,1.02,1.01,-1.48,1.45,0.91,
ALU,16,2.764,0.731,0.021,0.09,2.6,-6.97,-,2,-,8.70,,Altium Ltd,,0.23,-1,0.23,0.265,0.24,0.23,-5.15,0.405,0.20,
AMA,876.718,14.172,18.066,0.015,-0.09,-,7.75,0.7,-,-,-,,AMA Grp Ltd,,0.055,0.5,0.051,0.055,0.056,0.05,9.01,0.078,0.019,
AHD,475.332,23.366,4.359,0.896,4.65,1.2,68.5,8.3,35,1.96,6.14,f,Amalgamated Hldgs,,5.70,-10,5.62,5.73,5.80,5.62,-2.71,6.24,3.73,
AMO,6,1.866,0.291,0.012,0.61,0.6,9.3,4.2,5.5,1.69,14.10,f,Ambertech Ltd,,0.39,-7,0.39,0.445,0.46,0.39,-16.20,0.63,0.385,
AMB,-,1.322,1.286,0.025,0.14,2.6,-13.07,-,-,-,-,,Ambition Grp Ltd,,0.37,,0.21,0.33,0.37,0.37,-0.99,0.42,0.165,
AKT,0.05,-,-,0.036,-,-,-,-,-,-,-,,Amcbf Two,,101.94,,90.00,101.94,101.94,101.94,-,101.94,101.94,
AMH,349.353,7.95,3.05,0.127,0.71,0.9,-1.14,-,2,-,3.08,,Amcil Ltd,,0.65,2.5,0.63,0.65,0.65,0.61,3.01,0.72,0.53,
AMM,3899.84,146.077,96.832,0.229,0.18,1.8,2.78,11.5,0.9,3.09,2.81,f,Amcom Telecomm,,0.32,,0.32,0.325,0.32,0.30,-0.99,0.355,0.145,
AMC,24025.7,697.749,344.312,7.707,2.25,2.8,20.9,30.2,29.5,0.71,4.68,,Amcor Ltd,,6.31,3,6.29,6.34,6.39,6.02,-0.51,6.76,4.276,
AEC,525.525,5.898,2.713,0.122,1.05,3.2,19.39,17.3,16.5,1.18,4.93,f,Ammtec Ltd,,3.35,,3.35,3.38,3.39,3.33,-0.99,3.40,1.83,
AGF,977.925,26.543,26.64,0.239,1.14,0.6,10.02,7.1,8.47,1.18,11.93,,AMP Capital China unt,,0.71,-3,0.71,0.735,0.74,0.71,-5.04,1.265,0.675,
AMP,35648.1,848.835,764.453,11.748,0.80,7.1,37.1,15.3,30,1.24,5.29,p,AMP Ltd,,5.67,-13,5.63,5.68,5.70,5.46,-3.23,6.97,4.55,
ANQ,31.52,5.768,9.362,0.03,-,-,-5.5,-,-,-,-,,Anaeco Ltd,,0.17,-0.5,0.17,0.195,0.175,0.17,-3.84,0.32,0.17,
ANQOA,-,-,0.019,-,-,-,-,-,-,-,-,,  opt may12,,0.001,-0.3,-,-,0.004,0.004,-75.99,0.004,0.001,
ALT,1066.38,229.616,18.823,0.012,-,-,-0.24,-,-,-,-,,Analytica Ltd,,0.03,-0.6,0.029,0.03,0.035,0.03,-17.65,0.115,0.019,
ANN,3481.75,94.687,92.334,1.671,1.92,6.6,81.7,15.5,29,2.82,2.28,,Ansell Ltd,,12.70,-32,12.51,12.74,13.11,12.53,-3.44,13.48,8.16,
ANO,8.1,11.306,3.024,0.008,0.04,0.9,1.46,2.4,-,-,-,,Antaria Ltd,,0.035,,0.036,0.04,0.035,0.035,-0.99,0.065,0.029,
ADO,28293.9,3079.57,35.86,0.031,-,-,-0.8,-,-,-,-,,Anteo Diagnostics,,0.059,0.1,0.058,0.06,0.064,0.055,0.74,0.105,0.006,
ADOO,1974.57,411.589,-,0.007,-,-,-,-,-,-,-,,  opt sep10,,0.045,0.3,0.041,0.045,0.055,0.042,6.16,0.07,0.001,
ADOOA,-,1.519,-,-,-,-,-,-,-,-,-,,  opt feb11,,0.01,,0.01,0.025,0.01,0.01,-0.99,0.025,0.005,
ANP,3158.04,331.326,8.862,0.008,-,-,-0.55,-,-,-,-,,Antisense Therapeutic,,0.014,,0.014,0.015,0.015,0.013,-0.99,0.20,0.013,
ANZ,43913.5,1003.85,1023.86,58.377,9.99,2.3,144.8,15.9,108,1.34,4.69,f,ANZ Banking Grp,,23.04,40,23.00,23.04,23.04,21.69,0.78,26.23,15.68,
APE,25.716,0.254,0.283,0.372,8.81,1.4,121.6,10.3,62,1.96,4.96,f,AP Eagers Ltd,,12.50,,12.50,12.70,12.50,12.50,-0.99,13.55,7.30,
APP,30,3.073,0.897,-,-,-,0.1,15.0,-,-,-,,APA Financial,,0.015,0.3,0.015,0.019,0.015,0.012,24.01,0.023,0.009,
APA,5558.34,113.902,89.957,1.952,-,-,25,14.4,31.75,0.79,8.82,,APA Grp stp,,3.60,1,3.57,3.62,3.68,3.47,-0.71,3.79,2.60,
AEZ,4968.58,76.178,166.017,0.017,0.24,0.1,-11.22,-,-,-,-,,APN European Retail stp,,0.031,-0.1,0.029,0.031,0.032,0.029,-4.11,0.115,0.029,
APN,6455.69,159.805,204.499,1.353,-0.78,-,16.7,13.5,4,4.17,1.77,f,APN News & Media,,2.26,-2,2.24,2.29,2.29,2.15,-1.86,2.61,1.32,
APD,289.273,5.711,11.795,0.027,0.21,0.9,-17.88,-,1.25,-,6.58,f,APN Prop Grp,,0.19,-3,0.19,0.20,0.22,0.185,-14.62,0.41,0.15,
AOP,3453.33,96.797,-,0.004,-,-,0.18,5.0,-,-,-,,Apollo Cons,,0.009,0.2,0.008,0.009,0.009,0.007,27.59,0.04,0.007,
AQLDA,16.5,0.017,-,0.003,-,-,-0.27,-,-,-,-,,Aquacarotene Ltd def,,0.18,3,0.058,0.18,0.18,0.15,19.01,0.18,0.15,
APB,600,15.79,5.905,0.005,0.12,0.1,-7.66,-,-,-,-,,Arafura Pearls,,0.01,,0.009,0.01,0.01,0.01,-0.99,0.058,0.008,
