ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4972.9 at 16:33 9/4/2010  Report at 19:08 Friday 9/4/2010. Processed 19:27 Friday 9/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,21.1,0.391,0.034,0.06,0.08,35.6,19.23,14.8,12.5,1.54,4.39,f,1300 Smiles Ltd,,2.85,-5,2.85,2.90,2.90,2.85,-2.68,3.00,2.50
TQH,0.5,0.814,0.253,0.015,-0.08,-,3.28,2.9,-,-,-,,3Q Hldgs Ltd,,0.095,-0.5,0.095,0.14,0.095,0.095,-5.96,0.18,0.095
FCS,42.287,2.168,0.353,0.001,0.01,1.6,-2.77,-,-,-,-,,4C Sec Solution,,0.016,-0.1,0.017,0.02,0.016,0.015,-6.84,0.06,0.015
AAY,-,-,-,0.014,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.26,,0.215,0.275,-,-,-,-,-
ABP,17611.5,316.8,321.031,0.744,0.60,0.7,-2.32,-,5.75,-,14.02,,Abacus Prop stp,,0.41,1,0.405,0.41,0.41,0.39,1.54,0.48,0.28
ALR,27.325,1.351,0.942,0.087,1.38,1.1,7.67,18.9,9,0.85,6.21,f,Aberdeen Leaders,,1.45,-1.5,1.43,1.45,1.46,1.43,-1.98,1.47,1.07
ACR,1180.99,26.858,11.473,0.374,0.06,38.8,-2.84,-,-,-,-,,Acrux Ltd,,2.33,1,2.29,2.33,2.40,2.30,-0.52,2.60,0.58
ACW,-,0.352,0.17,0.002,0.04,1.1,-1.88,-,-,-,-,,Actinogen Ltd,,0.045,,0.035,0.045,0.045,0.045,-0.96,0.10,0.017
ACWO,-,0.008,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-0.96,0.004,0.001
ACU,85,9.607,5.916,0.008,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.012,0.1,0.012,0.013,0.012,0.011,8.14,0.05,0.011
ADA,88.147,1.172,0.692,0.037,0.21,2.1,2.7,16.5,-,-,-,,Adacel Tech,,0.445,8.5,0.41,0.48,0.445,0.36,22.66,0.84,0.32
AAU,119,2.291,0.984,0.013,0.07,2.9,-2.18,-,1,-,5.00,,Adcorp Aust,,0.20,0.5,0.20,0.22,0.21,0.19,1.61,0.31,0.18
ABC,8654.48,146.4,84.249,1.75,1.21,2.3,20.4,13.5,13.5,1.51,4.89,f,Adelaide Brighton,,2.76,4,2.75,2.77,2.79,2.71,0.52,3.01,1.88
AYT,758.188,3.974,7.758,0.147,1.79,0.8,6.83,21.6,13.82,0.49,9.37,,Adelaide Managed unt,,1.475,16.5,1.46,1.475,1.52,1.40,11.64,1.52,1.10
ADQ,168.5,2.728,0.116,0.008,0.02,3.6,-11.08,-,-,-,-,,ADG Global Supply,,0.072,0.7,0.065,0.07,0.072,0.065,9.81,0.123,0.058
ADQO,-,0.951,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.012,,0.01,-,0.012,0.012,-0.96,0.013,0.01
ADL,401.854,24.129,2.073,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.004,-0.1,0.004,0.005,0.005,0.004,-20.96,0.016,0.004
ADG,25.692,0.713,0.316,0.089,2.44,1.5,37.1,9.6,20,1.86,5.63,f,Adtrans Grp,,3.55,5,3.50,3.70,3.55,2.95,0.47,3.70,2.00
ASC,2852.83,75.023,21.303,0.006,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.01,-0.1,0.01,0.011,0.01,0.009,-10.05,0.015,0.004
ASCO,-,6.58,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.004,,0.002,0.004,0.004,0.004,-0.96,0.005,0.002
ABV,2542.25,16.203,44.507,0.019,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.025,0.2,0.022,0.025,0.03,0.021,7.74,0.038,0.009
AMT,-,0.188,0.072,0.018,0.22,2.3,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.50,,0.32,0.54,0.50,0.50,-0.96,0.64,0.28
AES,1087.74,1.772,0.207,0.04,0.01,9.0,-0.09,-,-,-,-,,Advanced Energy,,0.09,-3,0.091,0.10,0.125,0.075,-25.96,0.125,0.02
ACE,318.656,7.026,5.896,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.046,-0.1,0.046,0.049,0.049,0.046,-3.08,0.093,0.031
ANM,156.596,3.837,1.943,0.012,0.02,2.8,-2.64,-,-,-,-,,Advanced Magnesium,,0.055,,0.055,0.06,0.06,0.054,-0.96,0.124,0.019
ASW,75.87,2.532,0.622,0.017,0.11,3.8,3.16,13.1,2.75,1.15,6.63,f,Advanced Share,,0.415,0.5,0.42,0.445,0.435,0.415,0.26,0.435,0.15
AEI,20,1.539,0.479,0.008,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.085,1,0.08,0.095,0.085,0.075,12.38,0.185,0.06
AVE,290.717,17.49,3.994,0.198,2.07,0.5,4.2,26.5,4,1.05,3.59,,Aevum Ltd,,1.115,-0.5,1.115,1.13,1.125,1.105,-1.40,1.67,0.76
AFT,5206.25,687.731,10.589,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,0.001,0.002,0.001,0.001,-0.96,0.002,0.001
AGK,3751.4,90.382,89.905,6.864,6.21,2.5,27,56.5,57,0.47,3.74,f,AGL Energy Ltd,,15.25,18,15.22,15.27,15.36,14.96,0.24,15.46,13.07
AGJ,-,0.116,0.003,0.012,0.38,0.4,-2.28,-,2.12,-,15.14,,Agricultural Land unt,,0.14,,0.15,0.17,0.14,0.14,-0.96,0.21,0.13
AHC,-,0.067,-,0.013,4.89,0.5,14.09,16.0,-,-,-,,AHC Ltd,,2.25,,-,2.40,2.25,2.25,-0.96,2.45,1.295
ENY,-,-,-,-,-,-,-,-,-,-,-,,Aii200energy etf unt,,-,,16.28,16.43,-,-,-,-,-
FIN,-,-,-,-,-,-,-,-,-,-,-,,Aii200financials etf unt,,4.95,,4.89,4.95,4.95,4.95,-0.96,4.95,4.95
IDD,-,-,-,-,-,-,-,-,-,-,-,,Aii200industrials etf unt,,3.97,,3.95,3.97,-,-,-,-,-
RSR,1.179,0.009,-,0.001,-,-,-,-,-,-,-,,Aii200res etf unt,,5.58,2,5.50,5.64,5.58,5.56,-0.60,5.58,5.37
AGI,87.19,1.914,2.184,0.042,0.01,15.0,-4.95,-,-,-,-,,Ainsworth Game Tech,,0.15,1.5,0.135,0.15,0.155,0.13,10.16,0.22,0.065
AIZ,222.951,5.705,1.563,1.183,1.12,1.0,3.9,28.2,5.17,0.75,4.70,,Air New Zealand,,1.10,9.5,1.095,1.10,1.11,1.035,8.50,1.12,0.67
