ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4890.1 at 16:38 19/3/2010  Report at 19:08 Friday 19/3/2010. Processed 20:09 Friday 19/3/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,26.925,0.351,0.028,0.061,0.08,36.3,19.23,15.1,12.5,1.54,4.31,f,1300 Smiles Ltd,,2.90,10,2.81,2.89,2.90,2.80,2.36,3.00,2.50
TQH,255,0.814,0.253,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,-2,0.095,0.14,0.12,0.10,-17.88,0.18,0.10
FCS,31.481,2.114,0.281,0.001,0.01,1.7,-2.77,-,-,-,-,,4C Sec Solution,,0.017,-0.3,0.017,0.02,0.017,0.017,-16.21,0.07,0.015
ABP,37712.2,244.853,255.437,0.762,0.60,0.7,-2.32,-,5.75,-,13.69,,Abacus Prop stp,,0.42,-0.5,0.41,0.42,0.43,0.39,-2.39,0.48,0.255
ALR,18.661,1.242,0.8,0.084,1.38,1.0,7.67,18.3,9,0.85,6.43,f,Aberdeen Leaders,,1.40,-1,1.36,1.39,1.45,1.39,-1.92,1.45,1.05
ACR,9152.48,21.42,10.586,0.398,0.06,41.3,-2.84,-,-,-,-,,Acrux Ltd,,2.48,19,2.44,2.50,2.60,2.33,7.08,2.60,0.46
ACW,58.823,0.279,0.07,0.002,0.04,1.1,-1.88,-,-,-,-,,Actinogen Ltd,,0.042,-2.8,0.032,0.05,0.07,0.042,-41.21,0.10,0.017
ACWO,-,0.006,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-1.21,0.004,0.001
ACU,360.77,8.638,4.974,0.008,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.012,-0.2,0.012,0.014,0.013,0.012,-15.50,0.05,0.012
ADA,43.207,1.007,0.663,0.029,0.21,1.7,2.7,13.0,-,-,-,,Adacel Tech,,0.35,-2,0.36,0.38,0.37,0.35,-6.62,0.84,0.32
AAU,69.887,2.016,0.823,0.012,0.07,2.8,-2.18,-,1,-,5.13,,Adcorp Aust,,0.195,,0.195,0.23,0.195,0.19,-1.21,0.31,0.18
ABC,15423.3,116.728,64.16,1.655,1.21,2.2,20.4,12.8,13.5,1.51,5.17,f,Adelaide Brighton,,2.61,16,2.57,2.64,2.66,2.44,5.32,3.01,1.84
AYT,247.636,2.977,6.759,0.131,1.79,0.7,6.83,19.3,13.82,0.49,10.47,,Adelaide Managed unt,,1.32,1.5,1.32,1.33,1.33,1.30,-0.06,1.545,1.10
ADQ,41.821,2.44,0.078,0.007,0.02,3.0,-11.08,-,-,-,-,,ADG Global Supply,,0.06,-0.4,0.06,0.072,0.064,0.06,-7.46,0.123,0.058
ADQO,-,0.951,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.012,,0.008,0.028,0.012,0.012,-1.21,0.013,0.01
ADL,3255.5,20.037,1.04,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.005,,0.004,0.006,0.006,0.005,-1.21,0.016,0.005
ADG,16.84,0.595,0.258,0.093,2.44,1.5,37.1,10.0,20,1.86,5.41,f,Adtrans Grp,,3.70,,3.51,3.70,3.70,3.51,-1.21,3.70,2.00
ASC,4640.77,60.104,19.35,0.007,0.02,0.6,-0.19,-,-,-,-,,Adultshop Com,,0.012,,0.011,0.012,0.013,0.01,-1.21,0.015,0.004
ASCO,649.203,6.579,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.004,-0.1,0.004,0.005,0.005,0.004,-21.21,0.005,0.002
ABV,1173.02,10.29,40.494,0.017,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.022,0.2,0.02,0.023,0.022,0.02,8.79,0.038,0.006
AMT,3.334,0.156,0.046,0.01,0.22,2.5,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.54,,0.54,0.59,0.54,0.54,-1.21,0.64,0.28
AES,20,0.159,0.189,0.025,0.01,5.7,-0.09,-,-,-,-,,Advanced Energy,,0.057,-0.3,0.05,0.058,0.06,0.057,-6.21,0.085,0.02
ACE,441.667,6.192,5.572,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.048,0.1,0.048,0.05,0.052,0.048,0.91,0.093,0.031
ANM,326.514,3.313,1.684,0.013,0.02,3.0,-2.64,-,-,-,-,,Advanced Magnesium,,0.06,0.4,0.06,0.062,0.06,0.056,5.93,0.124,0.019
ASW,167.5,2.093,0.455,0.016,0.11,3.6,3.16,12.7,2.75,1.15,6.88,f,Advanced Share,,0.40,,0.395,0.405,0.415,0.40,-1.21,0.435,0.15
AEI,0.6,0.447,0.43,0.009,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.088,0.3,0.088,0.095,0.088,0.085,2.32,0.185,0.054
AVE,336.839,14.546,2.918,0.2,2.07,0.5,4.2,26.9,4,1.05,3.54,,Aevum Ltd,,1.13,-4,1.13,1.155,1.18,1.10,-4.63,1.67,0.69
AFT,11036.8,639.968,10.089,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,0.001,0.002,0.001,0.001,-1.21,0.002,0.001
AGK,7916.12,76.804,68.653,6.773,6.21,2.4,27,55.9,57,0.47,3.78,f,AGL Energy Ltd,,15.09,14,15.07,15.11,15.15,14.77,-0.28,15.46,13.07
AGJ,-,0.059,-,0.011,0.38,0.3,-2.28,-,2.12,-,16.31,,Agricultural Land unt,,0.13,,0.14,0.30,0.13,0.13,-1.21,0.28,0.13
AHC,-,0.067,-,0.013,4.89,0.5,14.09,16.0,-,-,-,,AHC Ltd,,2.25,,2.00,-,2.25,2.25,-1.21,2.45,1.295
AGI,331.209,1.653,1.763,0.036,0.01,13.0,-4.95,-,-,-,-,,Ainsworth Game Tech,,0.13,-2.5,0.13,0.14,0.155,0.10,-17.34,0.22,0.065
AIZ,1442.86,5.298,1.371,1.095,1.12,0.9,3.9,26.2,5.17,0.75,5.07,,Air New Zealand,,1.02,2,1.015,1.03,1.035,0.985,0.79,1.12,0.67
AIG,-,-,0.015,0.001,-0.11,-,-8.38,-,-,-,-,,Aircruising Aust,,0.11,,-,-,0.11,0.11,-1.21,0.12,0.098
AJL,243.945,11.364,10.913,0.192,1.32,2.2,16,18.4,5.5,2.91,1.87,,AJ Lucas Grp,,2.94,-1,2.91,2.95,2.97,2.75,-1.55,5.60,2.03
ACL,679.625,9.714,24.864,0.127,0.09,7.4,-4.6,-,-,-,-,,Alchemia Ltd,,0.67,-1.5,0.67,0.675,0.68,0.65,-3.40,0.81,0.227
AAI,-,0.001,-,39.135,-,-,-137.14,-,12.39,-,0.27,,Alcoa Inc cdi,,45.19,,-,45.00,45.19,45.19,-1.21,47.10,44.00
LEP,483.259,11.55,3.4,0.342,2.39,0.9,95.98,2.3,27,3.55,12.11,,ALE Prop Grp stp,,2.23,4,2.21,2.25,2.27,2.18,0.61,2.43,1.502
ALS,2704.15,23.473,30.16,0.295,0.65,4.8,-17.36,-,14,-,4.47,f,Alesco Corp,,3.13,-1,3.13,3.16,3.22,3.11,-1.53,5.91,0.97
AEJ,13870.1,245.454,246.952,0.063,-1.53,-,-58.71,-,-,-,-,,Alinta Energy Grp stp,,0.078,-0.1,0.077,0.078,0.08,0.077,-2.48,0.13,0.033
ABQ,2267.53,12.764,3.208,0.025,0.06,2.1,2.3,5.4,0.5,4.60,4.00,,Allied Brands Ltd,,0.125,-0.5,0.12,0.125,0.135,0.12,-5.06,0.245,0.10
ABQO,-,4.651,0.007,-,-,-,-,-,-,-,-,,  opt dec10,,0.001,,-,0.001,0.001,0.001,-1.21,0.005,0.001
AEA,300,2.405,0.004,0.008,-,-,-3,-,-,-,-,,Altera Res Ltd,,0.20,2,0.19,0.20,0.20,0.18,9.90,0.225,0.019
AEAO,260,0.355,-,-,-,-,-,-,-,-,-,,  opt jan12,,0.06,-0.5,0.061,0.075,0.07,0.06,-8.91,0.075,0.06
AIQ,250.248,10.09,0.871,0.139,1.46,0.7,-44.5,-,47,-,44.34,,Alternative Invest unt,,1.06,1.5,1.045,1.065,1.06,1.045,0.22,1.45,0.67
ALU,63.32,0.988,0.389,0.027,0.09,3.4,-6.97,-,2,-,6.56,,Altium Ltd,,0.305,0.5,0.245,0.30,0.33,0.28,0.45,0.50,0.235
AMA,150.632,8.377,12.532,0.014,-0.09,-,7.75,0.7,-,-,-,,AMA Grp Ltd,,0.052,-1,0.052,0.06,0.062,0.052,-17.34,0.078,0.017
AHD,622.41,15.224,2.35,0.867,4.65,1.2,68.5,8.2,35,1.96,6.26,f,Amalgamated Hldgs,,5.59,-11,5.59,5.65,5.80,5.56,-3.14,6.24,3.598
AMO,-,1.636,0.124,0.019,0.61,1.0,9.3,6.8,5.5,1.69,8.73,f,Ambertech Ltd,,0.63,3.5,0.56,0.615,0.595,0.595,4.67,0.63,0.35
AMB,43.528,0.781,0.27,0.027,0.14,2.8,-13.07,-,-,-,-,,Ambition Grp Ltd,,0.395,-1.5,0.35,0.395,0.41,0.35,-4.87,0.41,0.101
AMH,387.871,2.488,1.187,0.133,0.72,0.9,-1.14,-,2,-,2.94,,Amcil Ltd,,0.68,,0.68,0.685,0.695,0.675,-1.21,0.72,0.47
AMM,3943.63,95.286,21.176,0.215,0.18,1.7,2.78,10.8,0.9,3.09,3.00,f,Amcom Telecomm,,0.30,-1,0.30,0.305,0.315,0.295,-4.44,0.345,0.12
AMC,42063.7,299.632,188.713,7.461,2.25,2.7,20.9,29.2,29.5,0.71,4.83,,Amcor Ltd,,6.11,14,6.08,6.12,6.17,5.85,1.13,6.35,4.042
AEC,75.767,2.023,1.796,0.102,1.05,2.7,19.39,14.5,16.5,1.18,5.87,f,Ammtec Ltd,,2.81,21,2.81,2.83,2.84,2.65,6.86,3.00,1.45
AGF,1703.92,12.222,7.258,0.29,1.12,0.8,10.02,8.6,8.47,1.18,9.85,,AMP Capital China unt,,0.86,-5,0.86,0.865,0.91,0.855,-6.71,1.265,0.78
AMP,37674.4,376.064,373.65,12.927,0.80,7.9,37.1,17.0,30,1.24,4.75,p,AMP Ltd,,6.31,18,6.28,6.32,6.34,6.09,1.72,6.97,4.27
ANQ,283.663,3.227,4.135,0.038,-,-,-5.5,-,-,-,-,,Anaeco Ltd,,0.23,1,0.22,0.235,0.23,0.205,3.33,0.39,0.175
ANQO,-,-,0.019,-,-,-,-,-,-,-,-,,  opt may10,,0.001,-0.4,-,-,0.005,0.005,-81.21,0.015,0.001
ANQOA,-,-,0.019,-,-,-,-,-,-,-,-,,  opt may12,,0.001,-0.3,0.001,-,0.004,0.004,-76.21,0.004,0.001
ALT,16500.1,167.064,9.913,0.025,-,-,-0.24,-,-,-,-,,Analytica Ltd,,0.062,0.9,0.061,0.064,0.064,0.048,15.77,0.115,0.019
ANN,4438.24,49.605,51.978,1.603,1.92,6.3,81.7,14.9,29,2.82,2.38,,Ansell Ltd,,12.18,65,12.17,12.18,12.37,11.45,4.42,12.37,7.58
ANO,61.691,3.353,0.438,0.009,0.04,1.0,1.46,2.7,-,-,-,,Antaria Ltd,,0.04,,0.039,0.04,0.04,0.04,-1.21,0.065,0.029
ADO,68076.9,2801.7,1.452,0.03,-,-,-0.8,-,-,-,-,,Anteo Diagnostics,,0.059,-0.4,0.059,0.06,0.063,0.057,-7.56,0.105,0.004
ADOO,6744.23,394.742,-,0.008,-,-,-,-,-,-,-,,  opt sep10,,0.046,-0.5,0.046,0.048,0.049,0.042,-11.02,0.07,0.001
ADOOA,-,0.464,-,0.002,-,-,-,-,-,-,-,,  opt feb11,,0.02,,0.012,0.025,0.02,0.02,-1.21,0.025,0.015
ANP,1790.53,177.015,2.971,0.028,-,-,-0.55,-,-,-,-,,Antisense Therapeutic,,0.047,-0.3,0.046,0.048,0.05,0.045,-7.21,0.20,0.029
ANZ,46038.7,443.466,416.031,63.611,10.72,2.3,170.4,14.7,102,1.67,4.06,f,ANZ Banking Grp,,25.11,85,25.08,25.11,25.11,23.83,2.29,25.25,14.28
APE,8.595,0.077,0.195,0.388,8.81,1.5,121.6,10.7,62,1.96,4.77,f,AP Eagers Ltd,,13.00,40,13.00,13.55,13.55,12.60,1.96,13.55,5.05
APP,106.833,2.465,0.122,-,-,-,0.1,16.0,-,-,-,,APA Financial,,0.016,-0.4,0.017,0.022,0.02,0.016,-21.21,0.023,0.009
