ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4606.1 at 16:47 2/10/2009  Report at 19:06 Friday 2/10/2009. Processed 21:01 Sunday 4/10/2009.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
FCS,-,2.62,-,0.002,0.03,0.9,-4.2,-,-,-,-,,4C Sec Solution,,0.027,,-,-,0.027,0.027,2.31,0.09,0.02,
FCSOA,-,-,-,-,-,-,-,-,-,-,-,, opt dec13,,-,,-,-,-,-,-,-,-,
ONT,2.58,0.547,0.358,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,-5,2.70,2.75,2.75,2.70,0.49,3.00,2.20,
TQH,-,2.891,2.248,0.024,-0.10,-,1.07,15.0,-,-,-,,3Q Hldgs Ltd,,0.16,,0.14,0.16,0.16,0.16,2.31,0.195,0.105,
ABP,33763.6,956.935,392.683,0.662,0.62,0.7,-11.81,-,7.75,-,17.82,,Abacus Prop stpld,,0.435,3.5,0.43,0.435,0.47,0.40,11.06,0.912,0.147,
ALR,123.079,2.834,1.977,0.08,1.54,0.9,-21.34,-,9,-,6.59,f,Aberdeen Leaders,,1.365,2.5,1.35,1.36,1.38,1.335,4.17,1.64,0.90,
ACX,-,0.832,0.367,-,-0.01,-,-0.33,-,-,-,-,,ACMA Engineering,,0.001,,0.009,-,0.001,0.001,2.31,0.05,0.001,
ACR,4873.8,45.871,37.291,0.285,0.09,19.8,-4.84,-,-,-,-,,Acrux Ltd,,1.785,27.5,1.785,1.80,1.96,1.51,20.52,1.96,0.38,
ACW,17.7,1.306,1.668,0.002,0.05,1.6,-2.32,-,-,-,-,,Actinogen Ltd,,0.08,1,0.06,0.07,0.08,0.07,16.59,0.10,0.017,
ACWO,-,0.008,0.064,-,-,-,-,-,-,-,-,, opt aug12,,0.003,,-,-,0.003,0.003,2.31,0.004,0.001,
ACU,3202,17.243,19.498,0.013,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.02,-0.1,0.02,0.022,0.023,0.02,-2.46,0.058,0.016
ADA,545.894,5.659,3.454,0.05,0.22,2.8,8.2,7.4,-,-,-,,Adacel Tech,,0.61,-9.5,0.61,0.615,0.69,0.58,-11.17,0.84,0.28
AAU,11.92,4.067,10.009,0.016,0.08,3.3,0.45,57.8,1,0.45,3.85,,Adcorp Aust,,0.26,-2.5,0.265,0.275,0.285,0.26,-6.47,0.385,0.165
ABC,9375.64,602.956,220.514,1.738,1.15,2.4,20.8,13.3,14,1.49,5.05,f,Adelaide Brighton,,2.77,-7,2.77,2.80,2.87,2.71,-0.16,3.15,1.445
AYT,113,21.312,17.997,0.137,1.94,0.7,12.59,10.9,17.17,0.73,12.49,,Adelaide Managed unt,,1.375,0.5,1.375,1.40,1.40,1.37,2.67,1.76,1.10
ADQ,100,2.835,1.064,0.006,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.081,-1.4,0.071,0.10,0.081,0.081,-12.43,0.24,0.061
ADL,252.5,9.812,9.431,0.006,0.01,1.5,-2.68,-,-,-,-,,Admerex Ltd,,0.015,0.2,0.015,0.02,0.015,0.012,17.69,0.035,0.004
ADG,57.493,0.774,1.543,0.069,2.37,1.2,27.9,9.9,16,1.74,5.82,f,Adtrans Grp,,2.75,-10,2.75,2.98,3.05,2.75,-1.20,3.20,1.65
ASC,1396.05,63.98,59.966,0.003,0.04,0.2,-0.28,-,-,-,-,,Adultshop Com,,0.009,-0.3,0.009,0.01,0.011,0.009,-22.69,0.012,0.003
ABV,998.732,89.655,47.426,0.019,0.01,2.5,-0.36,-,-,-,-,,Adv Braking Tech,,0.025,,0.024,0.03,0.029,0.025,2.31,0.038,0.005
AMT,12.498,0.324,1.403,0.007,0.20,2.0,-2.9,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.40,,0.35,0.40,0.40,0.40,2.31,0.50,0.28
AES,-,0.685,8.153,0.031,0.01,7.0,-0.06,-,-,-,-,,Advanced Energy,,0.07,,0.041,0.073,0.07,0.07,2.31,0.079,0.02
ACE,320,15.503,15.891,0.008,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.056,-0.2,0.055,0.056,0.058,0.055,-1.14,0.14,0.031
