ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4586.3 at 16:37 6/8/2010  Report at 19:06 Friday 6/8/2010. Processed 17:45 Sunday 8/8/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,4.3,1.457,0.359,0.067,0.08,39.4,19.23,16.4,12.5,1.54,3.97,f,1300 Smiles Ltd,,3.15,-5,3.15,3.20,3.24,3.15,-3.31,3.30,2.61,
TQH,-,0.893,1.494,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.04,0.09,0.11,0.11,-1.75,0.18,0.095,
FCS,33.143,3.278,1.743,0.003,0.01,2.3,-2.77,-,-,-,-,,4C Sec Solution,,0.023,,0.023,0.034,0.023,0.023,-1.75,0.05,0.015,
AAY,101,4.244,-,0.004,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.072,-0.8,0.075,0.08,0.08,0.072,-11.75,0.275,0.07,
ABP,10762.9,713.712,694.012,0.78,0.60,0.7,-2.32,-,3.9,-,9.07,,Abacus Prop stp,,0.43,1.5,0.425,0.43,0.43,0.405,1.86,0.48,0.33,
ALR,60.462,3.001,1.852,0.076,1.21,1.0,7.67,16.4,9.5,0.81,7.54,f,Aberdeen Leaders,,1.26,2.5,1.255,1.275,1.27,1.245,0.27,1.47,1.20,
ACR,369.981,42.933,32.115,0.318,0.06,33.0,-2.84,-,-,-,-,,Acrux Ltd,,1.98,3,1.97,1.98,2.00,1.91,-0.21,2.60,1.17,
ACW,549.307,1.525,1.135,0.004,0.04,2.8,-1.88,-,-,-,-,,Actinogen Ltd,,0.11,8.3,0.105,0.11,0.11,0.027,305.70,0.11,0.027,
ACWO,-,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-1.75,0.003,0.001,
ACU,2989.34,44.866,8.352,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.003,,0.002,0.004,0.003,0.003,-1.75,0.035,0.003,
ADA,-,3.795,1.627,0.029,0.21,1.7,2.7,13.0,-,-,-,,Adacel Tech,,0.35,,0.32,0.34,0.35,0.35,-1.75,0.84,0.30,
AAU,24.8,5.509,3.479,0.011,0.07,2.6,-2.18,-,-,-,-,,Adcorp Aust,,0.185,-0.5,0.175,0.19,0.19,0.18,-4.38,0.305,0.145,
ABC,13363.1,347.145,496.925,2.032,1.21,2.6,20.4,15.7,13.5,1.51,4.22,f,Adelaide Brighton,,3.20,3,3.18,3.21,3.35,3.15,-0.80,3.35,2.31,
AYT,220,7.919,18.917,0.134,1.62,0.9,2.11,67.5,15.35,0.14,10.77,,Adelaide Managed unt,,1.425,0.5,1.425,1.43,1.43,1.40,-1.40,1.45,1.144,
ADQ,40,7.506,0.927,0.007,0.02,3.1,-11.08,-,-,-,-,,ADG Global Supply,,0.062,-0.3,0.058,0.062,0.062,0.062,-6.36,0.118,0.052,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,-,0.008,0.008,0.008,-1.75,0.013,0.008,
ADL,-,61.306,7.319,0.001,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.003,,0.003,0.004,0.003,0.003,-1.75,0.016,0.002,
