ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4671.9 at 16:47 18/12/2009  Report at 19:06 Friday 18/12/2009. Processed 20:46 Saturday 19/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,10.933,0.833,0.527,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,,2.65,2.70,2.70,2.65,-0.44,3.00,2.50
TQH,5.575,3.096,3.072,0.022,-0.10,-,1.07,13.1,-,-,-,,3Q Hldgs Ltd,,0.14,1,0.15,0.18,0.14,0.13,7.25,0.195,0.105
FCS,71.44,3.413,0.077,0.001,0.03,0.7,-4.2,-,-,-,-,,4C Sec Solution,,0.02,-0.3,0.019,0.02,0.023,0.02,-13.48,0.09,0.015
ABP,38471.4,1251.2,589.502,0.662,0.62,0.7,-11.81,-,7.75,-,17.82,,Abacus Prop stpld,,0.435,2,0.43,0.435,0.435,0.38,4.38,0.48,0.152
ALR,108.73,4.072,2.648,0.082,1.45,1.0,-21.34,-,9,-,6.47,f,Aberdeen Leaders,,1.39,4,1.35,1.375,1.39,1.35,2.52,1.44,0.90
ACX,-,0.832,0.367,-,-0.01,-,-0.33,-,-,-,-,,ACMA Engineering,,0.001,,0.01,-,0.001,0.001,-0.44,0.05,0.001
ACR,1744.19,73.83,43.12,0.337,0.09,23.3,-4.84,-,-,-,-,,Acrux Ltd,,2.10,,2.10,2.15,2.17,1.88,-0.44,2.54,0.42
ACW,-,1.722,1.813,0.002,0.05,1.0,-2.32,-,-,-,-,,Actinogen Ltd,,0.05,,0.05,0.085,0.05,0.05,-0.44,0.10,0.017
ACWO,-,0.008,0.079,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,-0.44,0.004,0.001
ACU,1966.34,42.232,23.852,0.008,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.012,-0.4,0.012,0.016,0.016,0.012,-25.44,0.05,0.012
