ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4685.1 at 16:41 17/9/2010  Report at 19:07 Friday 17/9/2010. Processed 18:07 Sunday 19/9/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,17.605,1.605,0.53,0.069,0.15,21.8,21,15.6,13.7,1.53,4.19,f,1300 Smiles Ltd,,3.27,-21,3.27,3.49,3.38,3.27,-7.87,3.55,2.61,
TQH,-,1.851,2.165,0.012,-0.07,-,0.84,8.9,-,-,-,,3Q Hldgs Ltd,,0.075,,0.07,0.075,0.075,0.075,-1.84,0.18,0.07,
FCS,485.239,4.251,1.917,0.005,0.10,0.3,-0.58,-,-,-,-,,4C Sec Solution,,0.032,-0.8,0.031,0.04,0.04,0.031,-21.84,0.05,0.015,
AAY,125,6.002,-,0.003,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.055,-0.3,0.056,0.072,0.058,0.055,-7.01,0.275,0.03,
ABP,24038.5,834.278,882.325,0.778,0.58,0.7,1.53,27.5,3.9,0.39,9.29,,Abacus Prop stp,,0.42,-0.5,0.415,0.425,0.43,0.415,-3.01,0.48,0.365,
ALR,67.359,3.467,2.549,0.076,1.31,1.0,10.29,12.2,9.5,1.08,7.57,f,Aberdeen Leaders,,1.255,0.5,1.27,1.28,1.28,1.25,-1.44,1.47,1.21,
ACR,794.582,47.76,39.773,0.359,-,-,29.08,7.6,-,-,-,,Acrux Ltd,,2.20,4,2.20,2.24,2.24,2.14,0.02,2.60,1.43,
ACW,24,2.135,1.288,0.004,0.03,3.0,-1.85,-,-,-,-,,Actinogen Ltd,,0.09,-1,0.09,0.105,0.099,0.09,-11.84,0.11,0.027,
ACWO,-,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,0.001,0.02,0.001,0.001,-1.84,0.003,0.001,
ACU,350,61.396,10.001,0.002,-,-,-0.34,-,-,-,-,,Acuvax Ltd,,0.002,,0.002,0.003,0.002,0.002,-1.84,0.018,0.002,
ADA,14,4.036,4.772,0.028,0.19,1.8,-3.5,-,-,-,-,,Adacel Tech,,0.335,1.5,0.30,0.335,0.335,0.32,2.85,0.71,0.30,
AAU,87.5,6.234,4.039,0.012,0.08,2.4,-11.03,-,-,-,-,,Adcorp Aust,,0.19,,0.19,0.195,0.195,0.19,-1.84,0.305,0.145,
ABC,13035,417.439,578.072,2.134,1.16,2.9,23.6,14.2,15.5,1.52,4.61,f,Adelaide Brighton,,3.36,2,3.32,3.37,3.46,3.27,-1.24,3.46,2.293,
AYT,1093.28,11.733,21.115,0.146,1.63,1.0,2.11,73.5,15.35,0.14,9.90,,Adelaide Managed unt,,1.55,,1.545,1.56,1.555,1.54,-1.84,1.56,1.144,
ADQ,115,9.139,2.47,0.007,0.01,6.0,-1.09,-,-,-,-,,ADG Global Supply,,0.06,1,0.057,0.072,0.06,0.05,18.16,0.118,0.05,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,-,0.01,0.008,0.008,-1.84,0.013,0.008,
ADL,416.293,65.264,9.282,-,-,-,-0.56,-,-,-,-,,Admerex Ltd,,0.002,-0.1,0.002,0.003,0.003,0.002,-35.17,0.016,0.002,
ADG,50.2,1.9,0.716,0.101,2.54,1.6,36.7,10.9,23,1.60,5.75,f,Adtrans Grp,,4.00,3,3.97,4.00,4.00,3.97,-1.08,4.19,2.75,
ASC,1066.2,159.561,55.201,0.009,0.02,0.7,-0.43,-,-,-,-,,Adultshop Com,,0.014,-0.1,0.014,0.016,0.014,0.013,-8.50,0.019,0.008,
ASCO,350,28.682,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.005,,0.005,0.007,0.006,0.005,-1.84,0.008,0.002,
ABV,2750.05,49.638,86.409,0.015,-,-,-0.16,-,-,-,-,,Adv Braking Tech,,0.017,,0.016,0.017,0.018,0.016,-1.84,0.034,0.016,
AMT,-,0.665,0.308,0.017,0.16,2.9,-1.31,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.47,,0.35,0.42,0.47,0.47,-1.84,0.64,0.33,
AES,136.5,4.326,0.652,0.018,0.01,4.0,-0.1,-,-,-,-,,Advanced Energy,,0.04,-1,0.031,0.06,0.05,0.04,-21.84,0.125,0.033,
ACE,57,11.204,14.554,0.007,-0.03,-,-2.3,-,-,-,-,,Advanced Engine,,0.035,,0.032,0.035,0.035,0.035,-1.84,0.093,0.031,
ANM,716.27,12.198,22.523,0.013,0.03,1.6,-1.66,-,-,-,-,,Advanced Magnesium,,0.047,-0.3,0.047,0.05,0.052,0.046,-7.84,0.07,0.03,
ASW,112.61,6.566,1.333,0.035,0.11,7.4,3.61,22.6,3.6,1.00,4.42,f,Advanced Share,,0.815,-4.5,0.81,0.815,0.90,0.815,-7.07,0.90,0.235,
