ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4264.9 at 16:46 2/7/2010  Report at 19:07 Friday 2/7/2010. Processed 18:33 Sunday 4/7/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,12.25,1.357,0.09,0.064,0.08,38.1,19.23,15.9,12.5,1.54,4.10,f,1300 Smiles Ltd,,3.05,-10,3.05,3.15,3.15,2.90,0.76,3.20,2.50,
TQH,-,0.893,0.61,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.05,0.10,0.11,0.11,3.93,0.18,0.095,
FCS,231.016,3.235,1.558,0.004,0.01,2.4,-2.77,-,-,-,-,,4C Sec Solution,,0.024,-0.2,0.023,0.034,0.025,0.023,-3.76,0.05,0.015,
AAY,87,3.685,-,0.006,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.12,4.5,0.11,0.15,0.12,0.081,63.93,0.275,0.07,
ABP,53113.4,637.097,621.912,0.725,0.60,0.7,-2.32,-,4,-,10.00,,Abacus Prop stp,,0.40,-1.5,0.395,0.40,0.42,0.395,0.32,0.48,0.33,
ALR,69.398,2.43,1.486,0.073,1.21,1.0,7.67,15.9,9.5,0.81,7.79,f,Aberdeen Leaders,,1.22,-8,1.22,1.255,1.345,1.22,-2.22,1.47,1.17,
ACR,1194.05,41.034,26.74,0.291,0.06,30.2,-2.84,-,-,-,-,,Acrux Ltd,,1.81,-2,1.805,1.88,1.89,1.72,2.84,2.60,1.05,
ACW,12,0.965,1.135,0.001,0.04,0.7,-1.88,-,-,-,-,,Actinogen Ltd,,0.027,,0.02,0.048,0.027,0.027,3.93,0.095,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,3.93,0.003,0.001,
ACU,7853.08,38.362,8.073,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.003,-0.2,0.002,0.004,0.004,0.003,-36.07,0.035,0.003,
ADA,84.1,3.682,1.53,0.027,0.21,1.5,2.7,12.0,-,-,-,,Adacel Tech,,0.325,-4.5,0.33,0.40,0.36,0.325,-8.23,0.84,0.32,
AAU,217.309,4.716,3.057,0.009,0.07,2.1,-2.18,-,-,-,-,,Adcorp Aust,,0.15,-0.5,0.155,0.17,0.17,0.145,0.71,0.305,0.145,
ABC,11366.2,283.13,441.941,1.696,1.21,2.2,20.4,13.1,13.5,1.51,5.06,f,Adelaide Brighton,,2.67,-7,2.62,2.69,2.75,2.54,1.38,3.01,2.03,
