ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:06 Friday 15/1/2010. Processed 19:31 Friday 15/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,11.74,0.039,0.011,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,,2.68,2.70,2.70,2.68,0.26,3.00,2.50
TQH,-,0.005,-,0.025,-0.10,-,1.07,15.0,-,-,-,,3Q Hldgs Ltd,,0.16,,0.145,0.18,0.16,0.16,0.26,0.19,0.105
FCS,78.77,0.292,0.007,0.001,0.03,0.7,-4.2,-,-,-,-,,4C Sec Solution,,0.022,0.4,0.024,0.037,0.022,0.018,22.48,0.09,0.015
ABP,16567.4,28.209,30.158,0.753,0.62,0.7,-11.81,-,5.75,-,13.37,,Abacus Prop stpld,,0.43,-2.5,0.425,0.43,0.455,0.425,-5.24,0.48,0.191
ALR,143.148,0.236,0.122,0.085,1.45,1.0,-21.34,-,9,-,6.25,f,Aberdeen Leaders,,1.44,2,1.42,1.44,1.45,1.38,1.67,1.45,0.90
ACR,1083.92,1.765,8.103,0.329,0.09,22.8,-4.84,-,-,-,-,,Acrux Ltd,,2.05,-7,2.03,2.06,2.17,2.01,-3.04,2.54,0.42
ACW,-,0.096,0.006,0.002,0.05,1.0,-2.32,-,-,-,-,,Actinogen Ltd,,0.05,,0.05,0.06,0.05,0.05,0.26,0.10,0.017
ACWO,-,-,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,0.26,0.004,0.001
ACU,631.105,0.854,1.267,0.012,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.019,0.4,0.018,0.019,0.019,0.015,26.92,0.05,0.012
ADA,8.5,0.051,0.122,0.049,0.22,2.7,8.2,7.2,-,-,-,,Adacel Tech,,0.59,3,0.58,0.59,0.59,0.56,5.61,0.84,0.325
