ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4472.4 at 16:37 4/6/2010  Report at 19:07 Friday 4/6/2010. Processed 13:55 Sunday 6/6/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,31.108,1.319,0.077,0.065,0.08,38.4,19.23,16.0,12.5,1.54,4.07,f,1300 Smiles Ltd,,3.07,2,3.07,3.15,3.07,3.05,0.80,3.07,2.50,
TQH,-,0.893,0.459,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.061,0.11,0.11,0.11,0.15,0.18,0.095,
FCS,1.016,2.841,0.625,0.004,0.01,3.0,-2.77,-,-,-,-,,4C Sec Solution,,0.03,-0.5,0.008,0.03,0.035,0.03,-14.14,0.05,0.015,
AAY,-,2.664,-,0.011,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.21,,0.155,0.21,0.21,0.21,0.15,0.275,0.20,
ABP,18706.4,508.675,483.312,0.689,0.60,0.6,-2.32,-,5.75,-,15.13,,Abacus Prop stp,,0.38,-0.5,0.38,0.385,0.39,0.375,-1.15,0.48,0.325,
ALR,167.151,2.181,1.2,0.075,1.46,0.8,7.67,16.2,9,0.85,7.26,f,Aberdeen Leaders,,1.24,-6,1.27,1.305,1.29,1.23,-4.47,1.47,1.17,
ACR,492.516,38.714,23.724,0.313,0.06,32.5,-2.84,-,-,-,-,,Acrux Ltd,,1.95,-1,1.91,1.95,1.985,1.90,-0.36,2.60,1.05,
ACW,-,0.945,0.885,0.002,0.04,1.0,-1.88,-,-,-,-,,Actinogen Ltd,,0.04,,0.027,0.048,0.04,0.04,0.15,0.10,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,0.15,0.003,0.001,
ACU,979.556,20.269,7.258,0.003,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.005,,0.004,0.005,0.005,0.004,0.15,0.035,0.004,
