ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4651.1 at 16:35 26/2/2010  Report at 19:07 Friday 26/2/2010. Processed 17:32 Sunday 28/2/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,73.26,0.195,0.025,0.056,0.08,34.0,19.23,14.1,12.5,1.54,4.60,f,1300 Smiles Ltd,,2.72,-8,2.75,2.80,2.85,2.68,-2.75,3.00,2.50
TQH,5,0.552,0.213,0.027,-0.10,-,1.07,15.9,-,-,-,,3Q Hldgs Ltd,,0.17,7,0.125,0.17,0.17,0.10,70.11,0.18,0.10
FCS,491.649,2.057,0.148,0.002,0.03,0.7,-4.2,-,-,-,-,,4C Sec Solution,,0.02,0.1,0.02,0.026,0.026,0.02,5.37,0.07,0.015
ABP,38570.1,161.245,133.728,0.746,0.60,0.7,-2.32,-,5.75,-,13.69,,Abacus Prop stpld,,0.42,3,0.415,0.42,0.425,0.385,7.80,0.48,0.245
ALR,62.46,1.038,0.676,0.083,1.41,1.0,7.67,18.3,9,0.85,6.43,f,Aberdeen Leaders,,1.40,6.5,1.345,1.37,1.40,1.335,4.98,1.45,0.90
ACR,972.778,8.114,9.934,0.329,0.06,34.2,-2.84,-,-,-,-,,Acrux Ltd,,2.05,4,2.04,2.05,2.09,1.96,2.10,2.54,0.42
ACW,-,0.22,0.037,0.003,0.05,1.4,-2.32,-,-,-,-,,Actinogen Ltd,,0.07,,0.051,0.074,0.07,0.07,0.11,0.10,0.017
ACWO,-,0.006,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,0.001,0.001,0.001,0.11,0.004,0.001
ACU,536,6.933,4.34,0.009,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.014,,0.013,0.015,0.015,0.014,0.11,0.05,0.012
ADA,35.174,0.695,0.483,0.036,0.21,2.1,2.7,16.3,-,-,-,,Adacel Tech,,0.44,3.5,0.43,0.46,0.45,0.405,8.75,0.84,0.38
AAU,83.412,0.899,0.535,0.011,0.08,2.3,0.45,40.0,1,0.45,5.56,,Adcorp Aust,,0.18,-4.5,0.165,0.195,0.225,0.18,-19.89,0.31,0.165
ABC,12267.3,81.871,39.679,1.503,1.21,2.0,20.4,11.6,13.5,1.51,5.70,f,Adelaide Brighton,,2.37,-16,2.36,2.37,2.58,2.31,-6.21,3.01,1.445
AYT,191.787,1.645,5.188,0.131,1.78,0.7,6.83,19.3,13.82,0.49,10.51,,Adelaide Managed unt,,1.315,-0.5,1.30,1.315,1.32,1.30,-0.27,1.575,1.10
ADQ,713,1.616,0.071,0.008,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.071,1.1,0.07,0.071,0.071,0.06,18.44,0.123,0.058
ADQO,380.207,0.38,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.01,,0.01,0.029,0.01,0.01,-,0.01,0.01
ADL,800,7.56,0.853,0.003,0.01,0.8,-2.68,-,-,-,-,,Admerex Ltd,,0.008,0.1,0.007,0.008,0.008,0.007,14.40,0.016,0.004
ADG,12.218,0.563,0.079,0.088,2.37,1.5,27.9,12.5,20,1.40,5.71,f,Adtrans Grp,,3.50,-6,3.50,3.60,3.60,3.50,-1.57,3.60,1.90
ASC,3000,38.025,18.113,0.006,0.04,0.3,-0.28,-,-,-,-,,Adultshop Com,,0.01,,0.01,0.011,0.011,0.01,0.11,0.014,0.004
ASCO,3666.61,5.53,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.003,0.006,0.003,0.002,0.11,0.005,0.002
ABV,777.289,8.114,6.061,0.016,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.021,,0.021,0.023,0.023,0.021,0.11,0.038,0.005
AMT,62.804,0.115,0.041,0.01,0.22,2.4,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.52,,0.52,0.53,0.53,0.50,0.11,0.64,0.28
AES,-,0.096,0.186,0.022,0.01,5.0,-0.06,-,-,-,-,,Advanced Energy,,0.05,,0.025,0.034,0.05,0.05,0.11,0.085,0.02
ACE,616.059,4.33,1.811,0.009,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.055,,0.05,0.056,0.059,0.055,0.11,0.093,0.031
ANM,917.105,2.712,1.388,0.012,0.01,5.6,-3.07,-,-,-,-,,Advanced Magnesium,,0.056,0.1,0.056,0.06,0.06,0.055,1.93,0.124,0.016
ASW,77,1.777,0.356,0.016,0.11,3.5,3.16,12.3,2.75,1.15,7.05,f,Advanced Share,,0.39,-3,0.365,0.39,0.40,0.385,-7.03,0.435,0.15
AEI,10,0.444,0.086,0.009,0.01,9.0,-2.31,-,-,-,-,,Aeris Environmental,,0.09,-0.5,0.09,0.095,0.095,0.09,-5.15,0.185,0.05
AVE,268.989,12.265,1.813,0.221,2.07,0.6,4.2,29.8,4,1.05,3.20,,Aevum Ltd,,1.25,4,1.23,1.27,1.33,1.20,3.42,1.67,0.545
AFT,11099.7,466.17,8.5,0.006,-,-,-0.03,-,-,-,-,,AFT Corp,,0.001,,0.001,0.002,0.001,0.001,0.11,0.002,0.001
AGK,7784.36,47.401,41.072,6.45,6.00,2.4,358,4.0,54,6.63,3.76,f,AGL Energy Ltd,,14.37,51,14.32,14.39,14.43,13.76,3.79,15.46,12.96
AGJ,-,0.048,-,0.015,0.38,0.4,-3.63,-,2.42,-,14.24,,Agricultural Land unt,,0.17,,0.17,-,0.17,0.17,0.11,0.28,0.13
AHC,10,0.067,-,0.013,4.89,0.5,14.09,16.0,-,-,-,,AHC Ltd,,2.25,,2.25,2.40,2.25,2.25,0.11,2.45,1.295
AGI,61.385,1.105,1.246,0.043,0.02,7.8,-4.45,-,-,-,-,,Ainsworth Game Tech,,0.155,,0.145,0.15,0.155,0.155,0.11,0.22,0.05
AIZ,632.305,3.522,1.191,1.068,1.18,0.8,1.61,61.8,5.22,0.31,5.25,,Air New Zealand fpo nz,,0.995,-5.5,0.995,1.01,1.05,0.995,-5.13,1.12,0.55
AIG,-,-,0.015,0.001,-0.07,-,-5.34,-,-,-,-,,Aircruising Aust,,0.11,,-,-,0.11,0.11,0.11,0.12,0.098
AJL,631.725,9.852,5.288,0.196,2.11,1.4,249.7,1.2,5.5,45.40,1.83,,AJ Lucas Grp,,3.00,-33,2.97,3.11,3.39,2.90,-9.80,5.60,2.03
ACL,881.203,7.983,13.617,0.128,0.09,7.5,-4.6,-,-,-,-,,Alchemia Ltd,,0.675,5.5,0.64,0.67,0.675,0.61,8.98,0.81,0.14
AAI,-,-,-,39.187,-,-,-251.67,-,12.39,-,0.27,,Alcoa Inc cdi,,45.25,,-,45.20,45.25,45.25,0.11,47.10,44.00
LEP,610.092,7.136,2.044,0.339,2.39,0.9,95.98,2.3,27,3.55,12.05,,ALE Prop Grp stpld,,2.24,5,2.21,2.24,2.26,2.15,2.39,2.43,1.433
ALS,2572.2,11.006,18.544,0.411,0.65,6.7,-17.36,-,14,-,3.20,f,Alesco Corp,,4.37,14,4.32,4.40,4.55,4.26,3.42,5.91,0.60
AEJ,7617.97,52.623,163.177,0.057,-1.48,-,-20.34,-,-,-,-,,Alinta Energy Grp stp,,0.079,-0.6,0.079,0.081,0.087,0.079,-6.95,0.13,0.032
ABQ,652.973,9.137,2.502,0.026,0.05,2.7,2.8,4.8,0.5,5.60,3.70,f,Allied Brands Ltd,,0.135,,0.135,0.14,0.14,0.13,0.11,0.245,0.10
ABQO,-,4.651,0.007,-,-,-,-,-,-,-,-,,  opt dec10,,0.001,,-,0.001,0.001,0.001,0.11,0.005,0.001
AEA,216.686,1.567,0.004,0.008,-,-,-3.25,-,-,-,-,,Altera Res Ltd,,0.19,3,0.18,0.19,0.19,0.14,18.86,0.19,0.014
AEAO,-,-,-,-,-,-,-,-,-,-,-,,  opt jan12,,-,,0.035,0.065,-,-,-,-,-
AIQ,2486.11,7.46,0.339,0.135,1.46,0.7,-33.96,-,47,-,45.63,,Alternative Invest unt,,1.03,1,1.03,1.07,1.07,1.02,1.09,1.45,0.575
ALU,610.088,0.87,0.292,0.025,0.09,3.1,-6.97,-,2,-,7.27,,Altium Ltd,,0.275,-1,0.14,0.275,0.285,0.25,-3.40,0.50,0.235
AMA,792.756,8.067,8.314,0.017,-0.23,-,-43.5,-,-,-,-,,AMA Grp Ltd,,0.063,-0.6,0.063,0.07,0.071,0.063,-8.58,0.078,0.017
AHD,293.532,11.601,2.213,0.88,4.65,1.2,68.5,8.3,35,1.96,6.17,f,Amalgamated Hldgs,,5.67,-42,3.81,5.75,6.15,5.61,-6.79,6.24,3.598
AMO,1083.05,1.5,0.088,0.017,0.61,0.9,9.3,6.0,5.5,1.69,9.82,f,Ambertech Ltd,,0.56,9,0.53,0.595,0.57,0.50,19.26,0.57,0.35
AMB,120.888,0.635,0.16,0.024,0.14,2.5,-13.07,-,-,-,-,,Ambition Grp Ltd,,0.35,-5,0.355,0.40,0.40,0.35,-12.39,0.40,0.096
AMH,255.698,1.757,0.827,0.128,0.74,0.9,-1.14,-,2,-,3.05,,Amcil Ltd,,0.655,,0.655,0.665,0.67,0.655,0.11,0.72,0.43
AMM,4557.18,70.334,13.389,0.204,0.18,1.6,2.25,12.7,0.9,2.50,3.16,f,Amcom Telecomm,,0.285,-1,0.28,0.285,0.30,0.285,-3.28,0.345,0.11
AMC,34566.8,205.734,123.172,7.241,2.25,2.6,20.9,28.4,29.5,0.71,4.97,,Amcor Ltd,,5.93,3,5.88,5.93,6.16,5.81,0.62,6.35,3.50
AEC,66.528,1.77,1.629,0.094,1.05,2.5,19.39,13.4,16.5,1.18,6.35,f,Ammtec Ltd,,2.60,-4,2.57,2.60,2.65,2.57,-1.40,3.00,1.30
AGF,567.384,8.743,4.939,0.29,1.33,0.7,4.35,21.0,3.9,1.12,4.26,,AMP Capital China unt,,0.915,,0.915,0.92,0.925,0.90,0.11,1.265,0.73
AMP,55092.6,271.39,164.837,12.169,0.80,7.4,37.1,16.0,30,1.24,5.05,p,AMP Ltd,,5.94,-36,5.90,5.95,6.34,5.86,-5.60,6.97,3.52
ANQ,132,2.164,2.244,0.035,0.02,11.0,-5.6,-,-,-,-,,Anaeco Ltd,,0.22,1,0.23,0.24,0.22,0.20,4.87,0.39,0.175
ANQO,-,-,0.018,-,-,-,-,-,-,-,-,,  opt may10,,0.001,-0.4,-,0.05,0.005,0.005,-79.89,0.015,0.001
ANQOA,-,-,0.018,-,-,-,-,-,-,-,-,,  opt may12,,0.001,-0.3,-,-,0.004,0.004,-74.89,0.004,0.001
