ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4905.2 at 16:37 26/3/2010  Report at 19:08 Friday 26/3/2010. Processed 18:58 Sunday 28/3/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,3.646,0.355,0.028,0.061,0.08,36.3,19.23,15.1,12.5,1.54,4.31,f,1300 Smiles Ltd,,2.90,,2.82,2.90,2.90,2.89,-0.31,3.00,2.50
TQH,-,0.814,0.253,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,,0.095,0.14,0.10,0.10,-0.31,0.18,0.10
FCS,12.608,2.126,0.331,0.001,0.01,1.7,-2.77,-,-,-,-,,4C Sec Solution,,0.017,,0.017,0.02,0.017,0.017,-0.31,0.065,0.015
ABP,26226.9,271.08,286.32,0.707,0.60,0.7,-2.32,-,5.75,-,14.74,,Abacus Prop stp,,0.39,-3,0.39,0.395,0.415,0.39,-7.45,0.48,0.275
ALR,40.328,1.282,0.864,0.088,1.38,1.1,7.67,19.2,9,0.85,6.12,f,Aberdeen Leaders,,1.47,7,1.45,1.47,1.47,1.385,4.69,1.47,1.05
ACR,2633.71,24.053,10.927,0.363,0.06,37.7,-2.84,-,-,-,-,,Acrux Ltd,,2.26,-22,2.25,2.28,2.49,2.18,-9.18,2.60,0.52
ACW,-,0.279,0.07,0.002,0.04,1.1,-1.88,-,-,-,-,,Actinogen Ltd,,0.042,,0.042,0.045,0.042,0.042,-0.31,0.10,0.017
ACWO,-,0.006,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,0.001,0.001,0.001,-0.31,0.004,0.001
ACU,765.101,9.403,5.164,0.008,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.012,,0.012,0.013,0.012,0.011,-0.31,0.05,0.011
ADA,50.555,1.058,0.682,0.029,0.21,1.7,2.7,13.0,-,-,-,,Adacel Tech,,0.35,,0.35,0.36,0.36,0.345,-0.31,0.84,0.32
AAU,73.206,2.089,0.926,0.012,0.07,2.8,-2.18,-,1,-,5.13,,Adcorp Aust,,0.195,,0.195,0.21,0.195,0.19,-0.31,0.31,0.18
ABC,9475.91,126.204,69.503,1.655,1.21,2.2,20.4,12.8,13.5,1.51,5.17,f,Adelaide Brighton,,2.61,,2.60,2.63,2.63,2.54,-0.31,3.01,1.84
AYT,144.66,3.121,7,0.133,1.79,0.7,6.83,19.5,13.82,0.49,10.35,,Adelaide Managed unt,,1.335,1.5,1.335,1.36,1.36,1.32,0.83,1.545,1.10
ADQ,50,2.49,0.098,0.008,0.02,3.3,-11.08,-,-,-,-,,ADG Global Supply,,0.065,0.5,0.063,0.066,0.065,0.06,8.02,0.123,0.058
ADQO,-,0.951,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.012,,0.007,0.028,0.012,0.012,-0.31,0.013,0.01
ADL,590,20.627,1.49,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.005,,0.005,0.006,0.006,0.004,-0.31,0.016,0.004
ADG,85.825,0.68,0.295,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,-20,3.50,3.70,3.70,3.50,-5.71,3.70,2.00
ASC,7546.61,67.65,20.747,0.007,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.011,-0.1,0.011,0.012,0.011,0.01,-8.64,0.015,0.004
ASCO,-,6.579,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.004,,0.004,0.005,0.004,0.004,-0.31,0.005,0.002
ABV,2294.22,12.585,44.412,0.017,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.022,,0.021,0.023,0.022,0.02,-0.31,0.038,0.009
AMT,32.875,0.188,0.046,0.009,0.22,2.3,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.50,-4,0.32,0.59,0.54,0.50,-7.72,0.64,0.28
AES,402.501,0.561,0.189,0.053,0.01,12.0,-0.09,-,-,-,-,,Advanced Energy,,0.12,6.3,0.065,0.095,0.12,0.057,110.20,0.12,0.02
ACE,370.999,6.563,5.577,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.047,-0.1,0.047,0.051,0.051,0.047,-2.39,0.093,0.031
ANM,198.176,3.512,1.761,0.012,0.02,2.9,-2.64,-,-,-,-,,Advanced Magnesium,,0.058,-0.2,0.058,0.06,0.06,0.057,-3.64,0.124,0.019
ASW,247.5,2.341,0.489,0.016,0.11,3.6,3.16,12.5,2.75,1.15,6.96,f,Advanced Share,,0.395,-0.5,0.395,0.41,0.415,0.39,-1.56,0.435,0.15
AEI,72,0.519,0.435,0.009,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.09,0.2,0.09,0.095,0.09,0.085,1.96,0.185,0.054
AVE,2249.65,16.795,3.313,0.196,2.07,0.5,4.2,26.4,4,1.05,3.60,,Aevum Ltd,,1.11,-2,1.11,1.12,1.125,1.105,-2.08,1.67,0.73
AFT,27000,666.968,10.089,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,0.001,0.002,0.001,0.001,-0.31,0.002,0.001
AGK,6063.76,82.868,75.654,6.814,6.21,2.4,27,56.2,57,0.47,3.75,f,AGL Energy Ltd,,15.18,9,15.12,15.25,15.30,14.85,0.29,15.46,13.07
AGJ,54,0.113,-,0.013,0.38,0.4,-2.28,-,2.12,-,14.13,,Agricultural Land unt,,0.15,2,0.14,0.15,0.15,0.13,15.08,0.28,0.13
AHC,-,0.067,-,0.013,4.89,0.5,14.09,16.0,-,-,-,,AHC Ltd,,2.25,,-,2.40,2.25,2.25,-0.31,2.45,1.295
RSR,1.38,0.001,-,0.001,-,-,-,-,-,-,-,,Aii200res etf unt,,5.37,,5.41,5.45,5.45,5.37,-,5.45,5.37
AGI,98.496,1.751,1.81,0.038,0.01,13.5,-4.95,-,-,-,-,,Ainsworth Game Tech,,0.135,0.5,0.135,0.15,0.15,0.125,3.54,0.22,0.065
AIZ,22.675,5.321,1.392,1.031,1.12,0.9,3.9,24.6,5.17,0.75,5.39,,Air New Zealand,,0.96,-6,0.96,1.00,1.01,0.96,-6.19,1.12,0.67
AIG,-,-,0.015,0.001,-0.11,-,-8.38,-,-,-,-,,Aircruising Aust,,0.11,,-,-,0.11,0.11,-0.31,0.12,0.098
AJL,324.161,11.688,13.551,0.185,1.32,2.2,16,17.8,5.5,2.91,1.94,,AJ Lucas Grp,,2.84,-10,2.85,2.77,3.00,2.78,-3.71,5.60,2.03
ACL,1243.34,10.958,27.857,0.116,0.09,6.8,-4.6,-,-,-,-,,Alchemia Ltd,,0.61,-6,0.61,0.62,0.68,0.55,-9.26,0.81,0.271
AAI,-,0.001,-,39.135,-,-,-137.14,-,12.39,-,0.27,,Alcoa Inc cdi,,45.19,,-,44.90,45.19,45.19,-0.31,47.10,44.00
LEP,339.953,11.89,3.778,0.337,2.39,0.9,95.98,2.3,27,3.55,12.27,,ALE Prop Grp stp,,2.20,-3,2.18,2.23,2.25,2.16,-1.65,2.43,1.532
ALS,3607.26,27.081,33.075,0.281,0.65,4.6,-17.36,-,14,-,4.70,f,Alesco Corp,,2.98,-15,2.96,3.03,3.17,2.81,-5.10,5.91,1.755
AJX,-,16.136,-,-,-,-,-0.13,-,-,-,-,,Alexium Int Grp,,-,,-,-,0.024,0.024,-0.31,0.04,0.01
AEJ,6987.46,252.441,303.098,0.059,-1.53,-,-58.71,-,-,-,-,,Alinta Energy Grp stp,,0.073,-0.5,0.073,0.075,0.078,0.073,-6.72,0.13,0.042
ABQ,1017.77,13.782,3.215,0.024,0.06,2.0,2.3,5.2,0.5,4.60,4.17,,Allied Brands Ltd,,0.12,-0.5,0.115,0.12,0.13,0.115,-4.31,0.245,0.10
ABQO,-,4.651,0.007,-,-,-,-,-,-,-,-,,  opt dec10,,0.001,,-,0.001,0.001,0.001,-0.31,0.005,0.001
AEA,909.139,3.315,0.005,0.01,-,-,-3,-,-,-,-,,Altera Res Ltd,,0.23,3,0.20,0.23,0.23,0.18,14.69,0.23,0.019
AEAO,24,0.379,-,-,-,-,-,-,-,-,-,,  opt jan12,,0.06,,0.06,0.075,0.06,0.06,-0.31,0.075,0.06
AIQ,35.013,10.125,0.909,0.139,1.46,0.7,-44.5,-,47,-,44.34,,Alternative Invest unt,,1.06,,1.05,1.065,1.06,1.05,-0.31,1.45,0.71
ALU,4.75,0.992,0.393,0.026,0.09,3.2,-6.97,-,2,-,6.90,,Altium Ltd,,0.29,-1.5,0.29,0.30,0.305,0.29,-5.23,0.50,0.235
AMA,301.168,8.678,13.341,0.013,-0.09,-,7.75,0.6,-,-,-,,AMA Grp Ltd,,0.05,-0.2,0.048,0.05,0.052,0.05,-4.16,0.078,0.017
AHD,283.581,15.507,2.453,0.884,4.65,1.2,68.5,8.3,35,1.96,6.14,f,Amalgamated Hldgs,,5.70,11,5.60,5.78,5.80,5.50,1.66,6.24,3.608
AMO,20,1.656,0.161,0.019,0.61,1.0,9.3,6.8,5.5,1.69,8.73,f,Ambertech Ltd,,0.63,3.5,0.56,0.62,0.63,0.62,5.57,0.63,0.385
AMB,5.356,0.786,0.294,0.027,0.14,2.8,-13.07,-,-,-,-,,Ambition Grp Ltd,,0.395,,0.365,0.40,0.395,0.395,-0.31,0.41,0.101
AMH,317.96,2.806,1.251,0.132,0.72,0.9,-1.14,-,2,-,2.96,,Amcil Ltd,,0.675,-0.5,0.675,0.685,0.68,0.675,-1.04,0.72,0.49
AMM,4366.74,99.652,30.099,0.201,0.18,1.6,2.78,10.1,0.9,3.09,3.21,f,Amcom Telecomm,,0.28,-2,0.28,0.285,0.30,0.27,-6.98,0.345,0.125
AMC,43531.4,343.163,201.139,7.778,2.25,2.8,20.9,30.5,29.5,0.71,4.63,,Amcor Ltd,,6.37,26,6.35,6.39,6.39,6.04,3.95,6.39,4.07
AEC,99.84,2.123,1.879,0.102,1.05,2.7,19.39,14.4,16.5,1.18,5.89,f,Ammtec Ltd,,2.80,-1,2.76,2.80,2.83,2.72,-0.67,3.00,1.45
AGF,1110.55,13.333,8.88,0.29,1.12,0.8,10.02,8.6,8.47,1.18,9.85,,AMP Capital China unt,,0.86,,0.85,0.86,0.88,0.845,-0.31,1.265,0.845
AMP,24572,400.636,421.714,12.988,0.80,7.9,37.1,17.1,30,1.24,4.73,p,AMP Ltd,,6.34,3,6.31,6.36,6.37,6.25,0.17,6.97,4.55
ANQ,110,3.337,5.776,0.036,-,-,-5.5,-,-,-,-,,Anaeco Ltd,,0.22,-1,0.215,0.22,0.23,0.215,-4.66,0.39,0.175
ANQO,-,-,0.022,-,-,-,-,-,-,-,-,,  opt may10,,0.001,-0.4,-,-,0.005,0.005,-80.31,0.015,0.001
ANQOA,-,-,0.019,-,-,-,-,-,-,-,-,,  opt may12,,0.001,-0.3,0.001,-,0.004,0.004,-75.31,0.004,0.001
ALT,15855.7,182.92,10.062,0.023,-,-,-0.24,-,-,-,-,,Analytica Ltd,,0.057,-0.5,0.057,0.06,0.062,0.056,-8.37,0.115,0.019
ANN,3915.22,53.52,54.853,1.653,1.92,6.5,81.7,15.4,29,2.82,2.31,,Ansell Ltd,,12.56,38,12.46,12.70,12.66,11.75,2.81,12.66,7.58
ANO,45.693,3.399,0.528,0.008,0.04,0.9,1.46,2.5,-,-,-,,Antaria Ltd,,0.036,-0.4,0.036,0.04,0.04,0.036,-10.31,0.065,0.029
ADO,29404.8,2831.11,1.652,0.028,-,-,-0.8,-,-,-,-,,Anteo Diagnostics,,0.056,-0.3,0.056,0.057,0.06,0.055,-5.39,0.105,0.004
ADOO,5498.06,400.24,-,0.007,-,-,-,-,-,-,-,,  opt sep10,,0.042,-0.4,0.041,0.043,0.046,0.042,-9.01,0.07,0.001
ADOOA,-,0.464,-,0.002,-,-,-,-,-,-,-,,  opt feb11,,0.02,,0.012,0.025,0.02,0.02,-0.31,0.025,0.015
ANP,52938.1,229.953,2.991,0.015,-,-,-0.55,-,-,-,-,,Antisense Therapeutic,,0.026,-2.1,0.025,0.026,0.047,0.024,-44.99,0.20,0.024
ANZ,46530.6,489.997,464.252,64.472,10.72,2.4,170.4,14.9,102,1.67,4.01,f,ANZ Banking Grp,,25.45,34,25.41,25.45,25.72,24.64,1.04,25.72,14.90
APE,1.45,0.079,0.201,0.375,8.81,1.4,121.6,10.3,62,1.96,4.94,f,AP Eagers Ltd,,12.55,-45,12.55,13.30,13.20,12.55,-3.77,13.55,5.30
APP,36,2.501,0.2,-,-,-,0.1,16.0,-,-,-,,APA Financial,,0.016,,0.016,0.027,0.016,0.016,-0.31,0.023,0.009
