ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:08 Friday 24/9/2010. Processed 22:17 Sunday 26/9/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,0.5,1.606,0.544,0.069,0.15,21.8,21,15.6,13.7,1.53,4.19,f,1300 Smiles Ltd,,3.27,,3.30,3.49,3.27,3.27,0.72,3.55,2.65,
TQH,175.931,2.027,2.891,0.011,-0.07,-,0.84,8.3,-,-,-,,3Q Hldgs Ltd,,0.07,-0.5,0.07,0.08,0.075,0.07,-5.95,0.18,0.07,
FCS,16.484,4.268,2.547,0.005,0.10,0.3,-0.58,-,-,-,-,,4C Sec Solution,,0.031,-0.1,0.031,0.038,0.031,0.031,-2.41,0.048,0.015,
AAY,10,6.012,-,0.003,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.056,0.1,0.056,0.07,0.056,0.055,2.53,0.275,0.03,
ABP,12785.7,847.064,912.822,0.778,0.58,0.7,1.53,27.5,3.9,0.39,9.29,,Abacus Prop stp,,0.42,,0.415,0.42,0.42,0.41,0.72,0.48,0.365,
ALR,39.325,3.507,2.679,0.079,1.29,1.0,10.29,12.6,9.5,1.08,7.31,f,Aberdeen Leaders,,1.30,4.5,1.28,1.30,1.30,1.27,4.30,1.47,1.21,
ACR,333.255,48.094,40.48,0.358,-,-,29.08,7.5,-,-,-,,Acrux Ltd,,2.19,-1,2.15,2.20,2.24,2.11,0.26,2.60,1.51,
ACW,74.967,2.21,1.288,0.004,0.03,3.7,-1.85,-,-,-,-,,Actinogen Ltd,,0.11,2,0.10,0.13,0.11,0.09,22.94,0.11,0.027,
ACWO,-,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,0.001,0.02,0.001,0.001,0.72,0.003,0.001,
ACU,1200,62.596,13.245,0.002,-,-,-0.34,-,-,-,-,,Acuvax Ltd,,0.002,,0.002,0.003,0.002,0.002,0.72,0.013,0.002,
ADA,32.953,4.069,5.094,0.025,0.19,1.6,-3.5,-,-,-,-,,Adacel Tech,,0.30,-3.5,0.305,0.325,0.335,0.30,-9.73,0.69,0.30,
AAU,181.454,6.415,4.055,0.012,0.08,2.5,-11.03,-,-,-,-,,Adcorp Aust,,0.20,1,0.20,0.21,0.20,0.19,5.98,0.305,0.145,
ABC,6449.82,423.889,590.447,2.128,1.16,2.9,23.6,14.2,15.5,1.52,4.63,f,Adelaide Brighton,,3.35,-1,3.34,3.37,3.42,3.30,0.42,3.46,2.293,
AYT,8122.46,19.856,21.159,0.022,1.64,0.1,2.11,10.9,15.35,0.14,66.74,,Adelaide Managed unt,,0.23,-132,0.23,0.235,1.55,0.22,-84.45,1.56,0.22,
ADQ,143.334,9.282,2.581,0.007,0.01,6.0,-1.09,-,-,-,-,,ADG Global Supply,,0.06,,0.06,0.072,0.064,0.06,0.72,0.118,0.05,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,-,0.009,0.008,0.008,0.72,0.013,0.008,
ADL,-,65.264,9.539,-,-,-,-0.56,-,-,-,-,,Admerex Ltd,,0.002,,0.002,0.003,0.002,0.002,0.72,0.016,0.002,
ADG,40.565,1.941,0.717,0.1,2.54,1.6,36.7,10.8,23,1.60,5.79,f,Adtrans Grp,,3.97,-3,3.97,4.00,4.00,3.97,-0.03,4.19,2.75,
ASC,1053.5,160.614,61.877,0.009,0.02,0.7,-0.43,-,-,-,-,,Adultshop Com,,0.014,,0.014,0.016,0.016,0.014,0.72,0.019,0.008,
ASCO,150,28.832,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.004,-0.1,0.004,0.006,0.005,0.004,-19.28,0.008,0.002,
