ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:06 Friday 18/6/2010. Processed 20:20 Friday 18/6/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,6,1.33,0.08,0.068,0.08,40.0,19.23,16.6,12.5,1.54,3.91,f,1300 Smiles Ltd,,3.20,15,3.10,3.20,3.20,3.05,3.64,3.20,2.50,
TQH,-,0.893,0.459,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.071,0.105,0.11,0.11,-1.27,0.18,0.095,
FCS,88.716,2.929,0.627,0.004,0.01,2.6,-2.77,-,-,-,-,,4C Sec Solution,,0.026,-0.4,0.011,0.02,0.03,0.026,-14.61,0.05,0.015,
AAY,99,2.767,-,0.008,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.15,-6,0.045,0.14,0.21,0.15,-29.85,0.275,0.15,
ABP,29259.9,554.634,581.929,0.734,0.60,0.7,-2.32,-,5.75,-,14.20,,Abacus Prop stp,,0.405,1.5,0.40,0.405,0.41,0.38,2.57,0.48,0.33,
ALR,40.683,2.287,1.345,0.077,1.46,0.9,7.67,16.7,9,0.85,7.03,f,Aberdeen Leaders,,1.28,-2.5,1.285,1.30,1.315,1.28,-3.19,1.47,1.17,
ACR,257.557,39.341,25.249,0.305,0.06,31.7,-2.84,-,-,-,-,,Acrux Ltd,,1.90,3.5,1.895,1.90,1.94,1.845,0.60,2.60,1.05,
ACW,-,0.945,0.925,0.002,0.04,1.0,-1.88,-,-,-,-,,Actinogen Ltd,,0.04,,0.027,0.04,0.04,0.04,-1.27,0.10,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-1.27,0.003,0.001,
ACU,4725,28.659,7.55,0.003,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.004,,0.004,0.005,0.005,0.004,-1.27,0.035,0.004,
ADA,65,3.578,1.24,0.034,0.21,2.0,2.7,15.2,-,-,-,,Adacel Tech,,0.41,-6,0.41,0.455,0.415,0.41,-14.04,0.84,0.32,
AAU,1166.02,4.185,2.723,0.01,0.07,2.3,-2.18,-,1,-,6.25,,Adcorp Aust,,0.16,-1.5,0.15,0.17,0.175,0.16,-9.85,0.305,0.16,
ABC,9700.34,259.402,417.843,1.797,1.21,2.3,20.4,13.9,13.5,1.51,4.77,f,Adelaide Brighton,,2.83,11,2.83,2.84,2.86,2.74,2.77,3.01,2.03,
AYT,104.68,6.879,10.888,0.145,1.79,0.8,6.83,21.4,16.02,0.43,10.97,,Adelaide Managed unt,,1.46,,1.46,1.51,1.47,1.45,-1.27,1.565,1.10,
ADQ,422.134,5.215,0.46,0.008,0.02,3.5,-11.08,-,-,-,-,,ADG Global Supply,,0.07,1.8,0.06,0.07,0.072,0.055,33.34,0.118,0.052,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.001,0.008,0.008,0.008,-1.27,0.013,0.008,
ADL,6559.62,46.474,5.524,0.001,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.003,-0.1,0.003,0.004,0.004,0.003,-26.27,0.016,0.003,
ADG,31.8,0.935,0.47,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,,3.50,3.70,3.62,3.50,-1.27,3.70,2.15,
ASC,5141.9,96.201,28.414,0.007,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.011,,0.011,0.012,0.011,0.01,-1.27,0.015,0.004,
ASCO,255.5,18.175,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.003,0.004,0.003,0.003,-1.27,0.005,0.002,
ABV,437.386,22.986,59.739,0.014,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.018,-0.1,0.018,0.019,0.019,0.018,-6.54,0.038,0.009,
AMT,-,0.589,0.114,0.012,0.22,1.6,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.35,,0.385,0.40,0.35,0.35,-1.27,0.64,0.28,
AES,-,3.897,0.331,0.029,0.01,6.5,-0.09,-,-,-,-,,Advanced Energy,,0.065,,0.045,0.065,0.065,0.065,-1.27,0.125,0.02,
ACE,163.396,8.669,10.098,0.007,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.033,-0.2,0.033,0.035,0.035,0.033,-6.99,0.093,0.031,
ANM,375.397,5.751,13.785,0.011,0.02,2.5,-2.64,-,-,-,-,,Advanced Magnesium,,0.05,-0.2,0.05,0.052,0.053,0.05,-5.12,0.07,0.03,
