ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4600.7 at 16:40 10/9/2010  Report at 19:07 Friday 10/9/2010. Processed 16:36 Sunday 12/9/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,18.85,1.587,0.515,0.073,0.15,23.2,21,16.6,13.7,1.53,3.94,f,1300 Smiles Ltd,,3.48,13,3.30,3.48,3.55,3.25,3.38,3.55,2.61,
TQH,205,1.851,2.118,0.012,-0.07,-,0.84,8.9,-,-,-,,3Q Hldgs Ltd,,0.075,-0.5,0.075,0.08,0.08,0.07,-6.75,0.18,0.07,
FCS,26.821,3.766,1.917,0.006,0.10,0.4,-0.58,-,-,-,-,,4C Sec Solution,,0.04,-0.5,0.039,0.045,0.045,0.04,-11.61,0.05,0.015,
AAY,176,5.877,-,0.003,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.058,2.8,0.057,0.076,0.058,0.03,92.83,0.275,0.03,
ABP,14319,810.239,838.501,0.787,0.58,0.7,1.53,27.8,3.9,0.39,9.18,,Abacus Prop stp,,0.425,-0.5,0.425,0.43,0.43,0.42,-1.67,0.48,0.365,
ALR,60.709,3.4,2.49,0.076,1.31,1.0,10.29,12.1,9.5,1.08,7.60,f,Aberdeen Leaders,,1.25,-2,1.25,1.28,1.28,1.25,-2.08,1.47,1.21,
ACR,663.036,46.966,37.491,0.353,-,-,29.08,7.4,-,-,-,,Acrux Ltd,,2.16,7,2.16,2.18,2.20,2.07,2.85,2.60,1.43,
ACW,125.68,2.111,1.268,0.004,0.03,3.3,-1.85,-,-,-,-,,Actinogen Ltd,,0.10,3,0.071,0.115,0.10,0.07,42.35,0.11,0.027,
ACWO,-,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,0.02,0.001,0.001,-0.50,0.003,0.001,
ACU,5686.59,61.046,9.615,0.002,-,-,-0.34,-,-,-,-,,Acuvax Ltd,,0.002,-0.1,0.002,0.003,0.003,0.002,-33.84,0.02,0.002,
