ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4913.5 at 16:37 23/4/2010  Report at 19:07 Friday 23/4/2010. Processed 20:02 Friday 23/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,2.2,0.41,0.052,0.06,0.08,35.6,19.23,14.8,12.5,1.54,4.39,f,1300 Smiles Ltd,,2.85,1,2.85,2.88,2.88,2.85,2.23,3.00,2.50
TQH,1,0.815,0.387,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,0.5,0.09,0.14,0.10,0.10,7.14,0.18,0.095
FCS,4.107,2.198,0.414,0.002,0.01,1.8,-2.77,-,-,-,-,,4C Sec Solution,,0.018,0.1,0.018,0.019,0.018,0.017,7.76,0.06,0.015
AAY,667,2.021,-,0.012,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.23,-2,0.205,0.23,0.25,0.22,-6.13,0.275,0.22
ABP,14070.2,353.999,361.461,0.753,0.60,0.7,-2.32,-,5.75,-,13.86,,Abacus Prop stp,,0.415,,0.41,0.415,0.42,0.40,1.87,0.48,0.28
ALR,40.318,1.415,0.947,0.086,1.38,1.0,7.67,18.8,9,0.85,6.25,f,Aberdeen Leaders,,1.44,-1,1.43,1.44,1.45,1.425,1.18,1.47,1.12
ACR,1492.96,29.208,11.729,0.35,0.06,36.3,-2.84,-,-,-,-,,Acrux Ltd,,2.18,-12,2.18,2.22,2.28,2.18,-3.34,2.60,0.58
ACW,130,0.587,0.17,0.001,0.04,0.9,-1.88,-,-,-,-,,Actinogen Ltd,,0.035,-0.5,0.036,0.04,0.037,0.035,-10.63,0.10,0.017
ACWO,-,0.008,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,1.87,0.004,0.001
ACU,263.311,10.419,6.527,0.009,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.013,0.1,0.012,0.014,0.013,0.012,10.21,0.05,0.011
ADA,507.234,2.185,0.695,0.057,0.21,3.3,2.7,25.6,-,-,-,,Adacel Tech,,0.69,13.5,0.675,0.69,0.69,0.555,26.20,0.84,0.32
AAU,83.307,2.425,1.072,0.014,0.07,3.1,-2.18,-,1,-,4.55,,Adcorp Aust,,0.22,2,0.21,0.22,0.22,0.20,11.87,0.31,0.18
ABC,11313.9,171.567,105.503,1.836,1.21,2.4,20.4,14.2,13.5,1.51,4.67,f,Adelaide Brighton,,2.89,,2.86,2.90,2.94,2.84,1.87,3.01,1.91
AYT,242.399,5.05,8.29,0.156,1.79,0.9,6.83,22.9,16.02,0.43,10.24,,Adelaide Managed unt,,1.565,1.5,1.55,1.565,1.565,1.52,2.84,1.565,1.10
ADQ,368,3.096,0.126,0.008,0.02,3.4,-11.08,-,-,-,-,,ADG Global Supply,,0.068,-0.4,0.058,0.068,0.072,0.062,-3.68,0.123,0.058
ADQO,31.5,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,-0.4,0.005,0.02,0.012,0.008,-31.46,0.013,0.008
ADL,-,28.734,2.788,0.003,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.007,,0.004,0.005,0.007,0.007,1.87,0.016,0.004
ADG,20.444,0.74,0.357,0.089,2.44,1.5,37.1,9.6,20,1.86,5.63,f,Adtrans Grp,,3.55,5,3.55,3.70,3.60,3.50,3.30,3.70,2.00
ASC,2984.86,79.668,22.387,0.006,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.01,0.1,0.01,0.011,0.011,0.009,12.98,0.015,0.004
ASCO,50,8.374,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.002,,0.002,0.004,0.002,0.002,1.87,0.005,0.002
ABV,187.917,17.364,46.025,0.018,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.024,,0.022,0.024,0.024,0.024,1.87,0.038,0.009
AMT,5,0.213,0.074,0.019,0.22,2.5,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.54,3,0.32,0.50,0.54,0.51,7.76,0.64,0.28
AES,26.5,2.855,0.216,0.049,0.01,11.0,-0.09,-,-,-,-,,Advanced Energy,,0.11,1,0.09,0.11,0.11,0.09,11.87,0.125,0.02
ACE,104.986,7.308,6.486,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.045,-0.4,0.045,0.051,0.049,0.045,-6.29,0.093,0.031
ANM,49.162,3.939,1.989,0.012,0.02,2.8,-2.64,-,-,-,-,,Advanced Magnesium,,0.055,-0.2,0.055,0.062,0.056,0.055,-1.64,0.124,0.019
ASW,192.33,2.752,0.632,0.016,0.11,3.6,3.16,12.5,2.75,1.15,6.96,f,Advanced Share,,0.395,-4.5,0.395,0.42,0.42,0.395,-8.35,0.44,0.15
AEI,160,1.699,0.479,0.008,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.079,-0.6,0.079,0.095,0.08,0.075,-5.19,0.185,0.06
AVE,433.355,18.327,4.602,0.209,2.07,0.6,4.2,28.1,4,1.05,3.39,,Aevum Ltd,,1.18,-3,1.185,1.19,1.23,1.17,-0.61,1.67,0.76
AFT,64658.7,770.437,10.589,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,0.001,0.001,0.002,0.001,1.87,0.002,0.001
AGK,5858.83,101.677,98.887,6.877,6.21,2.5,27,56.6,57,0.47,3.73,f,AGL Energy Ltd,,15.28,-13,15.24,15.37,15.58,15.10,1.03,15.69,13.07
AGJ,32.249,0.149,0.147,0.013,0.38,0.4,-2.28,-,2.12,-,14.62,,Agricultural Land unt,,0.145,0.5,0.145,0.155,0.15,0.14,5.44,0.19,0.13
AHC,-,0.068,-,0.012,4.89,0.4,14.09,14.9,-,-,-,,AHC Ltd,,2.10,,2.10,2.35,2.10,2.10,1.87,2.45,1.295
ENY,0.1,-,-,0.001,-,-,-,-,-,-,-,,Aii200energy etf unt,,16.15,-13,15.72,15.89,16.28,16.15,1.07,16.28,16.15
