ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:06 Friday 3/9/2010. Processed 12:00 Sunday 5/9/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,4.46,1.569,0.49,0.071,0.15,22.3,21,16.0,13.7,1.53,4.09,f,1300 Smiles Ltd,,3.35,7,3.20,3.35,3.35,3.28,-1.81,3.35,2.61,
TQH,330,1.646,2.118,0.013,-0.08,-,3.28,2.4,-,-,-,,3Q Hldgs Ltd,,0.08,-2,0.08,0.13,0.11,0.08,-23.94,0.18,0.08,
FCS,55.57,3.739,1.915,0.007,0.01,4.5,-2.77,-,-,-,-,,4C Sec Solution,,0.045,0.3,0.022,0.04,0.045,0.042,3.20,0.05,0.015,
AAY,496.471,5.701,-,0.002,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.03,-3.9,0.03,0.067,0.085,0.03,-60.46,0.275,0.03,
ABP,22825.2,795.92,796.838,0.796,0.58,0.7,1.53,28.1,3.9,0.39,9.07,,Abacus Prop stp,,0.43,2,0.425,0.43,0.435,0.41,0.94,0.48,0.34,
ALR,174.395,3.339,2.414,0.077,1.31,1.0,10.29,12.3,9.5,1.08,7.48,f,Aberdeen Leaders,,1.27,4.5,1.27,1.275,1.27,1.225,-0.27,1.47,1.21,
ACR,1719.24,46.303,36.16,0.341,-,-,29.08,7.2,-,-,-,,Acrux Ltd,,2.09,15,2.04,2.09,2.09,1.92,3.79,2.60,1.41,
ACW,2,1.985,1.268,0.003,0.04,1.8,-1.88,-,-,-,-,,Actinogen Ltd,,0.07,,0.045,0.068,0.07,0.07,-3.94,0.11,0.027,
ACWO,-,0.013,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,0.001,0.02,0.001,0.001,-3.94,0.003,0.001,
ACU,4880,55.36,9.576,0.002,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.003,0.1,0.002,0.003,0.003,0.002,76.07,0.024,0.002,
