ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:07 Friday 28/5/2010. Processed 15:13 Sunday 30/5/2010.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ONT,14.296,1.288,0.077,0.064,0.08,38.1,19.23,15.9,12.5,1.54,4.10,f,1300 Smiles Ltd,,3.05,5,3.00,3.05,3.05,2.90,-1.88,3.05,2.50,
TQH,-,0.893,0.418,0.018,-0.08,-,3.28,3.4,-,-,-,,3Q Hldgs Ltd,,0.11,,0.061,0.11,0.11,0.11,-3.54,0.18,0.095,
FCS,99.895,2.84,0.589,0.004,0.01,3.5,-2.77,-,-,-,-,,4C Sec Solution,,0.035,-1,0.03,0.038,0.035,0.03,-25.76,0.06,0.015,
AAY,11,2.664,-,0.011,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.21,1,0.15,0.21,0.21,0.20,1.46,0.275,0.20,
ABP,23730.5,489.968,453.993,0.698,0.60,0.6,-2.32,-,5.75,-,14.94,,Abacus Prop stp,,0.385,1,0.385,0.39,0.39,0.37,-0.88,0.48,0.325,
ALR,155.943,2.014,1.137,0.078,1.46,0.9,7.67,16.9,9,0.85,6.92,f,Aberdeen Leaders,,1.30,,1.30,1.31,1.31,1.26,-3.54,1.47,1.155,
ACR,3465.32,38.221,21.309,0.315,0.06,32.7,-2.84,-,-,-,-,,Acrux Ltd,,1.96,8,1.96,2.00,2.00,1.86,0.71,2.60,1.05,
ACW,44.686,0.945,0.885,0.002,0.04,1.0,-1.88,-,-,-,-,,Actinogen Ltd,,0.04,1.2,0.04,0.048,0.04,0.027,39.31,0.10,0.027,
ACWO,-,0.008,0.008,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,-3.54,0.003,0.001,
ACU,1748.84,19.289,7.067,0.003,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.005,-0.1,0.004,0.006,0.005,0.004,-20.21,0.035,0.004,
ADA,104.379,3.496,0.772,0.035,0.21,2.0,2.7,15.7,-,-,-,,Adacel Tech,,0.425,6,0.41,0.55,0.425,0.365,12.90,0.84,0.32,
AAU,1,2.853,2.535,0.011,0.07,2.4,-2.18,-,1,-,5.88,,Adcorp Aust,,0.17,,0.18,0.20,0.17,0.17,-3.54,0.305,0.17,
ABC,12067,232.861,374.202,1.728,1.21,2.2,20.4,13.3,13.5,1.51,4.96,f,Adelaide Brighton,,2.72,10,2.71,2.73,2.74,2.55,0.27,3.01,2.03,
AYT,113.2,6.453,9.647,0.149,1.78,0.8,6.83,21.9,16.02,0.43,10.72,,Adelaide Managed unt,,1.495,0.5,1.495,1.50,1.525,1.47,-3.21,1.565,1.10,
ADQ,200,4.208,0.355,0.007,0.02,2.9,-11.08,-,-,-,-,,ADG Global Supply,,0.059,,0.056,0.066,0.059,0.058,-3.54,0.123,0.058,
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.004,0.009,0.008,0.008,-3.54,0.013,0.008,
ADL,450,34.066,4.53,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.004,-0.1,0.004,0.005,0.005,0.004,-23.54,0.016,0.004,
ADG,17.637,0.852,0.45,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,,3.50,3.70,3.50,3.50,-3.54,3.70,2.00,
ASC,1125,85.755,24.505,0.005,0.02,0.4,-0.19,-,-,-,-,,Adultshop Com,,0.008,,0.008,0.01,0.008,0.008,-3.54,0.015,0.004,
ASCO,-,17.675,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.002,0.003,0.003,0.003,-3.54,0.005,0.002,
ABV,150,20.811,55.33,0.016,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.021,-0.1,0.018,0.021,0.021,0.018,-8.09,0.038,0.009,
AMT,320.218,0.587,0.111,0.012,0.22,1.5,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.33,-7,0.25,0.44,0.40,0.33,-21.04,0.64,0.28,
AES,66.875,3.841,0.319,0.022,0.01,5.0,-0.09,-,-,-,-,,Advanced Energy,,0.05,-1.5,0.04,0.12,0.065,0.05,-26.62,0.125,0.02,
ACE,-,7.961,9.492,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.037,,0.03,0.04,0.037,0.037,-3.54,0.093,0.031,
ANM,401.081,5.197,2.733,0.012,0.02,2.9,-2.64,-,-,-,-,,Advanced Magnesium,,0.058,0.9,0.058,0.059,0.058,0.049,14.83,0.124,0.019,
ASW,82.531,3.059,0.739,0.015,0.11,3.5,3.16,12.0,2.75,1.15,7.24,f,Advanced Share,,0.38,-1.5,0.38,0.39,0.40,0.38,-7.34,0.44,0.195,
