ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4651.4 at 16:47 11/12/2009  Report at 19:06 Friday 11/12/2009. Processed 19:07 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,35.737,0.822,0.484,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,,2.65,2.70,2.70,2.70,1.48,3.00,2.50
TQH,-,3.091,2.922,0.02,-0.10,-,1.07,12.1,-,-,-,,3Q Hldgs Ltd,,0.13,,0.14,0.18,0.13,0.13,1.48,0.195,0.105
FCS,51.628,3.341,0.014,0.001,0.03,0.8,-4.2,-,-,-,-,,4C Sec Solution,,0.023,,0.023,0.035,0.025,0.023,1.48,0.09,0.015
ABP,15351.5,1212.73,563.235,0.632,0.62,0.7,-11.81,-,7.75,-,18.67,,Abacus Prop stpld,,0.415,0.5,0.41,0.415,0.425,0.405,2.70,0.48,0.147
ALR,34.164,3.964,2.52,0.08,1.42,1.0,-21.34,-,9,-,6.67,f,Aberdeen Leaders,,1.35,-4,1.34,1.38,1.37,1.33,-1.40,1.44,0.90
ACX,-,0.832,0.367,-,-0.01,-,-0.33,-,-,-,-,,ACMA Engineering,,0.001,,0.01,-,0.001,0.001,1.48,0.05,0.001
ACR,1528.97,72.086,42.739,0.337,0.09,23.3,-4.84,-,-,-,-,,Acrux Ltd,,2.10,-9,2.10,2.13,2.30,1.94,-2.63,2.54,0.42
ACW,-,1.722,1.813,0.002,0.05,1.0,-2.32,-,-,-,-,,Actinogen Ltd,,0.05,,0.055,0.06,0.05,0.05,1.48,0.10,0.017
ACWO,-,0.008,0.079,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,1.48,0.004,0.001
ACU,504.25,40.266,23.765,0.01,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.016,,0.016,0.018,0.018,0.016,1.48,0.05,0.014
ADA,82.14,6.764,4.255,0.045,0.22,2.5,8.2,6.6,-,-,-,,Adacel Tech,,0.545,-2.5,0.545,0.56,0.585,0.545,-2.91,0.84,0.325
AAU,32.75,5.171,11.301,0.015,0.08,3.1,0.45,54.4,1,0.45,4.08,,Adcorp Aust,,0.245,,0.245,0.27,0.26,0.245,1.48,0.345,0.165
ABC,8528.05,694.36,282.335,1.63,1.15,2.2,20.8,12.4,14,1.49,5.45,f,Adelaide Brighton,,2.57,,2.55,2.58,2.63,2.50,1.48,3.01,1.445
AYT,168.75,23.05,19.919,0.133,1.79,0.7,12.59,10.6,15.47,0.81,11.59,,Adelaide Managed unt,,1.335,-1.5,1.34,1.35,1.365,1.325,0.37,1.76,1.10
ADQ,80.895,4.132,1.194,0.008,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.08,,0.07,0.08,0.09,0.08,1.48,0.165,0.058
ADQN,-,-,-,-,-,-,-,-,-,-,-,,  def,,-,,-,-,-,-,-,-,-
ADQO,-,-,-,-,-,-,-,-,-,-,-,,  optmar11d,,-,,-,-,-,-,-,-,-
ADL,865,12.556,12.354,0.003,0.01,0.8,-2.68,-,-,-,-,,Admerex Ltd,,0.008,-0.4,0.009,0.012,0.01,0.008,-31.85,0.016,0.004
ADG,19.662,0.948,1.938,0.087,2.37,1.5,27.9,12.5,16,1.74,4.60,f,Adtrans Grp,,3.48,33,3.31,3.48,3.48,3.25,11.96,3.48,1.65
ASC,4019.65,110.194,67.595,0.006,0.04,0.3,-0.28,-,-,-,-,,Adultshop Com,,0.01,,0.009,0.01,0.011,0.009,1.48,0.012,0.003
ASCO,300,3.823,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,-0.1,0.002,0.003,0.004,0.003,-23.52,0.004,0.002
ABV,304.8,101.823,57.126,0.023,0.01,3.0,-0.36,-,-,-,-,,Adv Braking Tech,,0.03,-0.1,0.03,0.032,0.032,0.03,-1.75,0.038,0.005
AMT,10.002,0.727,1.75,0.011,0.20,2.9,-2.9,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.585,-1.5,0.585,0.60,0.60,0.56,-1.02,0.64,0.28
AES,76.192,1.262,8.355,0.028,0.01,6.3,-0.06,-,-,-,-,,Advanced Energy,,0.063,-0.3,0.063,0.064,0.066,0.063,-3.07,0.085,0.02
ACE,98,23.726,18.916,0.009,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.059,-0.1,0.059,0.067,0.06,0.059,-0.19,0.093,0.031
ANM,290.012,27.294,28.811,0.012,0.01,5.5,-3.07,-,-,-,-,,Advanced Magnesium,,0.055,-0.1,0.056,0.06,0.057,0.055,-0.31,0.124,0.013
ASW,75,2.489,3.224,0.014,0.09,3.9,2.1,16.7,2,1.05,5.71,f,Advanced Share,,0.35,0.5,0.34,0.395,0.36,0.345,2.93,0.36,0.15
AEI,835.5,7.99,6.407,0.01,0.01,10.0,-2.31,-,-,-,-,,Aeris Environmental,,0.10,-2,0.11,0.12,0.12,0.10,-15.19,0.185,0.05
AVE,169.794,19.259,41.832,0.177,2.07,0.7,-9.7,-,4,-,2.91,,Aevum Ltd,,1.375,-0.5,1.375,1.41,1.42,1.36,1.12,1.67,0.545
AFT,3101,397.265,1800.65,0.006,-,-,-0.03,-,-,-,-,,AFT Corp,,0.001,,-,0.001,0.001,0.001,1.48,0.001,0.001
AGK,4452.89,364.417,392.975,6.118,6.00,2.3,358,3.8,54,6.63,3.96,f,AGL Energy Ltd,,13.63,-22,13.61,13.65,14.06,13.55,-0.11,15.80,12.83
