ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4771.9 at 16:36 22/1/2010  Report at 19:06 Friday 22/1/2010. Processed 20:03 Friday 22/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,11.5,0.05,0.014,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,,2.70,2.75,2.70,2.68,3.20,3.00,2.50
TQH,-,0.005,0.115,0.025,-0.10,-,1.07,15.0,-,-,-,,3Q Hldgs Ltd,,0.16,,0.145,0.18,0.16,0.16,3.20,0.19,0.105
FCS,168.877,0.461,0.011,0.001,0.03,0.7,-4.2,-,-,-,-,,4C Sec Solution,,0.02,-0.2,0.02,0.035,0.024,0.02,-5.89,0.09,0.015
ABP,16229.1,44.438,49.115,0.709,0.62,0.7,-11.81,-,5.75,-,14.20,,Abacus Prop stpld,,0.405,-2.5,0.405,0.41,0.43,0.40,-2.62,0.48,0.216
ALR,176.381,0.412,0.261,0.082,1.45,1.0,-21.34,-,9,-,6.47,f,Aberdeen Leaders,,1.39,-5,1.39,1.415,1.445,1.385,-0.27,1.45,0.90
ACR,1227.65,2.993,8.55,0.314,0.09,21.8,-4.84,-,-,-,-,,Acrux Ltd,,1.96,-9,1.96,1.99,2.06,1.86,-1.19,2.54,0.42
ACW,6,0.102,0.006,0.002,0.05,1.1,-2.32,-,-,-,-,,Actinogen Ltd,,0.055,0.5,0.055,0.06,0.055,0.05,13.20,0.10,0.017
ACWO,-,-,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,3.20,0.004,0.001
ACU,532.704,1.387,1.599,0.011,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.017,-0.2,0.016,0.017,0.019,0.016,-7.33,0.05,0.012
ADA,118.29,0.169,0.188,0.045,0.22,2.5,8.2,6.6,-,-,-,,Adacel Tech,,0.545,-4.5,0.54,0.56,0.58,0.545,-4.43,0.84,0.325
AAU,22.5,0.275,0.1,0.014,0.08,2.9,0.45,51.1,1,0.45,4.35,,Adcorp Aust,,0.23,-0.5,0.235,0.245,0.24,0.23,1.07,0.31,0.165
ABC,6917.03,20.866,13.182,1.649,1.15,2.3,20.8,12.5,14,1.49,5.38,f,Adelaide Brighton,,2.60,-3,2.59,2.61,2.67,2.54,2.06,3.01,1.445
AYT,299.05,0.473,0.369,0.134,1.78,0.8,12.59,10.7,15.47,0.81,11.46,,Adelaide Managed unt,,1.35,,1.35,1.38,1.38,1.35,3.20,1.76,1.10
ADQ,191.291,0.288,-,0.007,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.06,,0.06,0.065,0.062,0.06,3.20,0.142,0.058
ADQO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar11,,-,,0.002,0.02,-,-,-,-,-
