ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4942.2 at 16:42 8/1/2010  Report at 19:06 Friday 8/1/2010. Processed 12:03 Saturday 9/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,26.887,0.027,0.011,0.055,0.13,20.8,18.7,14.4,11.4,1.64,4.22,f,1300 Smiles Ltd,,2.70,,2.68,2.70,2.70,2.70,-1.22,3.00,2.50
TQH,4.8,0.005,-,0.025,-0.10,-,1.07,15.0,-,-,-,,3Q Hldgs Ltd,,0.16,,0.16,0.18,0.16,0.16,-1.22,0.195,0.105
FCS,213.555,0.214,-,0.001,0.03,0.6,-4.2,-,-,-,-,,4C Sec Solution,,0.018,,0.018,0.021,0.018,0.016,-1.22,0.09,0.015
ABP,11641.5,11.642,17.14,0.797,0.62,0.7,-11.81,-,5.75,-,12.64,,Abacus Prop stpld,,0.455,1,0.45,0.455,0.47,0.445,1.03,0.48,0.191
ABPNA,50,0.05,-,0.101,-,-,-,-,-,-,-,,  new,,0.44,0.5,-,-,0.44,0.435,-0.07,0.44,0.43
ALR,92.742,0.093,0.081,0.084,1.45,1.0,-21.34,-,9,-,6.34,f,Aberdeen Leaders,,1.42,0.5,1.395,1.415,1.43,1.38,-0.86,1.44,0.90
ACR,681.055,0.681,0.252,0.34,0.09,23.6,-4.84,-,-,-,-,,Acrux Ltd,,2.12,-6,2.12,2.15,2.23,2.07,-3.97,2.54,0.42
ACW,96,0.096,-,0.002,0.05,1.0,-2.32,-,-,-,-,,Actinogen Ltd,,0.05,,0.05,0.055,0.05,0.05,-1.22,0.10,0.017
ACWO,-,-,-,-,-,-,-,-,-,-,-,,  opt aug12,,0.003,,-,-,0.003,0.003,-1.22,0.004,0.001
ACU,222.841,0.223,0.547,0.01,-,-,-0.43,-,-,-,-,,Acuvax Ltd,,0.015,-0.2,0.014,0.017,0.016,0.014,-12.98,0.05,0.012
ADA,42.4,0.042,0.047,0.046,0.22,2.5,8.2,6.8,-,-,-,,Adacel Tech,,0.56,2.5,0.56,0.59,0.59,0.54,3.45,0.84,0.325
AAU,71.165,0.071,0.077,0.016,0.08,3.3,0.45,57.8,1,0.45,3.85,,Adcorp Aust,,0.26,2,0.235,0.26,0.26,0.23,7.12,0.34,0.165
ABC,9789.05,9.789,4.385,1.668,1.15,2.3,20.8,12.6,14,1.49,5.32,f,Adelaide Brighton,,2.63,-12,2.63,2.64,2.76,2.62,-5.58,3.01,1.445
AYT,50.26,0.05,0.128,0.137,1.81,0.8,12.59,10.9,15.47,0.81,11.25,,Adelaide Managed unt,,1.375,4,1.37,1.45,1.38,1.335,1.78,1.76,1.10
ADQ,96.75,0.097,-,0.006,-,-,-8.68,-,-,-,-,,ADG Global Supply,,0.06,-1,0.06,0.068,0.069,0.06,-15.50,0.142,0.058
ADQO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar11,,-,,0.003,-,-,-,-,-,-
ADL,319,0.319,0.2,0.004,0.01,1.0,-2.68,-,-,-,-,,Admerex Ltd,,0.01,0.1,0.01,0.011,0.01,0.009,9.89,0.016,0.004
ADG,8.429,0.008,-,0.087,2.37,1.5,27.9,12.4,16,1.74,4.64,f,Adtrans Grp,,3.45,-5,3.45,3.70,3.50,3.45,-2.65,3.53,1.65
ASC,3266.65,3.267,1.228,0.007,0.04,0.3,-0.28,-,-,-,-,,Adultshop Com,,0.011,0.1,0.011,0.012,0.011,0.011,8.78,0.012,0.003
ASCO,-,-,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,,0.002,0.004,0.003,0.003,-1.22,0.004,0.002
ABV,411.919,0.412,0.05,0.022,0.01,2.9,-0.36,-,-,-,-,,Adv Braking Tech,,0.029,-0.1,0.028,0.03,0.031,0.029,-4.55,0.038,0.005
AMT,3.334,0.003,-,0.011,0.20,2.8,-2.9,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.57,-3,0.57,0.60,0.60,0.57,-6.22,0.64,0.28
AES,-,-,0.02,0.028,0.01,6.3,-0.06,-,-,-,-,,Advanced Energy,,0.063,,0.045,0.063,0.063,0.063,-1.22,0.085,0.02
ACE,126.213,0.126,0.316,0.008,-0.04,-,-1.9,-,-,-,-,,Advanced Engine,,0.055,0.3,0.054,0.057,0.055,0.053,4.55,0.093,0.031
ANM,195.874,0.196,-,0.014,0.01,6.3,-3.07,-,-,-,-,,Advanced Magnesium,,0.063,0.3,0.063,0.064,0.064,0.062,3.78,0.124,0.014
ASW,42.5,0.043,0.087,0.017,0.09,4.7,2.1,20.0,2,1.05,4.76,f,Advanced Share,,0.42,2,0.40,0.41,0.42,0.40,3.78,0.435,0.15
AEI,90,0.09,0.008,0.012,0.01,12.0,-2.31,-,-,-,-,,Aeris Environmental,,0.12,,0.11,0.12,0.12,0.11,-1.22,0.185,0.05
AVE,182.137,0.182,0.077,0.19,2.07,0.7,-9.7,-,4,-,2.70,,Aevum Ltd,,1.48,8,1.48,1.52,1.50,1.44,4.50,1.67,0.545
AFT,6080.79,6.081,-,0.006,-,-,-0.03,-,-,-,-,,AFT Corp,,0.001,,-,0.001,0.001,0.001,-1.22,0.001,0.001
AGK,3575.12,3.575,5.166,6.347,6.00,2.4,358,3.9,54,6.63,3.82,f,AGL Energy Ltd,,14.14,8,14.13,14.16,14.41,14.07,-0.65,15.46,12.83
AGJ,-,-,-,0.015,0.38,0.5,-3.63,-,2.42,-,13.83,,Agricultural Land unt,,0.175,,0.17,-,0.175,0.175,-1.22,0.28,0.13
AHC,-,-,-,0.013,3.31,0.7,17.79,12.6,-,-,-,,AHC Ltd,,2.25,,2.25,2.45,2.25,2.25,-1.22,2.45,1.295
AGI,175.843,0.176,0.757,0.049,0.02,8.8,-4.45,-,-,-,-,,Ainsworth Game Tech,,0.175,-0.5,0.175,0.185,0.185,0.175,-4.00,0.22,0.05
AIZ,24.331,0.024,0.409,1.052,1.18,0.8,1.61,60.9,5.22,0.31,5.33,,Air New Zealand fpo nz,,0.98,1,0.955,0.975,0.98,0.95,-0.19,1.12,0.55
AIG,-,-,-,0.001,-0.07,-,-5.34,-,-,-,-,,Aircruising Aust,,0.11,,0.04,0.11,0.11,0.11,-1.22,0.12,0.098
AJL,658.259,0.658,0.486,0.284,2.11,2.1,249.7,1.8,10.5,23.78,2.40,f,AJ Lucas Grp,,4.38,23,4.35,4.51,4.62,4.05,4.32,5.60,2.03
ACL,919.95,0.92,2.83,0.127,0.03,22.3,-5.2,-,-,-,-,,Alchemia Ltd,,0.67,-5,0.67,0.695,0.73,0.67,-8.16,0.76,0.106
AAI,-,-,-,38.876,-,-,-251.67,-,31.58,-,0.70,,Alcoa Inc cdi,,44.89,,-,44.89,44.89,44.89,-1.22,47.10,44.00
LEP,2373.84,2.374,0.066,0.345,3.08,0.7,31.51,7.2,30,1.05,13.16,,ALE Prop Grp stpld,,2.28,1,2.26,2.28,2.28,2.21,-0.78,2.43,1.416
ALS,895.571,0.896,0.939,0.456,0.49,9.9,-13.94,-,7,-,1.44,f,Alesco Corp,,4.85,10,4.82,4.88,4.95,4.73,0.89,5.91,0.60
AEJ,8342.68,8.343,57.381,0.065,-1.48,-,-20.34,-,-,-,-,,Alinta Energy Grp stpld,,0.09,-0.5,0.089,0.09,0.095,0.089,-6.48,0.13,0.032
ABQ,2005.57,2.006,0.031,0.032,0.05,3.4,2.8,6.1,0.5,5.60,2.94,f,Allied Brands Ltd,,0.17,-1,0.17,0.175,0.18,0.17,-6.77,0.28,0.10
ABQO,0.58,-,-,-,-,-,-,-,-,-,-,,  opt dec10,,0.003,,0.003,0.005,0.003,0.003,-1.22,0.029,0.001
