ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4833.9 at 16:43 30/4/2010  Report at 19:08 Friday 30/4/2010. Processed 12:54 Sunday 2/5/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
ONT,19.924,0.43,0.052,0.061,0.08,36.0,19.23,15.0,12.5,1.54,4.34,f,1300 Smiles Ltd,,2.88,3,2.80,2.88,2.88,2.75,2.67,3.00,2.50
TQH,3,0.818,0.397,0.016,-0.08,-,3.28,3.0,-,-,-,,3Q Hldgs Ltd,,0.10,,0.09,0.135,0.10,0.10,1.62,0.18,0.095
FCS,278.368,2.477,0.521,0.002,0.01,2.1,-2.77,-,-,-,-,,4C Sec Solution,,0.021,0.3,0.021,0.03,0.021,0.018,18.29,0.06,0.015
AAY,393.525,2.415,-,0.012,-,-,-,-,-,-,-,,Aacl Hldgs Ltd,,0.24,1,0.24,0.25,0.25,0.23,5.97,0.275,0.22
ABP,33410.6,387.41,381.803,0.744,0.60,0.7,-2.32,-,5.75,-,14.02,,Abacus Prop stp,,0.41,-0.5,0.405,0.41,0.415,0.395,0.42,0.48,0.285
ALR,115.771,1.53,0.975,0.083,1.38,1.0,7.67,18.0,9,0.85,6.52,f,Aberdeen Leaders,,1.38,-6,1.40,1.42,1.44,1.38,-2.55,1.47,1.15
ACR,1404.53,30.612,11.956,0.316,0.06,32.8,-2.84,-,-,-,-,,Acrux Ltd,,1.97,-21,1.97,2.00,2.18,1.75,-8.01,2.60,0.60
ACW,25,0.612,0.239,0.002,0.04,1.2,-1.88,-,-,-,-,,Actinogen Ltd,,0.048,1.3,0.037,0.048,0.048,0.04,38.76,0.10,0.025
ACWO,-,0.008,0.006,-,-,-,-,-,-,-,-,,  opt aug12,,0.001,,-,-,0.001,0.001,1.62,0.004,0.001
ACU,290.111,10.709,6.539,0.009,-,-,-0.37,-,-,-,-,,Acuvax Ltd,,0.013,,0.012,0.013,0.013,0.013,1.62,0.05,0.011
ADA,496.193,2.681,0.71,0.054,0.21,3.1,2.7,24.4,-,-,-,,Adacel Tech,,0.66,-3,0.66,0.665,0.69,0.58,-2.73,0.84,0.32
AAU,193.283,2.619,1.293,0.011,0.07,2.6,-2.18,-,1,-,5.56,,Adcorp Aust,,0.18,-4,0.18,0.20,0.22,0.18,-16.56,0.31,0.18
ABC,5404.12,176.971,114.278,1.861,1.21,2.4,20.4,14.4,13.5,1.51,4.61,f,Adelaide Brighton,,2.93,4,2.92,2.94,2.94,2.83,3.00,3.01,2.03
AYT,209.52,5.259,8.369,0.153,1.79,0.9,6.83,22.5,16.02,0.43,10.40,,Adelaide Managed unt,,1.54,-2.5,1.53,1.54,1.555,1.54,0.02,1.565,1.10
ADQ,65,3.161,0.126,0.008,0.02,3.6,-11.08,-,-,-,-,,ADG Global Supply,,0.072,0.4,0.062,0.072,0.072,0.062,7.50,0.123,0.058
ADQO,-,0.982,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.008,,0.005,0.02,0.008,0.008,1.62,0.013,0.008
ADL,4187.33,32.921,3.378,0.002,-,-,-0.4,-,-,-,-,,Admerex Ltd,,0.006,-0.1,0.004,0.006,0.007,0.004,-12.67,0.016,0.004
ADG,18.95,0.759,0.357,0.088,2.44,1.4,37.1,9.4,20,1.86,5.71,f,Adtrans Grp,,3.50,-5,3.50,3.65,3.55,3.50,0.21,3.70,2.00
ASC,1740.6,81.408,23.108,0.006,0.02,0.5,-0.19,-,-,-,-,,Adultshop Com,,0.01,,0.01,0.011,0.011,0.01,1.62,0.015,0.004
ASCO,3666.94,12.041,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.003,0.1,0.003,0.004,0.004,0.002,51.62,0.005,0.002
ABV,465.3,17.829,48.381,0.017,-,-,-0.32,-,-,-,-,,Adv Braking Tech,,0.022,-0.2,0.022,0.023,0.024,0.022,-6.71,0.038,0.009
AMT,20,0.233,0.094,0.017,0.22,2.3,-0.1,-,-,-,-,,Adv Surg Dsgn & Mnft,,0.495,-4.5,0.32,0.495,0.54,0.49,-6.71,0.64,0.28
AES,394,3.249,0.239,0.04,0.01,9.0,-0.09,-,-,-,-,,Advanced Energy,,0.09,-2,0.085,0.10,0.115,0.09,-16.56,0.125,0.02
ACE,0.574,7.309,6.542,0.008,-0.05,-,-2.58,-,-,-,-,,Advanced Engine,,0.045,,0.04,0.044,0.045,0.045,1.62,0.093,0.031
ANM,239.495,4.179,2.163,0.012,0.02,2.9,-2.64,-,-,-,-,,Advanced Magnesium,,0.057,0.2,0.058,0.061,0.062,0.055,5.26,0.124,0.019
ASW,-,2.752,0.637,0.016,0.11,3.6,3.16,12.5,2.75,1.15,6.96,f,Advanced Share,,0.395,,0.40,0.42,0.395,0.395,1.62,0.44,0.15
AEI,-,1.699,0.479,0.008,-,-,-2.05,-,-,-,-,,Aeris Environmental,,0.079,,0.08,0.085,0.079,0.079,1.62,0.185,0.06
AVE,260.076,18.587,4.784,0.215,2.07,0.6,4.2,28.8,4,1.05,3.31,,Aevum Ltd,,1.21,3,1.18,1.22,1.21,1.175,4.16,1.67,0.795
AFT,9200.04,779.637,16.095,0.006,-,-,-0.01,-,-,-,-,,AFT Corp,,0.001,,0.001,0.001,0.001,0.001,1.62,0.002,0.001
AGK,6274.79,107.952,106.692,6.774,6.21,2.4,27,55.7,57,0.47,3.79,f,AGL Energy Ltd,,15.05,-23,15.05,15.07,15.47,14.88,0.11,15.69,13.07
AGJ,21.75,0.17,0.147,0.013,0.38,0.4,-2.28,-,2.12,-,14.62,,Agricultural Land unt,,0.145,,0.145,0.155,0.145,0.145,1.62,0.19,0.13
AHC,-,0.068,-,0.012,4.89,0.4,14.09,14.9,-,-,-,,AHC Ltd,,2.10,,2.10,2.35,2.10,2.10,1.62,2.45,1.295
ENY,0.15,-,-,0.001,-,-,-,-,-,-,-,,Aii200energy etf unt,,16.50,35,15.48,15.65,16.50,16.15,3.79,16.50,16.15
FIN,-,0.021,-,0.001,-,-,-,-,-,-,-,,Aii200financials etf unt,,5.01,,3.96,5.76,5.01,5.01,1.62,5.09,4.95
FIX,0.515,-,-,0.001,-,-,-,-,-,-,-,,Aii200finxareit etf unt,,5.83,-15,5.73,5.80,5.98,5.83,-0.89,5.98,5.83
IDD,-,0.003,-,-,-,-,-,-,-,-,-,,Aii200industrials etf unt,,3.94,,3.20,3.94,3.94,3.94,1.62,3.97,3.94
RSR,5.602,0.053,-,0.001,-,-,-,-,-,-,-,,Aii200res etf unt,,5.30,-16,5.24,5.27,5.46,5.28,-1.31,5.65,5.28
MAM,14.4,0.031,-,-,-,-,-,-,-,-,-,,Aii300metals&Min etf unt,,4.43,-24,4.37,4.40,4.57,4.43,-3.52,4.83,4.43
AGI,135.265,2.366,2.503,0.035,0.01,12.5,-4.95,-,-,-,-,,Ainsworth Game Tech,,0.125,-1,0.125,0.13,0.13,0.125,-5.79,0.22,0.065
AHJ,-,2.526,0.261,-,0.09,-,-4.26,-,-,-,-,,AIR Change Int,,-,,-,-,0.10,0.10,1.62,0.15,0.02
AIZ,2211.67,9.242,2.301,1.135,1.12,0.9,3.9,27.1,5.17,0.75,4.90,,Air New Zealand,,1.055,1,1.005,1.075,1.07,1.045,2.58,1.145,0.67
AIG,-,-,0.055,0.001,-0.11,-,-8.38,-,-,-,-,,Aircruising Aust,,0.11,,0.002,0.10,0.11,0.11,1.62,0.11,0.098
AJL,361.742,14.046,22.301,0.172,1.32,2.0,16,16.4,5.5,2.91,2.09,,AJ Lucas Grp,,2.63,-16,2.61,2.63,2.86,2.61,-4.11,5.60,2.03
ACL,1267.63,16.878,33.949,0.103,0.09,6.0,-4.6,-,-,-,-,,Alchemia Ltd,,0.54,-3,0.525,0.54,0.58,0.505,-3.64,0.81,0.299
AAI,11.973,0.018,-,17.329,-,-,-137.14,-,12.39,-,0.62,,Alcoa Inc cdi,,20.01,-339,17.10,28.00,23.40,20.00,-12.87,47.10,20.00
LEP,362.112,15.635,5.947,0.345,2.39,0.9,95.98,2.3,27,3.55,12.00,,ALE Prop Grp stp,,2.25,-2,2.24,2.25,2.30,2.20,0.74,2.43,1.768
ALS,1960.14,36.389,52.201,0.28,0.65,4.6,-17.36,-,14,-,4.71,f,Alesco Corp,,2.97,-8,2.96,2.98,3.06,2.92,-1.00,5.91,2.81
AJX,930.594,19.52,-,0.011,-,-,-0.13,-,-,-,-,,Alexium Int Grp,,0.155,-1,0.155,0.16,0.165,0.155,-4.44,0.205,0.01
AEJ,7647.3,300.029,459.899,0.045,-1.53,-,-58.71,-,-,-,-,,Alinta Energy Grp stp,,0.056,-0.4,0.056,0.057,0.061,0.055,-5.05,0.13,0.055
ABQ,4391.94,34.425,4.523,0.019,0.06,1.6,2.3,4.3,0.5,4.60,5.10,,Allied Brands Ltd,,0.098,-0.2,0.098,0.099,0.105,0.093,-0.38,0.245,0.093
ABQO,-,4.651,0.007,-,-,-,-,-,-,-,-,,  opt dec10,,0.001,,-,0.001,0.001,0.001,1.62,0.005,0.001
AEA,689,6.109,0.087,0.014,-,-,-3,-,-,-,-,,Altera Res Ltd,,0.335,4.5,0.335,0.36,0.36,0.29,17.14,0.36,0.037
AEAO,262,0.716,-,0.002,-,-,-,-,-,-,-,,  opt jan12,,0.12,,0.09,0.14,0.12,0.12,1.62,0.12,0.06
AIQ,15.21,11.252,2,0.141,1.46,0.7,-44.5,-,47,-,43.52,,Alternative Invest unt,,1.08,,1.08,1.095,1.08,1.08,1.62,1.45,0.91
ALU,1011,2.404,0.591,0.023,0.09,2.9,-6.97,-,2,-,7.69,,Altium Ltd,,0.26,0.5,0.25,0.28,0.28,0.25,3.58,0.50,0.235
AMA,258.947,10.225,18.066,0.013,-0.09,-,7.75,0.6,-,-,-,,AMA Grp Ltd,,0.05,,0.045,0.049,0.05,0.046,1.62,0.078,0.019
AHD,394.466,18.28,3.473,0.93,4.65,1.3,68.5,8.6,35,1.96,5.92,f,Amalgamated Hldgs,,5.91,-6,5.85,5.93,5.98,5.85,0.62,6.24,3.73
AMO,-,1.673,0.252,0.018,0.61,1.0,9.3,6.5,5.5,1.69,9.17,f,Ambertech Ltd,,0.60,,0.58,0.60,0.60,0.60,1.62,0.63,0.42
AMB,168.723,1.192,0.785,0.028,0.14,2.9,-13.07,-,-,-,-,,Ambition Grp Ltd,,0.41,3,0.375,0.41,0.42,0.37,9.51,0.42,0.163
AMH,363.287,5.334,2.185,0.133,0.77,0.9,-1.14,-,2,-,2.92,,Amcil Ltd,,0.685,-1,0.685,0.69,0.70,0.68,0.18,0.72,0.51
AMM,2828.8,123.031,73.591,0.24,0.18,1.9,2.78,12.1,0.9,3.09,2.69,f,Amcom Telecomm,,0.335,-1.5,0.335,0.34,0.35,0.33,-2.67,0.355,0.125
AMC,52462.7,467.17,264.526,8.035,2.25,2.9,20.9,31.5,29.5,0.71,4.48,,Amcor Ltd,,6.58,17,6.55,6.59,6.62,6.20,4.27,6.63,4.276
AEC,58.74,2.635,2.423,0.099,1.05,2.6,19.39,14.1,16.5,1.18,6.04,f,Ammtec Ltd,,2.73,-11,2.72,2.76,2.80,2.65,-2.25,3.00,1.83
AGF,1173.59,19.066,15.718,0.263,1.12,0.7,10.02,7.8,8.47,1.18,10.86,,AMP Capital China unt,,0.78,-6,0.765,0.78,0.845,0.76,-5.52,1.265,0.76
AMP,30647.9,575.077,548.704,12.97,0.80,7.8,37.1,16.9,30,1.24,4.79,p,AMP Ltd,,6.26,-3,6.25,6.29,6.36,6.19,1.14,6.97,4.55
ANQ,187,4.523,7.798,0.037,-,-,-5.5,-,-,-,-,,Anaeco Ltd,,0.22,-2,0.22,0.23,0.225,0.22,-6.71,0.35,0.175
ANQO,-,-,0.022,-,-,-,-,-,-,-,-,,  opt may10,,0.001,-0.4,-,0.001,0.005,0.005,-78.38,0.015,0.001
ANQOA,-,-,0.019,-,-,-,-,-,-,-,-,,  opt may12,,0.001,-0.3,-,-,0.004,0.004,-73.38,0.004,0.001
ALT,3724,221.798,14.23,0.016,-,-,-0.24,-,-,-,-,,Analytica Ltd,,0.038,-0.5,0.038,0.04,0.048,0.038,-10.01,0.115,0.019
ANN,2920.97,66.921,71.695,1.688,1.92,6.7,81.7,15.7,29,2.82,2.26,,Ansell Ltd,,12.83,59,12.27,12.99,12.96,11.90,6.44,12.96,8.01
ANO,6,3.536,1.154,0.008,0.04,0.9,1.46,2.5,-,-,-,,Antaria Ltd,,0.037,0.1,0.037,0.04,0.037,0.037,4.40,0.065,0.029
ADO,13919.4,2959.67,29.143,0.024,-,-,-0.8,-,-,-,-,,Anteo Diagnostics,,0.047,-0.5,0.047,0.05,0.052,0.047,-8.00,0.105,0.005
ADOO,530.5,405.465,-,0.006,-,-,-,-,-,-,-,,  opt sep10,,0.039,,0.035,0.04,0.039,0.039,1.62,0.07,0.001
ADOOA,-,1.518,-,-,-,-,-,-,-,-,-,,  opt feb11,,0.012,,0.01,-,0.012,0.012,1.62,0.025,0.012
ANP,9919,311.011,5.294,0.011,-,-,-0.55,-,-,-,-,,Antisense Therapeutic,,0.018,-0.2,0.018,0.019,0.02,0.017,-8.38,0.20,0.016
ANZ,53099.8,667.204,653.643,61.311,9.99,2.4,144.8,16.7,108,1.34,4.46,f,ANZ Banking Grp,,24.20,-100,24.16,24.22,25.47,24.05,-2.35,26.23,14.90
APE,8.531,0.121,0.233,0.373,8.81,1.4,121.6,10.3,62,1.96,4.96,f,AP Eagers Ltd,,12.50,-25,12.50,12.90,12.75,12.50,-0.34,13.55,6.51
APP,-,2.716,0.277,-,-,-,0.1,14.0,-,-,-,,APA Financial,,0.014,,0.015,0.02,0.014,0.014,1.62,0.023,0.009
APA,4306.75,83.891,66.102,1.969,-,-,25,14.5,31.75,0.79,8.75,,APA Grp stp,,3.63,-12,3.61,3.65,3.78,3.61,-1.58,3.79,2.60
AEZ,3030.18,48.045,127.116,0.023,0.24,0.2,-11.22,-,-,-,-,,APN European Retail stp,,0.042,-0.7,0.042,0.045,0.049,0.042,-12.67,0.115,0.037
APN,9064.66,105.258,78.997,1.467,-0.78,-,16.7,14.7,4,4.17,1.63,f,APN News & Media,,2.45,2,2.43,2.50,2.54,2.31,2.44,2.61,1.129
