Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 1/10/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-04T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0382,1.0342,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0339,1.0287,9.48,11.49,**,,
Advance High Growth Multi-Blend W,1.0004,0.9944,10.61,12.91,***,,
AMP Gen-Growth,1.0243,1.0188,13.47,14.46,***,,
AMP Gen-High Growth,1.0249,1.0189,14.39,15.88,***,,
BT Class Inv Split Growth,3.1190,3.1133,15.88,18.47,***,,
BT Future Goals Retail,1.8174,1.8117,11.35,12.01,***,,
IOOF MultiMix Growth Trust,1.0483,1.0415,13.44,13.82,***,,
IOOF Profile 95,0.9071,0.9053,15.19,15.54,****,,
ipac Classic Portfolio 3,0.8446,0.8399,13.41,14.38,***,,
ipac Pathways 85,0.9624,0.9575,14.19,15.18,****,,
ipac Pathways 95,0.9167,0.9121,14.89,16.20,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1259,1.1196,13.14,14.13,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2299,1.2274,11.56,13.40,***,,
North Index Growth,0.7399,0.7377,14.13,15.22,****,,
North Index High Growth,0.6306,0.6287,15.48,17.13,****,,
Russell Growth A,0.9527,0.9480,12.20,14.00,***,,
Russell Growth C,1.0056,1.0007,11.98,13.76,***,,
SUMMIT Select - Active Growth Units,0.9736,0.9683,14.65,15.65,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0533,1.0501,7.61,8.57,***,,
AMP Gen-Moderately Defensive,1.0153,1.0112,9.94,10.65,***,,
Australian Ethical Balanced Trust,1.2906,1.2904,11.40,10.73,**,,
CFS FC Inv-FirstChoice Moderate,1.0809,1.0777,11.20,10.59,***,,
CFS FC W Inv-CFS W Balanced,1.1277,1.1243,9.65,8.98,***,,
CFS FC W Inv-FirstChoice W Moderate,1.0911,1.0878,12.18,11.56,****,,
IOOF Multi Series Balanced Trust,0.8788,0.8752,12.93,12.05,****,,
IOOF MultiMix Moderate Trust,1.0304,1.0254,10.17,10.07,***,,
IOOF Profile 55,0.9541,0.9531,10.19,10.06,***,,
ipac Classic Value Portfolio,0.9647,0.9603,10.86,11.55,****,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,1.0051,1.0041,8.23,9.39,**,,
Netwealth Active Balanced,0.7171,0.7147,8.42,10.76,***,,
North Index Moderately Defensive,0.9404,0.9380,10.59,10.99,****,,
Pre Select Balanced,1.1637,1.1609,11.21,11.47,*****,,
Russell Diversified 50 A,1.0463,1.0420,9.56,10.76,****,,
Schroder Real Return CPI+5% Wholesale,1.1410,1.1364,7.27,8.81,**,,
SUMMIT Select - Active Mod Defensive,1.0622,1.0580,11.03,11.77,****,,
Summit Select Income Generator,1.1274,1.1230,10.05,11.62,****,,
The Trust Company Philanthropy,0.8392,0.8363,9.35,10.09,**,,
UBS Tactical Beta Fund - Balanced,1.1425,1.1391,13.43,NAv,NAv,,
Multisector Conservative,,
North Multi Manager Active Defensive,0.9840,0.9816,8.53,8.90,*****,,
Multisector Growth,,
Adv Balanced Multi-Blend ARS,0.8540,0.8540,7.57,9.14,**,,
Advance Balanced Multi-Blend W,1.1230,1.1184,8.85,10.42,***,,
AMP FLI-AMP Balanced Growth,1.0808,1.0759,10.78,11.89,**,,
AMP Gen-Balanced,1.0124,1.0076,12.39,12.95,***,,
BT Active Bal WS,1.6751,1.6702,11.24,11.60,***,,
BT Investor Choice Bal Gr,1.2194,1.2152,9.64,10.99,***,,
BT Multi-Manager Bal Retail,1.0366,1.0324,7.75,9.31,*,,
CBA Balanced,NAv,1.5345,10.02,9.80,**,,
