Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 6/8/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 30/6/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 30/6/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-09T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
ALLOCATED PENSIONS,,
Multisector Aggressive,,
AustralianSuper Pension Balanced,NAv,NAv,15.93,11.29,****,,
AustralianSuper Pension High Growth,NAv,NAv,18.35,11.79,****,,
AustralianSuper Pension Sustainable Bal,NAv,NAv,16.72,12.29,*****,,
Multisector Balanced,,
AustralianSuper Pension Stable,NAv,NAv,9.59,8.55,***,,
ClearView Pension Plan Prudent,1.8265,1.8265,9.31,8.25,***,,
MLC MKey AP Horizon 3 - Conservative Gr,9.6962,9.6962,10.26,8.00,***,,
Multisector Growth,,
AustralianSuper Pension Conservative Bal,NAv,NAv,12.98,10.14,****,,
Care Pension Balanced,NAv,NAv,14.06,11.48,NAv,,
C'wealth PenSel - Managed,NAv,4.6248,13.68,10.33,****,,
MLC MKey AP Horizon 4 - Balanced,15.8777,15.8777,13.13,9.54,***,,
Equity Australia Large Blend,,
AustralianSuper Pension Australian Shr,NAv,NAv,20.11,12.37,****,,
Bonds - Global / Australia,,
AustralianSuper Pension Div Fixed Int,NAv,NAv,6.98,9.36,*****,,
Australian Cash,,
AMP FLAP-AMP Super Cash,NAv,NAv,1.97,2.78,NAv,,
AustralianSuper Pension Cash,NAv,NAv,3.02,3.93,NAv,,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
Advance Growth Multi-Blend W,1.0329,1.0277,11.47,8.87,***,,
Advance High Growth Multi-Blend W,0.9967,0.9907,13.34,9.74,***,,
AMP Gen-Growth,1.0194,1.0139,15.13,11.05,***,,
BT Class Inv Split Growth,3.0118,3.0063,19.61,14.02,***,,
BT Class Inv Split Growth,3.0118,3.0063,19.61,14.02,***,,
IOOF MultiMix Growth Trust,1.0428,1.0360,16.44,10.29,**,,
ipac Pathways 85,0.9563,0.9515,15.71,11.68,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1204,1.1142,14.64,10.65,***,,
North Index Growth,0.7366,0.7344,16.18,11.94,****,,
North Index High Growth,0.6264,0.6244,18.58,13.05,****,,
Russell Growth A,0.9456,0.9409,15.11,10.51,***,,
SUMMIT Select - Active Growth Units,0.9673,0.9621,16.33,12.19,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0527,1.0495,8.27,7.29,***,,
AMP Gen-Moderately Defensive,1.0123,1.0082,10.33,8.84,****,,
Australian Ethical Balanced Trust,1.2610,1.2607,13.36,9.07,**,,
CFS FC Inv-FirstChoice Moderate,1.0763,1.0731,11.31,8.30,***,,
CFS FC W Inv-FirstChoice W Moderate,1.0879,1.0846,12.30,9.25,****,,
IOOF Multi Series Balanced Trust,0.8766,0.8730,14.12,9.35,***,,
IOOF MultiMix Moderate Trust,1.0264,1.0214,10.75,8.08,***,,
IOOF MultiMix Moderate Trust,1.0264,1.0214,10.75,8.08,***,,
IOOF Profile 55,0.9635,0.9625,11.74,8.09,***,,
ipac Classic Value Portfolio,0.9617,0.9573,11.30,9.33,*****,,
North Index Moderately Defensive,0.9376,0.9351,11.10,9.37,****,,
Russell Diversified 50 A,1.0381,1.0338,11.02,8.96,****,,
Summit Select Income Generator,1.1348,1.1304,10.89,10.25,*****,,
Multisector Growth,,
Advance Balanced Multi-Blend W,1.1217,1.1171,10.23,8.36,***,,
AMP Gen-Balanced,1.0084,1.0036,13.43,10.16,****,,
BT Active Bal WS,1.6690,1.6641,12.44,9.08,***,,
BT Investor Choice Bal Gr,1.2217,1.2175,10.72,8.71,***,,
CFS FC W Inv-CFS W Diversified,1.5791,1.5728,14.24,10.15,***,,
CFS MIF-Diversified,1.8377,1.8304,13.29,9.24,**,,
IOOF MultiMix Balanced Growth Trust,1.0658,1.0598,13.79,9.77,***,,
IOOF Profile 75,0.9724,0.9710,15.23,9.80,***,,
ipac Classic Portfolio 2,0.8857,0.8811,13.47,10.24,***,,
ipac Pathways 70,0.9447,0.9398,13.98,10.82,****,,
Macquarie Balanced Growth,1.0358,1.0322,12.80,9.55,****,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.3847,1.3819,12.91,9.27,**,,
North Index Balanced,0.8255,0.8231,13.97,10.79,****,,
North Multi Manager Active Growth,0.8605,0.8562,16.40,12.56,*****,,
North Multi Manager Balanced,0.9450,0.9410,14.14,11.40,*****,,
North Select Active Balanced,1.1606,1.1547,14.58,11.26,****,,
Perpetual Wholesale Balanced Growth,1.5164,1.5113,14.35,12.11,*****,,
Russell Balanced A,0.9407,0.9362,13.23,10.00,****,,
Russell Balanced Class C,1.0103,1.0056,13.05,9.82,***,,
SUMMIT Select - Active Balanced,1.0219,1.0170,14.59,11.29,*****,,
UBS Balanced Investment,1.2821,1.2770,15.44,11.55,****,,
Multisector Moderate,,
