Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 17/9/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-20T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0453,1.0413,NAv,NAv,NAv,,
1980's Lifestage Fund - A,1.0472,1.0432,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0415,1.0363,9.48,11.49,**,,
Advance High Growth Multi-Blend W,1.0087,1.0025,10.61,12.91,***,,
AMP Gen-Growth,1.0346,1.0290,13.47,14.46,***,,
AMP Gen-High Growth,1.0361,1.0300,14.39,15.88,***,,
BT Class Inv Split Growth,3.1082,3.1026,15.88,18.47,***,,
BT Future Goals Retail,1.8423,1.8366,11.35,12.01,***,,
IOOF MultiMix Growth Trust,1.0562,1.0492,13.44,13.82,***,,
IOOF Profile 95,0.9187,0.9169,15.19,15.54,****,,
ipac Classic Portfolio 3,0.8526,0.8478,13.41,14.38,***,,
ipac Pathways 85,0.9717,0.9668,14.19,15.18,****,,
ipac Pathways 95,0.9252,0.9205,14.89,16.20,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1372,1.1308,13.14,14.13,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2338,1.2313,11.56,13.40,***,,
North Index Growth,0.7470,0.7448,14.13,15.22,****,,
North Index High Growth,0.6378,0.6358,15.48,17.13,****,,
Russell Growth A,0.9604,0.9557,12.20,14.00,***,,
Russell Growth C,1.0138,1.0089,11.98,13.76,***,,
SUMMIT Select - Active Growth Units,0.9830,0.9777,14.65,15.65,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0574,1.0542,7.61,8.57,***,,
AMP FLI-AMP Monthly Income No 2,0.5684,0.5662,8.97,8.75,***,,
AMP Gen-Moderately Defensive,1.0209,1.0168,9.94,10.65,***,,
Australian Ethical Balanced Trust,1.2889,1.2886,11.40,10.73,**,,
CFS FC Inv-FirstChoice Moderate,1.0887,1.0854,11.20,10.59,***,,
CFS FC W Inv-CFS W Balanced,1.1395,1.1361,9.65,8.98,***,,
CFS FC W Inv-FirstChoice W Moderate,1.1016,1.0983,12.18,11.56,****,,
IOOF Multi Series Balanced Trust,0.8832,0.8794,12.93,12.05,****,,
IOOF MultiMix Moderate Trust,1.0365,1.0315,10.17,10.07,***,,
IOOF Profile 55,0.9656,0.9646,10.19,10.06,***,,
ipac Classic Value Portfolio,0.9709,0.9664,10.86,11.55,****,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,1.0057,1.0047,8.23,9.39,**,,
Netwealth Active Balanced,0.7144,0.7120,8.42,10.76,***,,
North Index Moderately Defensive,0.9446,0.9422,10.59,10.99,****,,
Pre Select Balanced,1.1664,1.1636,11.21,11.47,*****,,
Russell Diversified 50 A,1.0498,1.0455,9.56,10.76,****,,
Schroder Real Return CPI+5% Wholesale,1.1415,1.1369,7.27,8.81,**,,
SUMMIT Select - Active Mod Defensive,1.0677,1.0634,11.03,11.77,****,,
Summit Select Income Generator,1.1354,1.1310,10.05,11.62,****,,
The Trust Company Philanthropy,0.8501,0.8471,9.35,10.09,**,,
UBS Tactical Beta Fund - Balanced,1.1495,1.1460,13.43,NAv,NAv,,
Multisector Conservative,,
North Multi Manager Active Defensive,0.9847,0.9824,8.53,8.90,*****,,
Multisector Growth,,
Adv Balanced Multi-Blend ARS,0.8592,0.8592,7.57,9.14,**,,
Advance Balanced Multi-Blend W,1.1293,1.1247,8.85,10.42,***,,
AMP FLI-AMP Balanced Growth,1.0969,1.0919,10.78,11.89,**,,
AMP Gen-Balanced,1.0206,1.0157,12.39,12.95,***,,
BT Active Bal WS,1.6903,1.6854,11.24,11.60,***,,
BT Investor Choice Bal Gr,1.2321,1.2279,9.64,10.99,***,,
BT Multi-Manager Bal Retail,1.0429,1.0387,7.75,9.31,*,,
CBA Balanced,NAv,1.5345,10.02,9.80,**,,
CBA Growth,NAv,1.6943,9.74,12.16,***,,
CFS FC Inv-FirstChoice Growth,1.1142,1.1098,13.01,12.32,***,,
CFS FC W Inv-CFS W Diversified,1.6010,1.5947,11.85,12.92,***,,
CFS FC W Inv-FC W Multi-Index Balanced,1.0731,1.0699,14.16,13.43,*****,,
CFS FC W Inv-FirstChoice W Growth,1.1215,1.1170,14.07,13.37,****,,
CFS MIF-Diversified,1.8614,1.8540,10.92,11.98,**,,
DMG Diversified Portfolio,1.0672,1.0619,6.71,NAv,NAv,,
EQT Growth,1.4676,1.4573,11.93,13.34,****,,
Fiducian Balanced,1.1654,1.1596,12.26,12.29,***,,
IOOF MultiMix Balanced Growth Trust,1.0782,1.0722,11.90,12.55,***,,
IOOF Profile 75,0.9837,0.9823,12.84,12.78,***,,
ipac Classic Portfolio 2,0.8964,0.8919,12.48,13.00,***,,
ipac Pathways 70,0.9570,0.9521,12.98,13.63,****,,
ipac Strat Inv Srv Inflation Plus 4,1.0713,1.0658,11.94,12.60,***,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.3994,1.3966,10.51,11.81,**,,
North Index Balanced,0.8345,0.8321,12.59,13.34,****,,
North Multi Manager Active Growth,0.8740,0.8696,14.69,16.20,*****,,
North Multi Manager Balanced,0.9567,0.9526,12.99,14.28,*****,,
North Select Active Balanced,1.1762,1.1702,13.58,14.06,****,,
OnePath OA IP-OP Tax Effective Inc NE,1.6160,1.6160,9.95,11.09,*,,
Perpetual Wholesale Balanced Growth,1.5289,1.5238,11.85,14.18,*****,,
Pre Select Growth,1.2709,1.2671,13.52,14.17,****,,
Russell Balanced A,0.9544,0.9499,11.09,12.62,****,,
Russell Balanced Class C,1.0248,1.0199,10.82,12.39,***,,
SUMMIT Select - Active Balanced,1.0356,1.0307,13.55,14.11,****,,
