Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 21/10/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-25T13:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0151,1.0111,NAv,NAv,NAv,,
1980's Lifestage Fund - A,1.0152,1.0112,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0157,1.0105,6.86,12.64,**,,
Advance High Growth Multi-Blend W,0.9780,0.9720,7.87,14.19,***,,
AMP Gen-Growth,1.0040,0.9986,10.00,15.35,***,,
AMP Gen-High Growth,0.9980,0.9921,10.82,16.99,***,,
BT Class Inv Split Growth,2.9600,2.9546,15.45,19.61,****,,
BT Future Goals Retail,1.7879,1.7823,7.47,12.44,**,,
BT Multi-Manager Gr Retail,1.0521,1.0468,5.89,11.60,*,,
IOOF MultiMix Growth Trust,1.0167,1.0101,11.12,14.72,***,,
IOOF Profile 95,0.8720,0.8704,9.72,16.54,****,,
ipac Classic Portfolio 3,0.8282,0.8235,10.11,15.31,***,,
ipac Pathways 85,0.9446,0.9398,10.68,16.04,****,,
ipac Pathways 95,0.8942,0.8896,11.55,17.27,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1046,1.0985,9.68,14.98,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2052,1.2028,8.44,13.79,***,,
North Index Growth,0.7245,0.7223,10.86,15.91,****,,
North Index High Growth,0.6129,0.6110,12.08,18.13,****,,
Russell Growth A,0.9300,0.9255,9.77,15.10,****,,
Russell Growth C,0.9823,0.9775,9.55,14.87,***,,
SUMMIT Select - Active Growth Units,0.9547,0.9496,11.14,16.55,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0450,1.0418,5.75,9.26,***,,
AMP FLI-AMP Monthly Income No 2,0.5533,0.5511,4.97,8.60,***,,
AMP Gen-Moderately Defensive,1.0068,1.0028,7.39,11.07,***,,
Australian Ethical Balanced Trust,1.2762,1.2759,8.50,11.61,**,,
CFS FC Inv-FirstChoice Moderate,1.0731,1.0698,8.48,11.08,***,,
CFS FC W Inv-CFS W Balanced,1.1196,1.1162,7.48,9.59,**,,
CFS FC W Inv-FirstChoice W Moderate,1.0837,1.0804,9.45,12.06,****,,
