Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 23/9/2015,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/8/2015,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/8/2015,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-09-26T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
Advance Growth Multi-Blend W,1.0393,1.0347,5.41,10.94,**,,
Advance High Growth Multi-Blend W,1.0068,1.0018,7.21,13.12,***,,
AMP Gen-Growth,1.0124,1.0070,4.93,13.31,***,,
AMP Gen-High Growth,1.0078,1.0018,5.73,15.04,***,,
BT Class Inv Split Growth,NAv,NAv,15.19,19.93,****,,
BT Future Goals Retail,1.8968,1.8909,7.40,12.59,***,,
Ibbotson Dynamic Growth Trust,1.0652,1.0615,10.76,15.08,***,,
IOOF MultiMix Growth Trust,1.0886,1.0820,10.64,15.73,***,,
IOOF Profile 95,0.9147,0.9131,6.74,15.63,****,,
ipac Pathways 85,0.9563,0.9515,5.93,14.13,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1196,1.1133,4.96,13.07,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2689,1.2664,6.89,12.75,***,,
North Index Growth,0.7690,0.7667,7.08,14.40,****,,
North Index High Growth,0.6563,0.6543,7.57,16.49,*****,,
Russell Growth A,0.9906,0.9863,7.54,14.01,***,,
Russell Growth C,1.0481,1.0436,7.30,13.78,***,,
SUMMIT Select - Active Growth Units,0.9622,0.9570,6.04,14.49,****,,
UCA Growth Portfolio,4.5249,4.4978,4.89,12.16,***,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0586,1.0552,3.77,7.37,***,,
AMP Gen-Moderately Defensive,1.0165,1.0124,3.64,8.96,***,,
Australian Ethical Balanced Trust,1.3598,1.3596,7.60,11.51,***,,
BMO Pyrford Global Absolute Return,1.1207,1.1162,13.94,NAv,NAv,,
CFS FC Inv-FirstChoice Moderate,1.1093,1.1060,4.32,9.60,***,,
CFS FC W Inv-CFS W Balanced,1.1450,1.1416,4.26,9.03,**,,
CFS FC W Inv-FirstChoice W Moderate,1.1224,1.1191,5.25,10.57,****,,
Ibbotson Balanced Growth Trust,0.9780,0.9752,7.39,9.78,***,,
