Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 24/9/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-27T14:00:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0440,1.0400,NAv,NAv,NAv,,
1980's Lifestage Fund - A,1.0459,1.0419,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0393,1.0341,9.48,11.49,**,,
Advance High Growth Multi-Blend W,1.0068,1.0006,10.61,12.91,***,,
AMP Gen-Growth,1.0319,1.0264,13.47,14.46,***,,
AMP Gen-High Growth,1.0337,1.0276,14.39,15.88,***,,
BT Class Inv Split Growth,3.1296,3.1239,15.88,18.47,***,,
BT Future Goals Retail,1.8316,1.8259,11.35,12.01,***,,
IOOF MultiMix Growth Trust,1.0552,1.0482,13.44,13.82,***,,
IOOF Profile 95,0.9154,0.9136,15.19,15.54,****,,
ipac Classic Portfolio 3,0.8506,0.8459,13.41,14.38,***,,
ipac Pathways 85,0.9693,0.9644,14.19,15.18,****,,
ipac Pathways 95,0.9238,0.9191,14.89,16.20,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1341,1.1278,13.14,14.13,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2389,1.2365,11.56,13.40,***,,
North Index Growth,0.7450,0.7428,14.13,15.22,****,,
North Index High Growth,0.6360,0.6341,15.48,17.13,****,,
Russell Growth A,0.9595,0.9548,12.20,14.00,***,,
Russell Growth C,1.0128,1.0079,11.98,13.76,***,,
SUMMIT Select - Active Growth Units,0.9806,0.9753,14.65,15.65,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0561,1.0529,7.61,8.57,***,,
AMP FLI-AMP Monthly Income No 2,0.5612,0.5590,8.97,8.75,***,,
AMP Gen-Moderately Defensive,1.0190,1.0150,9.94,10.65,***,,
Australian Ethical Balanced Trust,1.2941,1.2938,11.40,10.73,**,,
CFS FC Inv-FirstChoice Moderate,1.0873,1.0840,11.20,10.59,***,,
CFS FC W Inv-CFS W Balanced,1.1348,1.1314,9.65,8.98,***,,
CFS FC W Inv-FirstChoice W Moderate,1.1003,1.0970,12.18,11.56,****,,
IOOF Multi Series Balanced Trust,0.8833,0.8795,12.93,12.05,****,,
IOOF MultiMix Moderate Trust,1.0339,1.0289,10.17,10.07,***,,
IOOF Profile 55,0.9606,0.9596,10.19,10.06,***,,
ipac Classic Value Portfolio,0.9692,0.9647,10.86,11.55,****,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,1.0089,1.0079,8.23,9.39,**,,
Netwealth Active Balanced,0.7168,0.7144,8.42,10.76,***,,
North Index Moderately Defensive,0.9432,0.9407,10.59,10.99,****,,
Pre Select Balanced,1.1685,1.1657,11.21,11.47,*****,,
Russell Diversified 50 A,1.0497,1.0454,9.56,10.76,****,,
Schroder Real Return CPI+5% Wholesale,1.1415,1.1369,7.27,8.81,**,,
SUMMIT Select - Active Mod Defensive,1.0660,1.0618,11.03,11.77,****,,
Summit Select Income Generator,1.1306,1.1262,10.05,11.62,****,,
The Trust Company Philanthropy,0.8450,0.8421,9.35,10.09,**,,
UBS Tactical Beta Fund - Balanced,1.1464,1.1429,13.43,NAv,NAv,,
Multisector Conservative,,
North Multi Manager Active Defensive,0.9842,0.9819,8.53,8.90,*****,,
Multisector Growth,,
Adv Balanced Multi-Blend ARS,0.8577,0.8577,7.57,9.14,**,,
Advance Balanced Multi-Blend W,1.1275,1.1229,8.85,10.42,***,,
AMP FLI-AMP Balanced Growth,1.0884,1.0834,10.78,11.89,**,,
AMP Gen-Balanced,1.0182,1.0133,12.39,12.95,***,,
BT Active Bal WS,1.6829,1.6780,11.24,11.60,***,,
BT Investor Choice Bal Gr,1.2265,1.2223,9.64,10.99,***,,
BT Multi-Manager Bal Retail,1.0411,1.0369,7.75,9.31,*,,
CBA Balanced,NAv,1.5345,10.02,9.80,**,,
CBA Growth,NAv,1.6943,9.74,12.16,***,,
CFS FC Inv-FirstChoice Growth,1.1114,1.1070,13.01,12.32,***,,
CFS FC W Inv-CFS W Diversified,1.5923,1.5859,11.85,12.92,***,,
CFS FC W Inv-FC W Multi-Index Balanced,1.0695,1.0663,14.16,13.43,*****,,
CFS FC W Inv-FirstChoice W Growth,1.1189,1.1144,14.07,13.37,****,,
CFS MIF-Diversified,1.8510,1.8436,10.92,11.98,**,,
DMG Diversified Portfolio,1.0656,1.0603,6.71,NAv,NAv,,
EQT Growth,1.4527,1.4425,11.93,13.34,****,,
Fiducian Balanced,1.1618,1.1560,12.26,12.29,***,,
IOOF MultiMix Balanced Growth Trust,1.0773,1.0713,11.90,12.55,***,,
IOOF Profile 75,0.9777,0.9763,12.84,12.78,***,,
ipac Classic Portfolio 2,0.8944,0.8898,12.48,13.00,***,,
ipac Pathways 70,0.9548,0.9499,12.98,13.63,****,,
ipac Strat Inv Srv Inflation Plus 4,1.0686,1.0632,11.94,12.60,***,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.4044,1.4016,10.51,11.81,**,,
North Index Balanced,0.8324,0.8301,12.59,13.34,****,,
North Multi Manager Active Growth,0.8720,0.8676,14.69,16.20,*****,,
North Multi Manager Balanced,0.9546,0.9505,12.99,14.28,*****,,
North Select Active Balanced,1.1737,1.1678,13.58,14.06,****,,
OnePath OA IP-OP Tax Effective Inc NE,1.6056,1.6056,9.95,11.09,*,,
Perpetual Wholesale Balanced Growth,1.5282,1.5230,11.85,14.18,*****,,
Pre Select Growth,1.2735,1.2697,13.52,14.17,****,,
Russell Balanced A,0.9538,0.9493,11.09,12.62,****,,
Russell Balanced Class C,1.0242,1.0194,10.82,12.39,***,,
SUMMIT Select - Active Balanced,1.0334,1.0284,13.55,14.11,****,,
UBS Balanced Investment,1.3011,1.2959,12.84,14.37,****,,
Multisector Moderate,,
Advance Defensive Multi-Blend W,1.0981,1.0959,6.16,6.56,***,,
BT Investor Choice Mod Gr,1.0744,1.0719,7.36,7.55,**,,
CFS FC Inv-FirstChoice Conservative,1.0485,1.0454,7.34,7.19,**,,
CFS FC W Inv-CFS W Conservative,1.1504,1.1481,7.64,7.69,***,,
CFS FC W Inv-FC W Multi-Index Cons,0.9613,0.9594,8.47,8.28,***,,
CFS FC W Inv-FirstChoice W Conservative,1.0678,1.0646,8.17,8.02,***,,
IOOF MultiMix Conservative Trust,1.0220,1.0194,8.63,8.69,****,,
ipac Classic Portfolio 1,0.9417,0.9382,8.29,8.58,****,,
ipac Pathways 30,0.9691,0.9655,8.55,8.98,****,,
Mercer Conservative,0.9816,0.9791,7.37,7.17,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.1115,1.1104,7.20,7.75,***,,
North Index Defensive,0.9763,0.9741,8.30,8.58,****,,
