Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 14/10/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-18T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0154,1.0114,NAv,NAv,NAv,,
1980's Lifestage Fund - A,1.0155,1.0115,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0160,1.0108,6.86,12.64,**,,
Advance High Growth Multi-Blend W,0.9785,0.9725,7.87,14.19,***,,
AMP Gen-Growth,1.0019,0.9965,10.00,15.35,***,,
AMP Gen-High Growth,0.9964,0.9906,10.82,16.99,***,,
BT Class Inv Split Growth,2.9942,2.9888,15.45,19.61,****,,
BT Future Goals Retail,1.7836,1.7780,7.47,12.44,**,,
IOOF MultiMix Growth Trust,1.0250,1.0182,11.12,14.72,***,,
IOOF Profile 95,0.8899,0.8883,9.72,16.54,****,,
ipac Classic Portfolio 3,0.8266,0.8219,10.11,15.31,***,,
ipac Pathways 85,0.9426,0.9378,10.68,16.04,****,,
ipac Pathways 95,0.8932,0.8886,11.55,17.27,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1025,1.0963,9.68,14.98,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.1969,1.1945,8.44,13.79,***,,
North Index Growth,0.7233,0.7211,10.86,15.91,****,,
North Index High Growth,0.6121,0.6102,12.08,18.13,****,,
Russell Growth A,0.9421,0.9375,9.77,15.10,****,,
Russell Growth C,0.9850,0.9801,9.55,14.87,***,,
SUMMIT Select - Active Growth Units,0.9525,0.9474,11.14,16.55,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0448,1.0416,5.75,9.26,***,,
AMP FLI-AMP Monthly Income No 2,0.5497,0.5475,4.97,8.60,***,,
AMP Gen-Moderately Defensive,1.0049,1.0009,7.39,11.07,***,,
Australian Ethical Balanced Trust,1.2640,1.2638,8.50,11.61,**,,
CFS FC Inv-FirstChoice Moderate,1.0676,1.0644,8.48,11.08,***,,
CFS FC W Inv-CFS W Balanced,1.1145,1.1111,7.48,9.59,**,,
CFS FC W Inv-FirstChoice W Moderate,1.0778,1.0746,9.45,12.06,****,,
IOOF Multi Series Balanced Trust,0.8734,0.8698,10.54,12.61,****,,
IOOF MultiMix Moderate Trust,1.0215,1.0167,8.54,10.64,***,,
IOOF Profile 55,0.9506,0.9496,5.81,10.38,***,,
ipac Classic Value Portfolio,0.9551,0.9507,8.56,12.01,****,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,0.9899,0.9889,6.43,9.63,**,,
Netwealth Active Balanced,0.7101,0.7077,7.43,11.95,***,,
North Index Moderately Defensive,0.9315,0.9290,8.18,11.18,****,,
Pre Select Balanced,1.1399,1.1372,8.07,11.53,*****,,
Russell Diversified 50 A,1.0356,1.0313,8.03,11.31,****,,
Schroder Real Return CPI+5% Wholesale,1.1365,1.1319,6.72,9.14,**,,
SUMMIT Select - Active Mod Defensive,1.0516,1.0475,8.45,12.19,****,,
Summit Select Income Generator,1.1182,1.1138,7.17,11.34,****,,
The Trust Company Philanthropy,0.8405,0.8375,5.10,10.10,*,,
UBS Tactical Beta Fund - Balanced,1.1276,1.1242,10.70,NAv,NAv,,
Multisector Conservative,,
North Multi Manager Active Defensive,0.9802,0.9779,6.86,8.96,*****,,
Multisector Growth,,
Adv Balanced Multi-Blend ARS,0.8424,0.8424,5.29,10.05,**,,
Advance Balanced Multi-Blend W,1.1071,1.1025,6.54,11.34,***,,
AMP FLI-AMP Balanced Growth,1.0628,1.0580,7.28,12.71,**,,
AMP Gen-Balanced,0.9956,0.9908,9.26,13.65,***,,
BT Active Bal WS,1.6539,1.6491,7.99,12.00,***,,
BT Investor Choice Bal Gr,1.2045,1.2004,6.44,11.31,**,,
BT Multi-Manager Bal Retail,1.0225,1.0184,5.45,10.21,*,,
CBA Balanced,NAv,1.4970,6.95,9.54,**,,
CBA Growth,NAv,1.6668,6.96,11.97,***,,
CFS FC Inv-FirstChoice Growth,1.0817,1.0774,9.39,13.07,***,,
CFS FC W Inv-CFS W Diversified,1.5513,1.5452,8.94,13.35,***,,
CFS FC W Inv-FC W Multi-Index Balanced,1.0411,1.0380,9.50,13.94,*****,,
CFS FC W Inv-FirstChoice W Growth,1.0864,1.0821,10.40,14.13,****,,
CFS MIF-Diversified,1.8066,1.7994,8.03,12.40,**,,
DMG Diversified Portfolio,1.0590,1.0537,6.78,NAv,NAv,,
EQT Growth,1.4227,1.4127,6.78,13.90,****,,
Fiducian Balanced,1.1530,1.1472,9.04,12.89,***,,
IOOF MultiMix Balanced Growth Trust,1.0558,1.0500,10.04,13.29,***,,
IOOF Profile 75,0.9601,0.9587,7.27,13.45,***,,
ipac Classic Portfolio 2,0.8748,0.8703,9.41,13.70,***,,
ipac Pathways 70,0.9343,0.9295,9.89,14.30,****,,
ipac Strat Inv Srv Inflation Plus 4,1.0453,1.0400,8.89,13.26,***,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.3669,1.3642,7.74,12.13,**,,
North Index Balanced,0.8141,0.8118,9.59,13.80,****,,
North Multi Manager Active Growth,0.8461,0.8419,11.13,16.94,*****,,
North Multi Manager Balanced,0.9332,0.9292,9.84,14.81,****,,
North Select Active Balanced,1.1490,1.1432,10.50,14.78,****,,
OnePath OA IP-OP Tax Effective Inc NE,1.5706,1.5706,4.09,11.14,*,,
Perpetual Wholesale Balanced Growth,1.4970,1.4920,9.21,14.52,*****,,
Pre Select Growth,1.2317,1.2281,9.38,14.33,****,,
Russell Balanced A,0.9328,0.9285,9.09,13.47,****,,
Russell Balanced Class C,1.0015,0.9968,8.84,13.24,***,,
SUMMIT Select - Active Balanced,1.0110,1.0062,10.41,14.84,*****,,
