Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 10/9/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-13T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0457,1.0417,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0453,1.0399,9.48,11.49,**,,
Advance High Growth Multi-Blend W,1.0108,1.0046,10.61,12.91,***,,
AMP Gen-Growth,1.0404,1.0348,13.47,14.46,***,,
AMP Gen-High Growth,1.0403,1.0342,14.39,15.88,***,,
BT Class Inv Split Growth,3.0881,3.0825,15.88,18.47,***,,
BT Future Goals Retail,1.8549,1.8491,11.35,12.01,***,,
IOOF MultiMix Growth Trust,1.0562,1.0492,13.44,13.82,***,,
IOOF Profile 95,0.9214,0.9196,15.19,15.54,****,,
ipac Classic Portfolio 3,0.8569,0.8521,13.41,14.38,***,,
ipac Pathways 85,0.9771,0.9721,14.19,15.18,****,,
ipac Pathways 95,0.9284,0.9237,14.89,16.20,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1437,1.1373,13.14,14.13,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2367,1.2342,11.56,13.40,***,,
North Index Growth,0.7502,0.7480,14.13,15.22,****,,
North Index High Growth,0.6393,0.6374,15.48,17.13,****,,
Russell Growth A,0.9629,0.9582,12.20,14.00,***,,
Russell Growth C,1.0165,1.0116,11.98,13.76,***,,
SUMMIT Select - Active Growth Units,0.9882,0.9829,14.65,15.65,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0621,1.0589,7.61,8.57,***,,
AMP Gen-Moderately Defensive,1.0270,1.0230,9.94,10.65,***,,
Australian Ethical Balanced Trust,1.2946,1.2944,11.40,10.73,**,,
CFS FC Inv-FirstChoice Moderate,1.0965,1.0932,11.20,10.59,***,,
CFS FC W Inv-CFS W Balanced,1.1421,1.1387,9.65,8.98,***,,
CFS FC W Inv-FirstChoice W Moderate,1.1093,1.1060,12.18,11.56,****,,
IOOF Multi Series Balanced Trust,0.8877,0.8839,12.93,12.05,****,,
IOOF MultiMix Moderate Trust,1.0365,1.0315,10.17,10.07,***,,
IOOF Profile 55,0.9708,0.9698,10.19,10.06,***,,
