Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 3/9/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-06T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0470,1.0430,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0465,1.0411,9.35,10.14,***,,
Advance High Growth Multi-Blend W,1.0117,1.0055,10.53,11.35,***,,
AMP Gen-Growth,1.0407,1.0351,12.10,12.75,***,,
AMP Gen-High Growth,1.0404,1.0343,13.03,13.83,***,,
BT Class Inv Split Growth,3.0821,3.0765,13.34,15.87,***,,
BT Future Goals Retail,1.8558,1.8500,10.70,10.64,***,,
IOOF MultiMix Growth Trust,1.0565,1.0495,12.67,12.06,**,,
IOOF Profile 95,0.9231,0.9213,13.57,13.29,****,,
ipac Pathways 85,0.9772,0.9722,12.61,13.40,****,,
ipac Pathways 95,0.9282,0.9234,13.23,14.15,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1440,1.1376,11.56,12.36,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2390,1.2365,11.63,11.65,***,,
North Index Growth,0.7527,0.7505,13.09,13.84,****,,
North Index High Growth,0.6411,0.6391,14.40,15.28,****,,
Russell Growth A,0.9625,0.9578,11.54,12.27,***,,
Russell Growth C,1.0161,1.0112,11.31,12.04,***,,
SUMMIT Select - Active Growth Units,0.9883,0.9830,13.28,13.92,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0625,1.0593,7.35,7.89,***,,
AMP Gen-Moderately Defensive,1.0278,1.0237,8.53,9.70,***,,
Australian Ethical Balanced Trust,1.2976,1.2973,9.63,9.78,**,,
CFS FC Inv-FirstChoice Moderate,1.0966,1.0933,9.70,9.45,***,,
CFS FC W Inv-CFS W Balanced,1.1464,1.1429,9.20,7.93,**,,
CFS FC W Inv-FirstChoice W Moderate,1.1092,1.1059,10.66,10.41,****,,
IOOF Multi Series Balanced Trust,0.8882,0.8844,11.89,10.97,***,,
IOOF MultiMix Moderate Trust,1.0368,1.0318,9.36,9.09,***,,
IOOF Profile 55,0.9722,0.9712,9.78,9.09,***,,
ipac Classic Value Portfolio,0.9759,0.9714,9.75,10.43,*****,,
