Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 26/10/2012,,,,,,,,,,,,,,,,,,,,
Performance as at: 30/9/2012,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 30/9/2012,,,,,,,,,,,,,,,,,,,,
"Processed Tuesday at 2012-10-30T16:30:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Equity Greater China,,
MAQ0441AU,1.3849,222.4300,4.54,-2.68,-4.06,,
Multisector Conservative,,
COM0020AU,1.1009,128.7700,7.31,5.82,5.36,,
Multisector Moderate,,
SBC0814AU,1.0540,123.7100,12.42,6.59,3.97,,
IOF0095AU,0.9741,"1,079.5200",9.82,6.42,NAv,,
IPA0046AU,0.8920,355.8800,11.25,6.40,2.9,,
IPA0117AU,0.8613,177.1400,10.62,6.10,2.52,,
MLC0021AU,1.0308,180.0400,10.41,5.23,2.09,,
FSF0223AU,0.9633,195.3100,8.83,5.20,2.63,,
WFS0032AU,1.0199,244.9700,10.38,5.19,2.29,,
Multisector Balanced,,
MAL0018AU,1.0439,620.6700,16.69,8.86,4.1,,
NMM0107AU,0.9342,155.3500,13.62,6.40,1.36,,
RIM0019AU,0.8997,143.3300,11.65,6.16,1.97,,
NMM0112AU,0.8471,298.3500,12.24,5.67,1.45,,
IPA0054AU,0.8091,277.5500,12.02,5.39,-0.85,,
NML0587AU,0.8930,211.8700,12.49,5.31,0.36,,
MLC0393AU,0.8744,162.7800,10.09,4.53,0.57,,
FSF0224AU,0.9218,263.3600,11.51,4.29,-0.48,,
GIO0002AU,0.5800,134.6700,9.65,3.87,1.34,,
GIO0003AU,0.8168,121.8100,10.56,3.74,0.79,,
IOF0090AU,0.7550,229.3000,11.30,3.09,-1.64,,
AUG0001AU,1.0671,238.1300,9.59,2.10,-0.94,,
Multisector Growth,,
NMM0108AU,0.8571,465.8600,15.07,5.38,-0.95,,
RIM0020AU,0.8637,174.0500,12.78,5.20,-0.18,,
SLT0001AU,1.1376,168.8200,4.95,5.15,1.72,,
IPA0047AU,0.7832,"1,355.5900",14.34,4.89,-1.49,,
NMM0113AU,0.7144,806.7600,13.87,4.87,-0.68,,
CRS0002AU,1.4491,131.2100,14.00,4.66,-0.17,,
IPA0118AU,0.7328,550.3400,13.98,4.58,-1.34,,
NML0588AU,0.8442,601.6800,13.86,4.29,-1.93,,
BTA0077AU,0.8947,181.0300,11.56,4.23,-2.13,,
MLC0023AU,1.1569,556.2100,11.92,3.98,-1.24,,
IPA0012AU,0.8753,177.0500,13.31,3.94,-2.35,,
WFS0033AU,1.0821,295.1700,13.12,3.82,-0.63,,
PWA0822AU,1.6356,900.1600,13.92,3.69,-0.19,,
ETL0103AU,1.2594,325.6300,15.10,3.30,-0.33,,
IOF0093AU,0.8765,"1,906.1700",10.57,3.23,NAv,,
SBC0815AU,1.0404,655.0100,13.48,3.23,-0.6,,
FSF0225AU,0.8931,146.3700,12.56,3.01,-2.98,,
COM0013AU,1.3663,198.8000,9.69,2.98,-0.56,,
COM0018AU,1.3882,128.9500,10.90,2.76,-1.09,,
FPS0003AU,0.9443,124.3600,11.20,2.70,-1.73,,
AMP0013AU,0.9890,138.3100,13.27,2.62,-3.07,,
FSF0022AU,1.5154,250.7400,12.13,2.18,-1.97,,
MMF0106AU,1.3935,225.6500,12.96,1.89,-4.64,,
Multisector Aggressive,,
NMM0109AU,0.7732,277.8400,15.62,4.60,-2.7,,
SLT0002AU,1.2464,182.1800,2.83,4.59,0.36,,
NMM0114AU,0.6152,481.0200,15.14,4.35,-2.41,,
IPA0048AU,0.7595,771.9500,14.96,4.20,-2.53,,
IPA0119AU,0.6688,139.3600,14.46,3.78,-2.78,,
NMM0115AU,0.5021,167.1500,16.10,3.68,-3.62,,
IPA0049AU,0.6983,121.3000,15.14,3.54,-4.32,,
NML0589AU,0.8135,446.0900,14.42,3.51,-3.64,,
MLC0024AU,0.9793,166.8200,12.76,3.27,-2.96,,
IPA0013AU,0.8875,235.3800,13.91,3.26,-3.39,,
NML0590AU,0.7830,157.2200,15.11,2.66,-4.94,,
IOF0097AU,0.8192,406.3100,10.32,2.10,NAv,,
BTA0044AU,1.4943,147.3900,10.56,1.81,-3.69,,
Australian Cash,,
SBC0811AU,1.0471,806.9400,4.24,4.37,4.92,,
NML0569AU,1.0071,185.2600,3.86,4.31,4.24,,
BWA0001AU,NAv,250.6900,3.86,3.98,4.43,,
AMF0100AU,NAv,284.1000,3.94,3.88,4.32,,
STL0001AU,NAv,380.6600,3.56,3.79,4.3,,
BTA0002AU,NAv,178.0700,3.48,3.71,4.27,,
ORD0001AU,NAv,476.6000,3.63,3.69,4.08,,
JBW0001AU,1.0000,"1,277.0000",3.42,3.68,4.23,,
PER0001AU,1.0000,658.3900,3.38,3.54,4.08,,
ETL0101AU,1.0000,128.3800,3.29,3.47,3.85,,
Australian Short Term Fixed Interest,,
IOF0091AU,1.0160,198.1400,5.73,5.78,NAv,,
RIM0037AU,1.0321,479.1500,5.39,5.71,5.24,,
ACU0011AU,1.0000,884.4900,4.24,4.67,5,,
IOF0050AU,1.0000,670.8200,3.67,3.77,4.06,,
Bonds - Australia,,
CSA0130AU,1.0682,155.0500,9.63,9.53,8.86,,
