Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 20/8/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-23T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0369,1.0329,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0372,1.0320,9.35,10.14,***,,
Advance High Growth Multi-Blend W,1.0018,0.9958,10.53,11.35,***,,
AMP Gen-Growth,1.0290,1.0234,12.10,12.75,***,,
AMP Gen-High Growth,1.0272,1.0211,13.03,13.83,***,,
BT Class Inv Split Growth,3.0430,3.0375,13.34,15.87,***,,
BT Future Goals Retail,1.8291,1.8234,10.70,10.64,***,,
IOOF MultiMix Growth Trust,1.0428,1.0360,12.67,12.06,**,,
IOOF Profile 95,0.9104,0.9086,13.57,13.29,****,,
ipac Classic Portfolio 3,0.8478,0.8431,12.06,12.67,***,,
ipac Pathways 85,0.9662,0.9612,12.61,13.40,****,,
ipac Pathways 95,0.9167,0.9120,13.23,14.15,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1315,1.1252,11.56,12.36,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2253,1.2229,11.63,11.65,***,,
North Index Growth,0.7445,0.7423,13.09,13.84,****,,
North Index High Growth,0.6332,0.6313,14.40,15.28,****,,
Russell Growth A,0.9516,0.9469,11.54,12.27,***,,
Russell Growth C,1.0047,0.9998,11.31,12.04,***,,
SUMMIT Select - Active Growth Units,0.9769,0.9716,13.28,13.92,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0565,1.0533,7.35,7.89,***,,
AMP Gen-Moderately Defensive,1.0203,1.0162,8.53,9.70,***,,
Australian Ethical Balanced Trust,1.2850,1.2848,9.63,9.78,**,,
CFS FC Inv-FirstChoice Moderate,1.0896,1.0864,9.70,9.45,***,,
CFS FC W Inv-CFS W Balanced,1.1424,1.1390,9.20,7.93,**,,
CFS FC W Inv-FirstChoice W Moderate,1.1018,1.0985,10.66,10.41,****,,
IOOF Multi Series Balanced Trust,0.8787,0.8751,11.89,10.97,***,,
IOOF MultiMix Moderate Trust,1.0285,1.0235,9.36,9.09,***,,
IOOF Profile 55,0.9641,0.9631,9.78,9.09,***,,
ipac Classic Value Portfolio,0.9696,0.9652,9.75,10.43,*****,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,1.0025,1.0015,8.08,8.52,**,,
North Index Moderately Defensive,0.9459,0.9435,9.64,10.40,****,,
Pre Select Balanced,1.1681,1.1653,10.77,10.62,*****,,
Russell Diversified 50 A,1.0441,1.0398,8.69,9.83,****,,
Schroder Real Return CPI+5% Wholesale,1.1375,1.1329,7.04,8.49,**,,
SUMMIT Select - Active Mod Defensive,1.0662,1.0620,9.63,10.81,****,,
Summit Select Income Generator,1.1413,1.1369,9.80,11.50,*****,,
The Trust Company Philanthropy,0.8600,0.8570,10.12,9.49,**,,
Multisector Growth,,
Adv Balanced Multi-Blend ARS,0.8577,0.8577,7.33,8.09,**,,
Advance Balanced Multi-Blend W,1.1262,1.1216,8.61,9.36,***,,
AMP FLI-AMP Balanced Growth,1.0904,1.0854,9.61,10.53,**,,
AMP Gen-Balanced,1.0176,1.0127,10.94,11.50,****,,
BT Active Bal WS,1.6798,1.6749,10.56,10.54,***,,
BT Investor Choice Bal Gr,1.2293,1.2251,9.24,10.17,***,,
BT Multi-Manager Bal Retail,1.0410,1.0368,7.52,8.26,*,,
CBA Balanced,NAv,1.5197,9.31,8.89,**,,
CBA Growth,NAv,1.6791,9.28,10.89,***,,
CFS FC Inv-FirstChoice Growth,1.1150,1.1106,11.44,10.69,**,,
CFS FC W Inv-CFS W Diversified,1.5987,1.5923,11.23,11.58,***,,
CFS FC W Inv-FC W Multi-Index Balanced,1.0769,1.0737,12.76,12.03,*****,,
CFS FC W Inv-FirstChoice W Growth,1.1216,1.1171,12.47,11.73,***,,
