Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 7/10/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-11T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0297,1.0257,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0277,1.0225,9.48,11.49,**,,
Advance High Growth Multi-Blend W,0.9929,0.9869,10.61,12.91,***,,
AMP Gen-Growth,1.0165,1.0111,13.47,14.46,***,,
AMP Gen-High Growth,1.0149,1.0089,14.39,15.88,***,,
BT Class Inv Split Growth,3.0549,3.0494,15.88,18.47,***,,
BT Future Goals Retail,1.8101,1.8045,11.35,12.01,***,,
IOOF MultiMix Growth Trust,1.0479,1.0411,13.44,13.82,***,,
IOOF Profile 95,0.9047,0.9029,15.19,15.54,****,,
ipac Classic Portfolio 3,0.8442,0.8395,13.41,14.38,***,,
ipac Pathways 85,0.9551,0.9503,14.19,15.18,****,,
ipac Pathways 95,0.9076,0.9030,14.89,16.20,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1173,1.1111,13.14,14.13,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2190,1.2165,11.56,13.40,***,,
North Index Growth,0.7353,0.7332,14.13,15.22,****,,
North Index High Growth,0.6251,0.6232,15.48,17.13,****,,
Russell Growth A,0.9460,0.9413,12.20,14.00,***,,
Russell Growth C,0.9985,0.9936,11.98,13.76,***,,
SUMMIT Select - Active Growth Units,0.9663,0.9611,14.65,15.65,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0500,1.0468,7.61,8.57,***,,
AMP Gen-Moderately Defensive,1.0118,1.0077,9.94,10.65,***,,
Australian Ethical Balanced Trust,1.2860,1.2857,11.40,10.73,**,,
CFS FC Inv-FirstChoice Moderate,1.0765,1.0733,11.20,10.59,***,,
CFS FC W Inv-CFS W Balanced,1.1221,1.1188,9.65,8.98,***,,
CFS FC W Inv-FirstChoice W Moderate,1.0867,1.0835,12.18,11.56,****,,
IOOF Multi Series Balanced Trust,0.8748,0.8712,12.93,12.05,****,,
IOOF MultiMix Moderate Trust,1.0309,1.0259,10.17,10.07,***,,
IOOF Profile 55,0.9544,0.9534,10.19,10.06,***,,
