Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 13/8/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-16T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0265,1.0225,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0273,1.0221,9.35,10.14,***,,
Advance High Growth Multi-Blend W,0.9905,0.9845,10.53,11.35,***,,
AMP Gen-Growth,1.0147,1.0092,12.10,12.75,***,,
AMP Gen-High Growth,1.0113,1.0053,13.03,13.83,***,,
AMP Gen-High Growth,1.0113,1.0053,13.03,13.83,***,,
BT Class Inv Split Growth,3.0034,2.9980,13.34,15.87,***,,
BT Class Inv Split Growth,3.0034,2.9980,13.34,15.87,***,,
BT Future Goals Retail,1.8006,1.7950,10.70,10.64,***,,
BT Future Goals Retail,1.8006,1.7950,10.70,10.64,***,,
IOOF MultiMix Growth Trust,1.0289,1.0221,12.67,12.06,**,,
IOOF Profile 95,0.8973,0.8955,13.57,13.29,****,,
IOOF Profile 95,0.8973,0.8955,13.57,13.29,****,,
ipac Classic Portfolio 3,0.8368,0.8321,12.06,12.67,***,,
ipac Pathways 85,0.9525,0.9477,12.61,13.40,****,,
ipac Pathways 95,0.9031,0.8985,13.23,14.15,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1157,1.1095,11.56,12.36,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2186,1.2161,11.63,11.65,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2186,1.2161,11.63,11.65,***,,
North Index Growth,0.7323,0.7302,13.09,13.84,****,,
North Index High Growth,0.6219,0.6200,14.40,15.28,****,,
Russell Growth A,0.9381,0.9336,11.54,12.27,***,,
Russell Growth C,0.9906,0.9857,11.31,12.04,***,,
Russell Growth C,0.9906,0.9857,11.31,12.04,***,,
SUMMIT Select - Active Growth Units,0.9631,0.9579,13.28,13.92,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0499,1.0467,7.35,7.89,***,,
AMP Gen-Moderately Defensive,1.0108,1.0068,8.53,9.70,***,,
Australian Ethical Balanced Trust,1.2679,1.2676,9.63,9.78,**,,
CFS FC Inv-FirstChoice Moderate,1.0736,1.0704,9.70,9.45,***,,
CFS FC W Inv-CFS W Balanced,1.1312,1.1278,9.20,7.93,**,,
CFS FC W Inv-CFS W Balanced,1.1312,1.1278,9.20,7.93,**,,
CFS FC W Inv-FirstChoice W Moderate,1.0854,1.0821,10.66,10.41,****,,
IOOF Multi Series Balanced Trust,0.8672,0.8636,11.89,10.97,***,,
IOOF MultiMix Moderate Trust,1.0194,1.0146,9.36,9.09,***,,
IOOF MultiMix Moderate Trust,1.0194,1.0146,9.36,9.09,***,,
IOOF Profile 55,0.9541,0.9531,9.78,9.09,***,,
ipac Classic Value Portfolio,0.9620,0.9576,9.75,10.43,*****,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,0.9986,0.9976,8.08,8.52,**,,
