Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 27/8/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-30T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0453,1.0413,NAv,NAv,NAv,,
Advance Growth Multi-Blend W,1.0447,1.0393,9.35,10.14,***,,
Advance High Growth Multi-Blend W,1.0106,1.0044,10.53,11.35,***,,
AMP Gen-Growth,1.0389,1.0333,12.10,12.75,***,,
AMP Gen-High Growth,1.0390,1.0329,13.03,13.83,***,,
BT Class Inv Split Growth,3.0830,3.0774,13.34,15.87,***,,
BT Future Goals Retail,1.8513,1.8455,10.70,10.64,***,,
IOOF MultiMix Growth Trust,1.0535,1.0465,12.67,12.06,**,,
IOOF Profile 95,0.9213,0.9195,13.57,13.29,****,,
ipac Pathways 85,0.9753,0.9703,12.61,13.40,****,,
ipac Pathways 95,0.9267,0.9219,13.23,14.15,****,,
ipac Strat Inv Srv Inflation Plus 6,1.1420,1.1356,11.56,12.36,***,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.2394,1.2370,11.63,11.65,***,,
North Index Growth,0.7524,0.7502,13.09,13.84,****,,
North Index High Growth,0.6411,0.6391,14.40,15.28,****,,
Russell Growth A,0.9614,0.9567,11.54,12.27,***,,
Russell Growth C,1.0150,1.0101,11.31,12.04,***,,
SUMMIT Select - Active Growth Units,0.9865,0.9812,13.28,13.92,****,,
Multisector Balanced,,
Advance Moderate Multi-Blend W,1.0609,1.0577,7.35,7.89,***,,
AMP Gen-Moderately Defensive,1.0257,1.0216,8.53,9.70,***,,
Australian Ethical Balanced Trust,1.2902,1.2899,9.63,9.78,**,,
CFS FC Inv-FirstChoice Moderate,1.0930,1.0897,9.70,9.45,***,,
CFS FC W Inv-CFS W Balanced,1.1437,1.1402,9.20,7.93,**,,
CFS FC W Inv-FirstChoice W Moderate,1.1054,1.1021,10.66,10.41,****,,
IOOF Multi Series Balanced Trust,0.8865,0.8827,11.89,10.97,***,,
IOOF MultiMix Moderate Trust,1.0344,1.0294,9.36,9.09,***,,
IOOF Profile 55,0.9706,0.9696,9.78,9.09,***,,
ipac Classic Value Portfolio,0.9744,0.9699,9.75,10.43,*****,,
