Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 30/11/2012,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/10/2012,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/10/2012,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-12-02T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Equity Australia Derivative Income,,
ZUR0538AU,0.6904,538.1700,8.83,4.34,1.02,,
HBC0011AU,0.9892,197.0800,6.27,1.93,-3.01,,
Equity Greater China,,
MAQ0441AU,1.3762,220.9600,-1.42,-3.47,-4.13,,
Multisector Conservative,,
COM0020AU,1.1068,127.3900,6.89,6.10,5.35,,
Multisector Moderate,,
SBC0814AU,1.0533,124.1200,11.99,7.42,4.31,,
IOF0095AU,0.9750,"1,086.6000",9.05,6.96,NAv,,
IPA0046AU,0.8915,357.0300,9.99,6.93,2.99,,
IPA0117AU,0.8603,180.1500,9.28,6.59,2.6,,
MLC0021AU,1.0277,180.1600,9.60,5.96,2.21,,
WFS0032AU,1.0167,244.9700,9.15,5.84,2.39,,
FSF0223AU,0.9648,192.9100,7.72,5.68,2.65,,
Multisector Balanced,,
MAL0018AU,1.0493,621.5400,9.37,9.21,3.58,,
NMM0107AU,0.9316,155.9600,11.61,7.36,1.49,,
RIM0019AU,0.8956,141.1300,8.83,6.84,2.08,,
NMM0112AU,0.8429,316.7600,10.59,6.65,1.51,,
NML0587AU,0.8896,213.6200,10.50,6.28,0.46,,
IPA0054AU,0.8062,277.7000,10.21,6.26,-0.78,,
FSF0224AU,0.9212,261.9000,9.15,5.22,-0.43,,
MLC0393AU,0.8687,161.3800,7.59,5.08,0.54,,
GIO0003AU,0.8090,121.9300,8.54,4.66,0.69,,
GIO0002AU,0.5735,133.9600,8.11,4.59,1.17,,
IOF0090AU,0.7492,238.4400,9.43,4.40,-1.58,,
AUG0001AU,1.0634,240.2700,7.84,3.07,-0.88,,
Multisector Growth,,
NMM0108AU,0.8528,465.9800,12.13,6.59,-0.83,,
NMM0113AU,0.7091,840.3200,11.32,6.14,-0.62,,
RIM0020AU,0.8584,172.0800,8.59,6.06,-0.13,,
IPA0047AU,0.7789,"1,364.4100",11.50,6.05,-1.37,,
IPA0118AU,0.7285,548.7100,11.24,5.75,-1.2,,
CRS0002AU,1.4384,129.5800,10.87,5.61,-0.28,,
SLT0001AU,1.1339,166.1200,5.22,5.54,1.62,,
NML0588AU,0.8392,601.9500,10.99,5.49,-1.85,,
IPA0012AU,0.8699,174.5100,10.50,5.09,-2.24,,
WFS0033AU,1.0742,295.1700,10.51,5.00,-0.45,,
PWA0822AU,1.6162,903.5600,11.50,4.99,-0.31,,
BTA0077AU,0.8877,181.0300,7.99,4.98,-2.08,,
MLC0023AU,1.1481,557.2100,8.40,4.77,-1.27,,
ETL0103AU,1.2447,331.2200,11.35,4.67,-0.18,,
SBC0815AU,1.0315,658.1400,10.43,4.47,-0.34,,
IOF0093AU,0.8712,"1,920.1700",8.43,4.35,NAv,,
FSF0225AU,0.8910,146.3400,9.31,4.24,-2.92,,
COM0018AU,1.4016,128.3900,7.82,4.19,-0.87,,
COM0013AU,1.3793,197.3200,7.56,4.04,-0.26,,
FPS0003AU,0.9365,125.1000,8.21,3.95,-1.64,,
AMP0013AU,0.9874,139.5100,10.24,3.76,-3.06,,
MMF0106AU,1.3718,227.5300,10.75,3.35,-4.38,,
FSF0022AU,1.5057,250.2500,8.88,3.25,-1.93,,
Multisector Aggressive,,
NMM0109AU,0.7683,277.4900,12.11,5.99,-2.6,,
NMM0114AU,0.6098,494.3600,11.88,5.83,-2.36,,
IPA0048AU,0.7543,775.4200,11.46,5.53,-2.45,,
SLT0002AU,1.2385,181.2200,3.62,5.29,0.35,,
NMM0115AU,0.4968,170.2400,11.90,5.24,-3.55,,
IPA0119AU,0.6642,139.1500,11.04,5.13,-2.67,,
IPA0049AU,0.6930,121.4200,11.13,5.00,-4.25,,
NML0589AU,0.8075,447.1100,10.95,4.91,-3.59,,
IPA0013AU,0.8806,233.4300,10.42,4.57,-3.31,,
MLC0024AU,0.9713,165.4300,8.35,4.20,-2.99,,
NML0590AU,0.7759,157.8200,10.97,4.20,-4.93,,
IOF0097AU,0.8113,410.3700,7.95,3.58,NAv,,
BTA0044AU,1.4760,147.3900,7.64,2.84,-3.54,,
Australian Cash,,
SBC0811AU,1.0472,796.6200,4.16,4.40,4.87,,
FSF1009AU,NAv,287.9100,3.90,4.32,NAv,,
NML0569AU,1.0061,182.2000,3.73,4.30,4.23,,
AMF0100AU,NAv,284.1000,4.07,3.98,4.32,,
BWA0001AU,NAv,262.8800,3.76,3.98,4.38,,
STL0001AU,NAv,376.4000,3.44,3.79,4.25,,
AUX0001AU,1.0000,359.3000,3.63,3.79,4.09,,
BTA0002AU,NAv,178.0700,3.36,3.72,4.22,,
ORD0001AU,NAv,484.7700,3.52,3.70,4.03,,
JBW0001AU,1.0000,"1,309.0900",3.30,3.68,4.17,,
PER0001AU,1.0000,658.3900,3.26,3.55,4.02,,
ETL0101AU,1.0000,120.1500,3.17,3.48,3.79,,
Australian Short Term Fixed Interest,,
IOF0091AU,1.0207,199.7800,5.91,5.81,NAv,,
RIM0037AU,1.0368,481.9700,5.54,5.67,5.28,,
ACU0011AU,1.0000,924.4600,4.11,4.67,4.95,,
IOF0050AU,1.0000,674.7900,3.59,3.79,4.01,,
Bonds - Australia,,
CSA0130AU,1.0597,157.0500,10.25,9.36,8.9,,
CRS0004AU,1.1712,506.9900,9.98,9.19,8.7,,
RIM0005AU,1.0789,741.0100,10.75,9.16,8.56,,
SBC0813AU,1.1229,703.0800,10.75,8.47,8.42,,
TYN0104AU,1.1008,165.5900,9.33,8.31,8.21,,
STT0010AU,1.0464,244.2400,8.66,7.74,NAv,,
AUS0009AU,1.0511,737.4700,9.19,7.49,7.67,,
High Yield Credit,,
CSA0046AU,0.9984,"1,761.8900",13.41,12.73,9.13,,
Bonds - Global,,
RIM0007AU,1.0758,510.1500,14.47,12.08,9.95,,
Bonds - Global / Australia,,
IOF0096AU,1.0161,127.5700,10.59,9.28,NAv,,
MAQ0274AU,1.0323,"1,122.2700",11.08,9.14,7.42,,
SBC0007AU,0.8999,607.2800,11.03,8.82,8.58,,
WFS0379AU,1.0034,215.5600,10.28,8.05,6.33,,
Mortgages,,
TPT0003AU,NAv,166.8800,6.17,6.12,6.43,,
TPT0002AU,NAv,277.9200,6.21,5.95,5.99,,
TPT0001AU,NAv,255.4800,5.86,5.49,5.69,,
STL0002AU,NAv,957.7600,4.94,5.23,5.54,,
AUS0020AU,1.0000,328.6000,4.18,4.79,5.15,,
NML0317AU,1.0000,205.5500,4.38,4.44,4.88,,
HOW0005AU,1.0005,215.5800,3.42,4.22,5.05,,
HOW0001AU,1.0000,467.1500,2.99,3.80,4.62,,
PER0002AU,0.9773,170.0700,0.93,2.78,3.6,,
Mortgages Aggressive,,
LTC0002AU,1.0000,189.0900,7.70,7.83,7.82,,
AUS0003AU,1.0000,144.9100,0.19,1.94,3.33,,
Multi-Strategy Income,,
CSA0038AU,1.0010,480.3600,15.23,13.74,7.8,,
NMF0007AU,1.0821,155.1900,10.03,8.22,NAv,,
IOF0145AU,1.0809,306.4500,7.84,7.45,NAv,,
NAv,1.0483,"1,047.2700",7.89,6.72,6.88,,
HOW0052AU,1.2063,142.5700,7.56,6.29,6.5,,
CSA0029AU,1.1914,148.9100,4.48,5.79,5.94,,
Diversified Credit,,
UBS0003AU,0.9558,183.4000,11.30,10.30,4.86,,
MAL0012AU,0.7519,372.1400,14.83,9.40,1.1,,
MAQ0277AU,0.9988,857.8800,7.42,7.35,6.06,,
Equity Australia Real Estate,,
APN0008AU,1.2680,301.4800,28.35,12.63,NAv,,
NAv,0.6497,181.3500,30.81,10.76,-8.77,,
SBC0816AU,0.6850,199.5000,30.91,9.94,-14.95,,
HBC0008AU,0.5878,130.4900,29.78,9.88,-9.46,,
PAL0002AU,0.5948,258.5000,29.86,9.74,-12.11,,
APN0004AU,0.8703,120.1100,22.85,9.47,-11.84,,
MLC0013AU,0.6347,116.8300,28.90,9.46,-9.14,,
Equity Global Real Estate,,
MGL0010AU,0.5961,222.7000,17.88,17.58,-3.42,,
