Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 13/2/2013,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/1/2013,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/1/2013,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-02-17T16:30:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Bonds - Inflation-linked,,
Aberdeen Inflation Linked Bond,1.0265,1.0224,7.17,10.23,NAv,,
Commodities & Precious Metals,,
Baker Steel Gold,0.7273,0.7236,-31.27,-2.59,NAv,,
Equity Global Resources,,
CFS MIF-Global Resources,1.1479,1.1411,-13.45,-4.58,NAv,,
Equity Australia Derivative Income,,
Merlon WS Australian Share Income,1.0853,1.0809,17.49,4.89,***,,
Zurich Investments Equity Income,0.7397,0.7375,15.28,6.62,****,,
Equity Greater China,,
Premium China,1.5831,1.5753,14.57,2.04,***,,
Multisector Conservative,,
CBA Income,NAv,1.1047,8.11,5.80,***,,
IOOF MultiMix Capital Stable Trust,1.0232,1.0222,9.46,7.53,*****,,
Multisector Moderate,,
AMP Gen-Defensive,0.9416,0.9389,10.57,6.91,***,,
BT Investor Choice Mod Gr,1.0390,1.0366,9.43,6.16,***,,
BT Multi-Manager Cons Retail,0.9193,0.9174,8.80,6.35,**,,
CFS FC Inv-FirstChoice Conservative,0.9944,0.9914,8.86,6.03,***,,
CFS MIF-Conservative,1.1444,1.1421,7.32,4.35,**,,
Fiducian Capital Stable,0.9416,0.9392,9.28,6.08,***,,
IOOF MultiMix Conservative Trust,0.9949,0.9923,10.63,7.30,****,,
ipac Classic Portfolio 1,0.8837,0.8810,10.71,7.00,***,,
ipac Pathways 30,0.9141,0.9113,11.38,7.38,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.0629,1.0618,10.73,6.41,**,,
Profile Preservation Portfolio,1.0593,1.0540,10.47,NAv,NAv,,
SUMMIT Select - Passive Defensive Units,0.9312,0.9284,9.98,7.16,****,,
UBS Defensive Investment,1.0967,1.0934,14.59,8.08,*****,,
Multisector Balanced,,
Access Pre Select Balanced,0.9864,0.9840,12.46,6.76,***,,
AMP FLI-AMP Monthly Income No 2,0.5910,0.5875,11.58,5.88,****,,
AMP FLI-AMP Monthly Income No 3,0.8426,0.8375,12.65,6.12,****,,
AMP Gen-Moderately Defensive,0.9320,0.9282,13.59,7.34,***,,
ANZ OA IP-Vanguard Balanced Index EF,1.0364,1.0338,11.54,NAv,NAv,,
Australian Ethical Balanced Trust,1.0953,1.0930,11.59,4.10,**,,
BlackRock Global Allocation Aus D,1.1183,1.1116,11.91,9.77,*****,,
BT Class Inv Balanced Returns,1.4742,1.4705,10.09,4.69,**,,
CFS FC Inv-FirstChoice Moderate,0.9746,0.9717,12.63,6.31,**,,
CFS MIF-Balanced,1.2562,1.2524,8.00,3.45,*,,
IOOF Multi Series Balanced Trust,0.7973,0.7939,14.45,5.91,*,,
ipac Classic Value Portfolio,0.8531,0.8491,13.82,7.36,***,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,0.9142,0.9133,11.08,5.95,***,,
Netwealth Index Opportunities Balanced,0.8441,0.8407,15.39,8.17,****,,
Plan B Market 55,1.3185,1.3178,10.79,5.25,***,,
Profile 55,0.8819,0.8815,11.95,6.40,****,,
Select Dynamic Allocation Portfolio,1.0850,1.0826,11.82,NAv,NAv,,
SUMMIT Select - Active Mod Defensive,0.9739,0.9700,14.72,8.44,****,,
SUMMIT Select - Passive Mod Defensive,0.8787,0.8755,12.86,7.56,****,,
Summit Select Income Generator,1.0544,1.0503,14.83,NAv,NAv,,
UBS Tactical Beta Fund - Balanced,1.0693,1.0661,NAv,NAv,NAv,,
Ventura Diversified 50,0.9406,0.9364,12.65,7.80,****,,
Multisector Growth,,
Aberdeen Multi-Asset Real Return,1.4890,1.4830,13.14,5.98,***,,
Access Pre Select Growth,0.9667,0.9638,15.49,7.02,***,,
AMP FLI-AMP Balanced Growth,1.0569,1.0521,15.55,5.56,**,,
AMP FLI-Future Directions Balanced,0.9665,0.9625,12.34,5.51,*,,
AMP Gen-Balanced,0.8971,0.8928,15.75,7.18,***,,
ANZ OA IP-OP Tax Effective Income NE,0.9411,0.9377,16.01,5.47,*,,
BlackRock W Balanced,1.7161,1.7101,14.97,6.74,****,,
BT Class Inv Tax Effective Income NE,NAv,0.9730,13.30,5.74,****,,
BT Investor Choice Bal Gr,1.1283,1.1244,13.48,6.32,***,,
BT Investor Choice Dynamic Growth,1.0728,1.0686,14.37,5.45,**,,
BT Multi-Manager Bal Retail,0.9442,0.9404,12.57,6.35,**,,
CBA Balanced,NAv,1.4273,10.99,4.96,***,,
CBA Growth,NAv,1.4700,13.98,5.35,***,,
CFS FC Inv-FirstChoice Growth,0.9633,0.9594,14.61,5.92,*,,
CFS MIF-Diversified,1.6115,1.6051,13.12,4.56,*,,
EQT Growth,1.3615,1.3560,19.37,7.21,****,,
Fiducian Balanced,1.0003,0.9953,12.94,5.64,***,,
Fiducian Growth Fund,1.0505,1.0447,14.19,5.59,***,,
IOOF MultiMix Balanced Growth Trust,0.9285,0.9233,13.63,5.94,***,,
ipac Classic Portfolio 2,0.7782,0.7742,15.81,7.30,***,,
ipac Pathways 70,0.8316,0.8274,16.18,7.70,***,,
ipac Strat Inv Srv Inflation Plus 4,0.9308,0.9260,15.16,6.73,**,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.2322,1.2297,13.94,6.26,***,,
OnePath OA IP-OP Tax Effective Inc EF,1.4807,1.4807,16.73,6.25,**,,
OnePath OA IP-OP Tax Effective Inc NE,1.4807,1.4807,15.82,5.37,*,,
Perpetual WFIA-Perpetual Bal Grth,1.4580,1.4530,15.94,7.09,****,,
Plan B Market 75,1.4803,1.4793,13.42,5.37,***,,
Profile 75,0.8516,0.8510,14.56,6.27,****,,
Profile Accumulation Portfolio,1.0456,1.0404,13.79,NAv,NAv,,
Russell Foundation IV A,0.8741,0.8697,14.20,7.32,****,,
Select Defensive Portfolio,1.1706,1.1648,6.52,5.85,****,,
SUMMIT Select - Active Balanced,0.9097,0.9054,16.95,8.30,****,,
SUMMIT Select - Passive Balanced Units,0.7534,0.7505,15.48,7.63,****,,
Suncorp Growth NEF,13.4559,13.3834,15.45,5.40,**,,
UBS Balanced Investment,1.1232,1.1187,16.20,6.13,***,,
Vanguard LifeStrategy Growth,1.2679,1.2638,15.28,7.08,****,,
Ventura Growth 70,0.9178,0.9132,14.46,7.60,****,,
Zurich Investments Managed Growth,1.2979,1.2943,15.91,6.70,****,,
Multisector Aggressive,,
AMP Gen-Growth,0.8767,0.8720,17.21,7.02,***,,
AMP Gen-High Growth,0.8533,0.8483,18.64,6.68,**,,
BT Future Goals Retail,1.5986,1.5936,12.38,4.54,**,,
BT Multi-Manager Gr Retail,0.9618,0.9570,13.63,6.09,**,,
IOOF MultiMix Growth Trust,0.8798,0.8740,14.95,5.50,**,,
ipac Classic Portfolio 3,0.7210,0.7169,17.14,7.17,***,,
ipac Pathways 85,0.8180,0.8134,17.65,7.60,****,,
ipac Pathways 95,0.7590,0.7544,18.32,7.31,***,,
ipac Strat Inv Srv Inflation Plus 6,0.9569,0.9516,16.58,6.63,***,,
ipac Strat Inv Srv Inflation Plus 7,0.6734,0.6693,17.24,6.31,**,,
ipac-Classic Enhanced Growth Portfolio,0.9177,0.9142,14.98,7.27,*****,,
MLC UT/MKey InvSerHorizon 5 - Growth,1.0547,1.0526,15.49,6.06,***,,
Russell High Growth C,0.9110,0.9058,15.33,6.03,**,,
Russell V A,0.8510,0.8464,15.36,6.58,****,,
Select Growth Portfolio,1.2986,1.2922,6.21,5.71,****,,
SUMMIT Select - Active Growth Units,0.8324,0.8279,18.43,8.12,****,,
SUMMIT Select - Active High Growth Units,0.7820,0.7774,19.88,7.78,***,,
SUMMIT Select - Passive Growth Units,0.6576,0.6550,17.46,7.73,****,,
SUMMIT Select - Passive High Growth,0.5447,0.5424,19.21,7.60,***,,
Vanguard LifeStrategy High Growth,1.3467,1.3422,17.71,6.88,***,,
Australian Cash,,
Adelaide Cash Management Trust,NAv,NAv,3.66,3.93,***,,
AET Cash Deposit,1.0000,1.0000,3.33,3.80,**,,
BT Cash Management,NAv,NAv,3.00,3.67,**,,
BT Investor Choice Cash Management,NAv,NAv,2.96,3.63,**,,
BT Premium Cash,NAv,NAv,3.63,4.27,***,,
BWA Cash Management Trust,NAv,NAv,4.73,7.21,NAv,,
CFS Cash Management Trust,1.0000,1.0000,3.02,3.48,**,,
CFS FC Inv-CFS Cash,1.0010,1.0010,3.26,3.92,***,,
CFS FC Inv-FirstRate Saver,NAv,NAv,3.55,4.27,NAv,,
