Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 13/4/2012,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/3/2012,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/3/2012,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-04-15T20:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Conservative,,
IOF0094AU,0.9998,48.9400,5.73,8.93,NAv,,
FSF0227AU,0.9674,33.4000,6.17,7.46,4.54,,
COM0020AU,1.0758,138.6100,4.66,7.36,5.02,,
BTA0041AU,0.9224,25.7700,4.86,7.00,1.71,,
WFS0003AU,0.9919,21.3300,4.16,6.72,2.95,,
Multisector Moderate,,
RIM0023AU,0.9103,39.0200,5.01,11.00,3.71,,
RIM0018AU,0.9554,58.4000,4.83,10.64,4.2,,
IPA0046AU,0.8566,351.4900,4.38,10.24,2.74,,
NET0004AU,0.8786,17.0000,5.04,10.13,3.62,,
NMM0106AU,0.9454,47.2600,4.87,9.79,3.32,,
IPA0117AU,0.8293,164.5500,4.07,9.70,2.4,,
RIM0026AU,0.8771,13.2800,3.59,9.52,2.34,,
CRS0001AU,0.9290,27.8400,3.80,9.28,1.79,,
IPA0011AU,0.9036,25.0700,3.37,9.18,1.79,,
BTA0078AU,0.8705,81.0900,3.16,9.14,1.57,,
SBC0814AU,1.0075,130.5400,6.36,9.07,3.28,,
NML0586AU,0.8841,81.7700,3.80,8.72,2.28,,
ADV0022AU,1.0461,11.2100,2.92,8.41,3.38,,
Multisector Balanced,,
MAL0018AU,1.0189,566.2900,4.31,15.55,5.5,,
MAL0029AU,0.8503,44.4100,4.14,15.33,5.22,,
MAL0017AU,1.0106,22.4600,3.95,15.14,5.01,,
IPA0054AU,0.7675,283.8300,1.76,11.17,-0.82,,
NMM0107AU,0.8907,153.2000,3.43,11.16,1.43,,
RIM0019AU,0.8797,160.7600,2.55,11.16,1.88,,
NET0002AU,0.7645,58.0000,2.70,10.80,1.74,,
FSF0224AU,0.8885,282.6800,0.92,10.16,-0.33,,
NML0587AU,0.8510,213.9200,2.37,10.05,0.42,,
NMM0112AU,0.8102,209.0000,3.54,9.52,1.58,,
Multisector Growth,,
IOF0126AU,0.8413,10.3200,-1.48,16.29,NAv,,
RIM0024AU,0.7972,114.1900,0.92,12.46,0.33,,
RIM0020AU,0.8428,193.9200,0.63,11.99,0.08,,
MAQ0013AU,1.0628,51.2000,1.94,11.86,1.9,,
NMM0108AU,0.8102,484.0700,1.14,11.62,-0.58,,
NET0006AU,0.6021,46.9000,0.75,11.47,-0.5,,
BTA0077AU,0.8709,187.7500,-0.33,11.32,-1.93,,
Multisector Aggressive,,
FPS0014AU,1.3965,31.6700,-3.11,14.64,NAv,,
UGF0001AU,1.1947,29.1500,-5.60,14.00,1.14,,
IPA0072AU,0.8445,68.7900,3.66,13.29,NAv,,
MAQ0014AU,1.0237,10.2100,-0.80,13.15,0.65,,
RIM0025AU,0.7635,71.4700,-1.58,12.56,-1.39,,
RIM0030AU,0.8054,58.7300,-2.50,12.52,-2.96,,
FSF0226AU,0.7075,34.8700,-4.29,12.31,-3.95,,
NMM0110AU,0.6770,107.2000,-1.86,12.30,-3.38,,
NMM0109AU,0.7307,286.4500,-0.27,12.20,-2.07,,
NMM0115AU,0.4749,165.0100,-1.62,11.93,-2.81,,
Australian Cash,,
NML0569AU,1.0120,178.6300,4.08,4.58,4.37,,
SBC0811AU,1.0459,844.3800,4.70,4.21,5.17,,
BTA0129AU,1.0000,11.4300,4.63,4.17,5.13,,
BTA0173AU,NAv,120.5600,4.63,4.17,5.13,,
CRS0009AU,0.9858,387.3100,4.65,4.14,5,,
FSF0032AU,1.0099,39.4800,4.39,4.04,4.88,,
NUN0025AU,1.0217,22.3300,3.72,4.03,4.27,,
VAN0100AU,0.9995,19.8000,4.52,3.94,5.11,,
FSF0228AU,1.0009,89.2100,4.24,3.89,4.71,,
FSF0001AU,1.0000,90.1600,4.34,3.83,4.86,,
Australian Short Term Fixed Interest,,
IOF0091AU,1.0083,183.5800,5.45,6.42,NAv,,
RIM0037AU,1.0241,329.0100,5.00,6.10,5.47,,
SBC0812AU,1.0225,111.3800,5.19,6.06,5.29,,
AUG0003AU,0.9872,45.4700,4.76,5.18,4.68,,
FPS0001AU,1.0092,76.6100,4.66,5.13,5.02,,
UBS0001AU,1.0043,47.0600,4.62,4.13,5.1,,
Bonds - Australia,,
CSA0130AU,1.0560,134.5200,10.26,9.16,7.82,,
CRS0008AU,1.0715,151.1400,15.78,9.11,7.26,,
CRS0004AU,1.1621,476.1800,9.36,9.00,7.58,,
RIM0005AU,1.0636,664.9500,9.36,8.24,7.3,,
PPL0114AU,50.7286,85.4100,10.51,7.45,7.22,,
STT0010AU,1.0338,233.5700,8.94,7.02,NAv,,
ANZ0023AU,1.2133,11.7300,10.25,6.74,6.25,,
SBC0813AU,1.0981,659.8900,8.98,6.72,7.23,,
WFS0214AU,1.4317,17.8800,9.46,6.68,6.26,,
WFS0013AU,1.4317,34.4600,9.46,6.68,6.25,,
High Yield Credit,,
CSA0102AU,0.9074,44.6300,7.44,25.72,9.28,,
CSA0046AU,0.9834,"1,321.2800",7.33,22.10,8.01,,
CSA0048AU,0.9163,38.8600,7.18,21.91,7.82,,
Bonds - Global,,
NML0581AU,1.0062,23.8800,8.17,14.02,8,,
RIM0007AU,1.0434,460.6800,13.03,13.78,8.46,,
AMP0694AU,0.7259,19.2700,7.25,12.25,4.76,,
SBC0819AU,0.8849,39.4900,9.75,9.88,5.33,,
PWA0825AU,0.9890,64.0700,10.14,9.50,7.44,,
NML0576AU,0.8677,38.3800,10.32,7.95,7.28,,
CRS0006AU,1.1677,76.7000,10.12,7.09,7.74,,
Bonds - Global / Australia,,
IOF0096AU,0.9954,91.1500,8.49,9.81,NAv,,
FSF0219AU,0.9920,51.5200,9.13,9.05,6.33,,
CSA0104AU,0.9754,15.4900,11.44,8.84,8.04,,
SBC0007AU,0.8694,528.7100,8.49,8.79,7.35,,
MAQ0274AU,0.9874,"1,010.2900",7.50,8.75,6.26,,
BTA0311AU,0.9703,12.0400,7.81,8.61,NAv,,
FSF0229AU,1.0076,33.7900,5.47,8.58,5.65,,
VAN0101AU,1.0737,62.0000,10.41,7.54,7.47,,
WFS0379AU,0.9610,214.4300,6.12,7.46,5.1,,
Mortgages,,
LTC0001AU,1.0000,96.1700,6.38,6.07,6.36,,
MRN0003AU,1.0016,42.7200,5.96,6.00,6.6,,
STL0002AU,NAv,988.9500,5.57,5.04,5.78,,
WFS0381AU,0.9835,15.4300,3.15,4.95,3.54,,
AUS0020AU,1.0000,406.4500,4.96,4.88,5.43,,
HOW0005AU,1.0009,337.7000,5.46,4.44,5.57,,
NML0570AU,0.7510,54.1000,4.71,4.22,5.1,,
Mortgages Aggressive,,
TGY0003AU,NAv,10.0000,8.71,7.83,NAv,,
LTC0002AU,1.0000,152.0300,8.03,7.77,7.83,,
FPS0012AU,0.5839,32.6000,6.77,2.26,5.12,,
Multi-Strategy Income,,
CSA0045AU,0.9203,19.2100,1.69,26.59,6.29,,
CSA0038AU,0.9526,452.3100,1.94,26.58,6.38,,
JBW0118AU,0.8626,36.5200,-0.18,17.67,2.66,,
NMF0007AU,1.0172,150.3200,7.54,12.05,NAv,,
VEN0007AU,0.8143,30.8300,4.89,9.98,NAv,,
Diversified Credit,,
MAL0012AU,0.7067,425.7300,0.67,25.58,-0.19,,
MAL0014AU,0.7054,19.4700,0.48,25.35,-0.39,,
WFS0378AU,0.6770,20.7200,-0.21,24.13,-1.33,,
UBS0003AU,0.9223,188.1200,6.57,15.20,3.43,,
Equity Australia Real Estate,,
CRM0008AU,0.7214,26.6500,16.11,30.87,NAv,,
GEM0113AU,0.0901,16.5000,3.33,30.22,-45.17,,
ZUR0064AU,0.6666,13.5900,2.42,20.99,-11.54,,
APN0008AU,1.1213,203.8900,5.89,18.40,NAv,,
FPS0007AU,0.5380,53.0000,3.51,17.40,-12.65,,
NML0578AU,0.3406,13.1200,3.38,17.25,-14.99,,
PAL0002AU,0.5086,261.3000,1.79,14.97,-14.84,,
Equity Global Real Estate,,
WFS0387AU,0.6409,37.4400,6.58,33.18,-4.29,,
MGL0010AU,0.5466,257.9000,5.64,32.46,-6.36,,
AMP1073AU,0.5506,21.1800,6.09,32.32,-4.22,,
WHT0015AU,0.9690,25.1400,7.71,30.99,NAv,,
MGL0011AU,0.4772,99.3000,4.83,30.45,-7.32,,
MAQ0463AU,0.6605,32.0400,5.81,30.40,-8.55,,
FSF0666AU,0.9248,25.7500,7.51,30.22,-6.2,,
Equity Australia Large Growth,,
HOW0034AU,1.0455,48.7700,-5.13,14.39,2.55,,
AUS0030AU,0.9510,158.9700,-4.97,13.09,-1.02,,
HOW0035AU,1.0951,89.2200,-4.34,12.70,2.93,,
FSP0001AU,0.9824,59.9800,-10.58,12.55,-2.22,,
BTA0073AU,1.3934,45.9200,-5.40,12.54,-1.07,,
RIM0033AU,0.8923,17.9000,-3.76,12.18,-1.86,,
AUS0054AU,0.7000,11.8700,-7.39,11.06,NAv,,
HOW0026AU,0.7377,19.4900,-6.53,10.98,-8.5,,
PAM0001AU,1.9122,129.0900,-5.95,10.87,-4.45,,
Equity Australia Large Blend,,
PCL0005AU,1.3277,52.8000,8.51,17.09,NAv,,
WPC0005AU,1.0354,76.1000,3.31,15.77,-0.24,,
HOW0003AU,1.3658,24.2000,5.44,14.30,-0.87,,
VAN0017AU,1.0963,73.1000,2.90,14.03,-1.25,,
