Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4706.7 at 16:47 20/11/2009 Report at 22:01 Friday 20/11/2009. Processed 22:19 Friday 20/11/2009.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,134.344,40.03,102,41.36,22.10,113.63,f,2.84,4.06,45.3,130.15,30.8,-13.5,2.68,8.84,33.8,18.1
2,2,CBA,C'wlth Bank  of Aust ,80.947,52.76,-157,56.24,24.03,228,f,4.32,6.17,-14.3,328.5,16.1,-15.0,2.57,13.65,64.6,9.7
3,3,WBC,Westpac Banking,71.205,24.20,-162,27.57,14.40,116,f,4.79,6.85,-18.3,125.3,19.3,-37.4,1.95,7.89,42.8,5.6
4,4,NAB,National Aust Bank,60.123,28.69,-20,32.37,15.85,146,f,5.09,7.27,-24.7,262.7,10.9,-53.0,1.59,12.66,51.9,-4.3
5,5,ANZ,ANZ Banking Grp,54.481,21.75,-73,25.25,11.83,102,f,4.69,6.70,-25.0,170.4,12.8,12.6,1.68,10.72,55.1,-3.0
6,6,RIO,Rio Tinto Ltd,43.219,71.22,170,75.42,23.59,101.48,,1.42,2.04,7.8,46.14,154.4,74.3,1.33,-,98.0,8.7
7,7,TLS,Telstra Corp,41.062,3.30,,4.28,2.93,28,f,8.48,12.12,-,32.9,10.0,10.5,3.24,0.32,-11.5,2.6
8,8,NWS,News Corp b voting,36.857,15.74,2,16.64,8.93,5.14,,0.33,0.41,12.4,74.58,21.1,38.4,0.43,-0.04,35.1,-16.2
9,9,WPL,Woodside Pet,34.93,48.69,-27,54.32,29.05,110,f,2.26,3.23,29.8,240,20.3,77.9,5.04,11.33,38.6,12.1
10,10,WOW,Woolworths Ltd,34.701,28.00,-4,30.57,24.23,104,f,3.71,5.31,13.0,150.71,18.6,12.1,4.92,1.54,8.5,11.9
11,11,WES,Wesfarmers Ltd,33.882,29.25,135,29.75,14.244,110,f,3.76,5.37,-42.1,160,18.3,-,1.21,3.14,74.4,2.1
12,12,WDC,Westfield Grp stpld,28.501,12.35,-3,15.34,8.68,100.25,,8.12,8.12,-,-211.56,-,25.8,1.14,11.02,-10.2,-8.3
13,13,QBE,QBE Insurance Grp,23.191,22.64,14,26.66,15.01,127,p,5.61,6.09,3.3,213.9,10.6,-5.3,2.06,5.17,1.2,0.4
14,14,CSL,CSL Ltd,18.863,31.53,-24,38.52,26.85,70,,2.22,2.22,52.2,192.51,16.4,34.5,3.45,7.49,-7.2,19.0
15,15,NCM,Newcrest Min,17.336,35.84,127,37.24,22.50,15,,0.42,0.42,50.0,53,67.6,-9.5,3.98,8.95,46.7,14.9
16,16,MQG,Macq Grp Ltd,15.973,48.01,-84,58.80,15.00,126,,2.62,2.84,-46.4,243.2,19.7,-52.8,1.67,23.72,66.6,-8.3
17,17,ORG,Origin Energy,14.05,16.00,-22,17.30,12.34,50,f,3.13,4.46,100.0,791,2.0,-20.8,1.26,8.31,3.4,32.5
18,20,FMG,Fortescue Metals Grp,13.051,4.22,18,4.75,1.655,-,,-,-,-,21.9,19.3,-,12.45,0.35,104.9,57.7
