Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4803.3 at 14:41 24/12/2009  Report at 15:42 Thursday 24/12/2009. Processed 16:17 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,142.533,42.47,187,42.65,26.64,113.63,f,2.68,3.82,45.3,130.15,32.6,-13.5,2.72,8.84,38.2,20.1
2,2,CBA,C'wlth Bank  of Aust ,82.65,53.87,101,56.24,24.03,228,f,4.23,6.05,-14.3,328.5,16.4,-15.0,2.58,13.65,94.6,8.1
3,3,WBC,Westpac Banking,75.485,25.39,190,27.57,14.40,116,f,4.57,6.53,-18.3,125.3,20.3,-37.4,1.89,7.89,46.1,4.8
4,5,ANZ,ANZ Banking Grp,56.167,22.39,105,25.25,11.83,102,f,4.56,6.51,-25.0,170.4,13.1,12.6,1.65,10.72,47.2,-3.4
5,4,NAB,National Aust Bank,56.018,26.70,71,32.37,15.85,146,f,5.47,7.81,-24.7,262.7,10.2,-53.0,1.44,12.66,31.9,-8.4
6,6,RIO,Rio Tinto Ltd,44.602,73.50,241,75.42,28.401,101.48,,1.38,1.97,7.8,46.14,159.3,74.3,1.33,-,142.3,8.6
7,8,NWS,News Corp b voting,41.967,17.80,46,18.18,8.93,5.14,,0.29,0.36,23.1,74.58,23.9,38.4,0.47,-0.04,29.8,-14.6
8,7,TLS,Telstra Corp,41.809,3.36,-7,3.87,2.93,28,f,8.33,11.90,-,32.9,10.2,10.5,3.37,0.32,-2.5,0.7
9,9,WPL,Woodside Pet,35.558,47.50,-12,53.869,31.189,110,f,2.32,3.31,29.8,240,19.8,77.9,4.93,11.33,33.2,10.6
10,10,WES,Wesfarmers Ltd,35.006,30.25,93,30.28,14.81,110,f,3.64,5.19,-42.1,160,18.9,-,1.22,3.14,80.6,-0.1
11,11,WOW,Woolworths Ltd,33.995,27.42,30,30.57,24.36,104,f,3.79,5.42,13.0,150.71,18.2,12.1,4.76,1.54,5.6,7.8
12,12,WDC,Westfield Grp stpld,28.316,12.27,46,14.33,8.68,100.25,,8.17,8.17,-,-211.56,-,25.8,1.09,11.02,-0.7,-12.0
13,13,QBE,QBE Insurance Grp,25.201,24.60,2,26.66,15.01,127,p,5.16,5.60,3.3,213.9,11.5,-5.3,2.24,5.17,1.1,-0.4
14,14,CSL,CSL Ltd,19.231,32.64,149,38.52,28.43,70,,2.14,2.14,52.2,192.51,17.0,34.5,3.36,7.49,-5.6,14.7
15,15,NCM,Newcrest Min,16.998,35.14,96,39.75,27.61,15,,0.43,0.43,50.0,53,66.3,-9.5,3.79,8.95,1.3,12.2
16,16,MQG,Macq Grp Ltd,16.068,48.00,205,58.80,15.00,126,,2.63,2.84,-46.4,243.2,19.7,-52.8,1.61,23.72,64.4,-12.0
17,17,ORG,Origin Energy,14.384,16.38,-1,17.30,12.34,50,f,3.05,4.36,100.0,791,2.1,-20.8,1.29,8.31,5.1,29.5
18,19,AMP,AMP Ltd,13.685,6.68,17,6.97,3.52,30,p,4.49,5.81,-13.0,29.6,22.6,-48.3,6.30,0.67,26.9,-7.9
19,18,AXA,AXA Asia Pacific,13.56,6.56,7,6.56,2.52,18.5,p,2.82,3.24,-16.9,-7.39,-,-,4.11,0.96,37.9,-
20,20,FMG,Fortescue Metals Grp,13.556,4.38,12,4.75,1.655,-,,-,-,-,21.9,20.0,-,12.58,0.35,120.8,47.4
21,21,STO,Santos Ltd,11.631,13.99,8,16.582,12.317,42,f,3.00,4.29,5.0,236.7,5.9,30.9,2.58,-,4.0,18.5
22,22,LEI,Leighton Hldgs,11.197,37.54,80,38.99,16.15,115,f,3.06,4.38,-19.9,149.5,25.1,-3.5,4.69,7.43,39.1,26.5
23,24,SUN,Suncorp-Metway,10.79,8.49,15,9.59,4.36,40,f,4.71,6.73,-60.4,31.62,26.9,-44.8,0.80,5.11,12.1,-19.1
