Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4656.3 at 16:34 19/2/2010  Report at 13:11 Sunday 21/2/2010. Processed 14:54 Sunday 21/2/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,137.599,41.00,18,44.49,26.64,97.87,f,2.39,3.41,45.3,185.29,22.1,-13.5,2.73,8.76,43.5,17.1
2,2,CBA,C'wlth Bank  of Aust ,81.025,52.81,51,58.65,26.43,235,f,4.45,6.36,-14.3,330.4,16.0,-15.0,2.55,-,84.0,7.6
3,3,WBC,Westpac Banking,75.777,25.46,226,27.57,15.47,116,f,4.56,6.51,-18.3,125.3,20.3,-37.4,1.89,7.89,45.0,2.6
4,4,ANZ,ANZ Banking Grp,55.626,21.96,137,25.25,12.06,102,f,4.64,6.64,-25.0,170.4,12.9,12.6,1.61,10.72,63.2,-5.7
5,5,NAB,National Aust Bank,53.518,25.25,85,32.37,15.85,146,f,5.78,8.26,-24.7,262.7,9.6,-53.0,1.37,12.66,44.5,-10.2
6,6,RIO,Rio Tinto Ltd,43.085,71.00,-94,80.14,32.873,51.56,f,0.73,1.04,-62.3,307.95,23.1,-56.1,0.85,13.56,93.0,8.4
7,7,NWS,News Corp b voting,41.259,17.55,23,18.41,8.93,5.14,,0.29,0.37,23.1,74.58,23.5,38.4,0.47,0.45,74.2,-16.0
8,8,TLS,Telstra Corp,39.32,3.16,4,3.84,2.93,28,f,8.86,12.66,-,32.4,9.8,10.5,3.06,0.36,-,-2.9
9,9,WES,Wesfarmers Ltd,36.119,31.20,217,32.16,16.45,115,f,3.69,5.27,-42.1,129.9,24.0,-,1.20,3.47,68.9,-0.3
10,10,WPL,Woodside Pet,33.896,43.61,81,53.869,31.843,110,f,2.52,3.60,29.8,240,18.2,77.9,4.80,11.33,21.9,7.2
