Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4516.5 at 16:37 11/6/2010  Report at 22:00 Friday 11/6/2010. Processed 17:48 Monday 14/6/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,129.478,38.58,71,44.93,31.33,95.15,f,2.47,3.52,45.3,185.29,20.8,-13.5,2.58,8.76,13.8,5.9
2,2,CBA,C'wlth Bank  of Aust ,81.309,52.50,103,60.00,36.20,235,f,4.48,6.39,-14.3,330.4,15.9,-15.0,2.59,-,41.0,4.1
3,3,WBC,Westpac Banking,69.757,23.43,67,28.43,18.76,125,f,5.34,7.62,-18.3,138.5,16.9,-37.4,1.91,8.42,21.9,2.8
4,4,ANZ,ANZ Banking Grp,58.377,23.04,40,26.23,15.68,108,f,4.69,6.70,-25.0,144.8,15.9,12.6,1.80,9.99,46.6,-1.7
5,5,NAB,National Aust Bank,52.419,24.71,35,32.37,21.23,147,f,5.95,8.50,-24.7,199.3,12.4,-53.0,1.39,12.41,16.3,-10.1
6,6,NWS,News Corp b voting,43.293,18.33,,20.18,12.01,5.14,,0.28,0.35,23.1,74.58,24.6,38.4,0.50,0.45,38.1,-11.6
7,7,RIO,Rio Tinto Ltd,41.932,69.10,151,81.25,46.40,51.56,f,0.75,1.07,-62.3,307.95,22.4,-56.1,0.82,13.56,33.3,-2.3
8,8,TLS,Telstra Corp,39.693,3.19,9,3.71,2.88,28,f,8.78,12.54,-,32.4,9.8,10.5,3.13,0.36,2.8,-4.5
9,9,WPL,Woodside Pet,35.278,45.22,123,53.869,38.795,110,f,2.43,3.48,-17.8,259,17.5,-36.1,3.40,-,8.0,2.4
10,11,WOW,Woolworths Ltd,34.148,27.64,63,30.57,25.19,109,f,3.94,5.63,13.0,158.91,17.4,12.1,4.84,1.99,8.9,4.3
11,10,WES,Wesfarmers Ltd,33.359,28.82,-27,33.21,21.05,115,f,3.99,5.70,-42.1,129.9,22.2,-,1.19,3.47,32.6,-7.2
12,12,WDC,Westfield Grp stp,29.678,12.86,-1,14.33,10.50,94,,7.31,7.31,-11.7,-20.41,-,-19.4,1.22,10.47,21.8,-7.4
13,13,QBE,QBE Insurance Grp,19.77,19.10,9,25.70,18.42,128,p,6.70,7.28,1.6,196.5,9.7,-6.2,1.92,5.16,1.7,-10.4
14,14,CSL,CSL Ltd,18.563,33.77,95,37.56,29.27,75,,2.22,2.22,52.2,213.41,15.8,34.5,3.40,6.11,7.3,6.9
15,15,NCM,Newcrest Min,16.608,34.35,194,39.75,28.47,20,,0.58,0.58,50.0,55.4,62.0,-9.5,3.81,9.20,13.3,18.1
16,16,MQG,Macq Grp Ltd,15.409,44.72,47,58.80,34.81,186,,4.16,4.16,0.5,320.2,14.0,2.9,1.31,25.82,19.1,-14.9
17,17,ORG,Origin Energy,13.677,15.53,22,17.94,13.32,50,f,3.22,4.60,100.0,72.3,21.5,-20.8,1.23,8.48,9.4,19.8
18,18,FMG,Fortescue Metals Grp,12.77,4.11,-4,5.57,3.25,-,,-,-,-,-16.13,-,-,12.18,-,8.4,6.7
19,19,AXA,AXA Asia Pacific,11.782,5.70,-28,6.72,3.51,18.5,p,3.25,3.63,-,34.89,16.3,-,2.63,1.12,51.9,-4.8
20,20,AMP,AMP Ltd,11.748,5.67,-13,6.97,4.55,30,p,5.29,6.42,-25.0,37.1,15.3,28.9,4.46,0.80,21.9,-12.9
21,22,STO,Santos Ltd,11.239,13.50,58,16.10,11.24,42,f,3.11,4.44,8.3,52.1,25.9,-67.0,1.61,-,-5.1,4.5
22,21,FGL,Foster's Grp,11.119,5.76,11,5.89,4.93,27.25,f,4.73,6.76,3.8,19.8,29.1,1.8,2.96,0.52,17.5,1.2
23,23,SUN,Suncorp-Metway,10.70,8.35,14,9.59,6.01,35,f,4.19,5.99,-60.4,34.21,24.4,-44.8,0.81,5.43,30.0,-18.9
24,25,LGL,Lihir Gold Ltd,9.996,4.22,20,4.22,2.41,2.96,,0.70,0.70,-,-10.93,-,8.4,2.77,1.22,44.5,12.4
25,24,LEI,Leighton Hldgs,9.496,31.58,-21,41.70,21.10,120,f,3.80,5.43,-19.9,208.2,15.2,-3.5,4.06,7.52,38.7,-4.9
26,26,SGP,Stockland stp,9.389,3.94,-2,4.23,2.75,27.8,,7.06,7.07,-22.6,-47.1,-,-16.2,1.07,-,22.7,-15.6
27,28,ORI,Orica Ltd,9.386,25.99,56,27.75,18.98,98,p,3.77,4.36,3.2,102.3,25.4,0.7,2.36,1.31,24.3,0.2
28,29,CCL,Coca-Cola Amatil,8.856,11.74,49,11.90,8.37,43.5,f,3.71,5.29,11.5,60.5,19.4,10.1,5.53,1.38,42.0,11.6
29,27,BXB,Brambles Ltd,8.746,6.15,-34,8.37,5.54,25,p,4.07,4.41,-13.0,34.45,17.9,6.4,4.97,0.66,6.6,-17.2
30,31,AMC,Amcor Ltd,7.707,6.31,3,6.76,4.276,29.5,,4.68,4.68,-,20.9,30.2,0.2,2.51,2.25,41.8,2.1
31,32,OSH,Oil Search Ltd,7.706,5.89,23,6.93,4.97,4.47,,0.76,0.76,-52.7,12.86,45.8,-68.5,2.67,-,8.7,13.7
32,30,CNA,Coal & Allied Ind  ,7.697,88.90,-58,108.50,74.06,510,f,5.74,8.20,-28.2,676.2,13.1,-27.2,5.12,16.99,12.6,11.4
33,33,IAG,Insurance Aust Grp,7.193,3.46,9,4.21,3.22,14.5,f,4.19,5.99,-55.6,25.07,13.8,20.1,1.49,1.29,2.4,-11.3
