Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4942.2 at 16:42 8/1/2010  Report at 22:00 Friday 8/1/2010. Processed 12:01 Saturday 9/1/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,146.392,43.62,50,44.14,26.64,113.63,f,2.60,3.72,45.3,130.15,33.5,-13.5,2.92,8.84,48.2,21.8
2,2,CBA,C'wlth Bank  of Aust ,86.163,56.16,131,56.47,24.03,228,f,4.06,5.80,-14.3,328.5,17.1,-15.0,2.74,13.65,122.1,10.0
3,3,WBC,Westpac Banking,74.789,25.15,-15,27.57,14.40,116,f,4.61,6.59,-18.3,125.3,20.1,-37.4,2.05,7.89,69.7,6.0
4,4,NAB,National Aust Bank,57.015,26.90,-50,32.37,15.85,146,f,5.43,7.75,-24.7,262.7,10.2,-53.0,1.51,12.66,50.5,-7.3
5,5,ANZ,ANZ Banking Grp,56.357,22.25,-63,25.25,11.83,102,f,4.58,6.55,-25.0,170.4,13.1,12.6,1.74,10.72,76.9,-3.0
6,6,RIO,Rio Tinto Ltd,47.946,79.01,412,79.57,28.401,101.48,,1.28,1.83,7.8,46.14,171.2,74.3,1.48,-,142.8,11.3
7,7,TLS,Telstra Corp,42.058,3.38,-5,3.84,2.93,28,f,8.28,11.83,-,32.9,10.3,10.5,3.32,0.32,-2.9,-0.5
8,8,NWS,News Corp b voting,42.009,17.83,-8,18.41,8.93,5.14,,0.29,0.36,23.1,74.58,23.9,38.4,0.48,-0.04,50.0,-16.7
9,10,WPL,Woodside Pet,36.457,48.70,150,53.869,31.189,110,f,2.26,3.23,29.8,240,20.3,77.9,5.26,11.33,42.5,12.6
10,9,WES,Wesfarmers Ltd,36.421,31.46,19,32.16,14.81,110,f,3.50,4.99,-42.1,160,19.7,-,1.30,3.14,113.1,1.7
11,11,WOW,Woolworths Ltd,34.832,28.09,9,30.57,24.36,104,f,3.70,5.29,13.0,150.71,18.6,12.1,4.94,1.54,5.3,9.2
12,12,WDC,Westfield Grp stpld,29.332,12.71,17,14.33,8.68,100.25,,7.89,7.89,-,-211.56,-,25.8,1.18,11.02,15.0,-11.6
13,13,QBE,QBE Insurance Grp,25.39,24.77,-83,26.05,15.01,127,p,5.13,5.57,3.3,213.9,11.6,-5.3,2.26,5.17,9.6,-2.3
14,14,CSL,CSL Ltd,18.748,32.11,-38,38.52,28.43,70,,2.18,2.18,52.2,192.51,16.7,34.5,3.43,7.49,-12.6,13.6
15,15,NCM,Newcrest Min,17.51,36.20,87,39.75,27.63,15,,0.41,0.41,50.0,53,68.3,-9.5,4.02,8.95,17.3,23.8
16,16,MQG,Macq Grp Ltd,16.37,48.90,50,58.80,15.00,126,,2.58,2.79,-46.4,243.2,20.1,-52.8,1.71,23.72,93.9,-10.9
17,19,FMG,Fortescue Metals Grp,15.70,5.06,62,5.57,1.655,-,,-,-,-,21.9,23.1,-,14.98,0.35,185.9,48.8
18,17,ORG,Origin Energy,15.508,17.66,84,17.94,12.34,50,f,2.83,4.04,100.0,791,2.2,-20.8,1.39,8.31,30.4,28.7
19,20,AXA,AXA Asia Pacific,13.829,6.69,13,6.72,2.52,18.5,p,2.77,3.18,-16.9,-7.39,-,-,4.23,0.96,48.4,1.4
20,18,AMP,AMP Ltd,13.173,6.43,-34,6.97,3.52,30,p,4.67,6.04,-13.0,29.6,21.7,-48.3,6.22,0.67,28.9,-9.2
21,22,LEI,Leighton Hldgs,11.887,39.78,167,40.24,16.15,115,f,2.89,4.13,-19.9,149.5,26.6,-3.5,5.08,7.43,148.5,26.5
22,21,STO,Santos Ltd,11.881,14.29,20,16.582,12.317,42,f,2.94,4.20,5.0,236.7,6.0,30.9,2.65,-,10.6,22.1
23,23,SUN,Suncorp-Metway,11.146,8.77,8,9.59,4.36,40,f,4.56,6.52,-60.4,31.62,27.7,-44.8,0.84,5.11,32.0,-19.3
24,24,FGL,Foster's Grp,10.405,5.39,-11,5.89,4.80,27.25,f,5.06,7.22,3.8,22.8,23.6,1.8,2.77,0.46,3.5,-3.1
25,25,BXB,Brambles Ltd,9.942,7.04,26,8.37,4.08,30,p,4.26,4.52,-13.0,40.18,17.5,6.4,5.64,0.58,8.9,-17.5
26,26,SGP,Stockland stpld,9.675,4.06,11,4.19,1.955,34,,8.37,8.41,-22.6,-104.1,-,-16.2,1.11,3.61,24.3,-15.1
27,27,ORI,Orica Ltd,9.424,26.10,5,26.77,10.75,97,p,3.72,4.27,3.2,145.2,18.0,0.7,2.37,1.71,100.8,7.6
28,29,IAG,Insurance Aust Grp,8.545,4.11,8,4.21,2.94,10,f,2.43,3.47,-55.6,9.32,44.1,20.1,1.77,1.16,8.1,-9.9
29,28,CCL,Coca-Cola Amatil,8.447,11.29,-24,11.72,8.02,40.5,f,3.59,5.12,9.9,54.8,20.6,12.9,6.16,1.14,28.7,17.6
30,30,OSH,Oil Search Ltd,8.005,6.16,3,6.93,4.11,7.85,,1.27,1.27,7.3,19.77,31.2,113.4,3.48,-,44.0,22.8
31,31,LGL,Lihir Gold Ltd,7.959,3.36,8,3.77,2.41,1.62,,0.48,0.48,-,-9.97,-,54.7,1.88,1.29,7.8,3.0
32,32,AMC,Amcor Ltd,7.52,6.16,-7,6.34,3.50,34,,5.52,5.52,-,25.3,24.3,0.2,2.45,1.61,30.6,2.1
