Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, September 20, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5270.8 at 2013-09-20T16:42:05. Report at Friday, September 20, 2013. Processed Saturday at 2013-09-21T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,118.880,73.75,-7,75.00,54.85,364.00,f,4.94,7.05,9.0,477.90,15.4,8.9,2.613,20.84,39.2,19.8,,
2,2,BHP,BHP Billiton,116.873,36.39,+48,39.34,30.43,119.94,f,3.30,4.71,7.6,220.38,16.5,-24.4,1.505,13.47,14.0,.8,,
3,3,WBC,Westpac Banking,101.647,32.75,+66,34.686,24.157,170.00,f,5.19,7.42,6.4,205.00,16.0,4.5,2.199,10.71,40.7,20.3,,
4,4,ANZ,ANZ Banking Grp,85.299,31.09,+46,32.09,23.42,152.00,f,4.89,6.98,3.6,211.20,14.7,4.0,2.069,12.56,33.1,16.6,,
5,5,NAB,National Aust Bank,81.882,34.86,+133,35.29,22.97,183.00,f,5.25,7.50,4.7,192.30,18.1,-2.9,1.869,14.03,46.4,19.3,,
6,6,TLS,Telstra Corp,61.718,4.96,+4,5.15,3.84,28.00,f,5.65,8.06,-,30.70,16.2,-2.9,4.794,.35,34.1,33.6,,
7,7,WES,Wesfarmers,48.085,41.51,-10,44.25,33.63,180.00,f,4.34,6.19,9.1,195.90,21.2,6.4,1.606,4.69,26.6,13.3,,
8,8,WOW,Woolworths,43.814,35.02,-5,36.84,28.333,133.00,f,3.80,5.43,5.6,182.59,19.2,-15.8,4.711,2.60,26.5,11.4,,
9,10,WPL,Woodside Petroleum,32.067,38.92,+30,39.49,32.16,156.29,f,4.02,5.74,19.9,368.63,10.6,18.4,2.104,19.62,24.3,-.1,,
10,9,CSL,CSL,31.437,64.54,-81,69.37,43.79,105.64,,1.64,1.64,25.6,263.01,24.5,38.8,9.697,4.75,42.7,27.6,,
11,11,RIO,Rio Tinto,27.414,62.91,+55,72.30,49.81,184.67,f,2.94,4.19,15.9,-367.18,-,-38.8,.491,21.06,21.7,-4.1,,
12,12,WDC,Westfield Grp,23.851,11.00,+16,12.55,10.06,50.25,,4.57,4.57,2.3,64.24,17.1,-2.2,1.513,6.99,13.2,10.4,,
13,13,QBE,QBE Insurance Grp,18.008,14.75,-40,17.53,10.02,30.00,f,2.03,2.91,-42.5,37.23,39.6,-1.7,1.638,4.94,16.3,-.3,,
14,15,SUN,Suncorp Grp,17.009,13.22,+42,13.24,8.919,55.00,f,4.16,5.94,37.5,38.42,34.4,-31.1,1.216,6.11,52.2,20.1,,
15,14,MQG,Macquarie Grp,16.994,50.00,+120,50.33,28.17,200.00,p,4.00,4.43,42.9,270.57,18.5,21.6,1.422,29.92,84.9,17.4,,
16,16,ORG,Origin Energy,15.867,14.45,+52,14.50,9.84,50.00,,3.46,4.20,-,34.60,41.8,-16.0,1.073,6.53,32.7,1.6,,
17,18,STO,Santos,14.534,15.05,+13,15.29,10.365,30.00,f,1.99,2.85,-,54.90,27.4,-11.4,1.552,-,35.4,8.0,,
