Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4721.2 at 16:47 4/12/2009  Report at 20:00 Friday 4/12/2009. Processed 20:42 Friday 4/12/2009.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,138.942,41.40,101,42.47,26.40,113.63,f,2.74,3.92,45.3,130.15,31.8,-13.5,2.77,8.84,40.9,20.8
2,2,CBA,C'wlth Bank  of Aust ,82.788,53.96,336,56.24,24.03,228,f,4.23,6.04,-14.3,328.5,16.4,-15.0,2.63,13.65,98.6,8.9
3,3,WBC,Westpac Banking,70.735,24.04,91,27.57,14.40,116,f,4.83,6.89,-18.3,125.3,19.2,-37.4,1.93,7.89,49.5,5.6
4,4,NAB,National Aust Bank,58.956,28.10,109,32.37,15.85,146,f,5.20,7.42,-24.7,262.7,10.7,-53.0,1.56,12.66,42.6,-6.0
5,5,ANZ,ANZ Banking Grp,55.057,21.98,79,25.25,11.83,102,f,4.64,6.63,-100.0,170.4,12.9,12.6,1.70,10.72,51.6,-2.4
6,7,RIO,Rio Tinto Ltd,43.601,71.85,330,75.42,24.221,101.48,,1.41,2.02,7.8,46.14,155.7,74.3,1.35,-,144.9,8.9
7,6,TLS,Telstra Corp,42.555,3.42,3,4.28,2.93,28,f,8.19,11.70,-,32.9,10.4,10.5,3.36,0.32,-2.8,0.6
8,8,NWS,News Corp b voting,35.255,15.15,-2,16.64,8.93,5.14,,0.34,0.42,12.4,74.58,20.3,38.4,0.41,-0.04,13.4,-18.4
9,10,WPL,Woodside Pet,35.224,49.10,100,54.32,30.66,110,f,2.24,3.20,29.8,240,20.5,77.9,5.08,11.33,37.3,11.8
10,9,WOW,Woolworths Ltd,34.455,27.80,-9,30.57,24.36,104,f,3.74,5.34,13.0,150.71,18.4,12.1,4.88,1.54,8.3,8.7
11,11,WES,Wesfarmers Ltd,33.343,28.80,-1,29.95,14.244,110,f,3.82,5.46,-42.1,160,18.0,-,1.19,3.14,77.4,-0.7
12,12,WDC,Westfield Grp stpld,27.232,11.80,-8,14.33,8.68,100.25,,8.50,8.50,-,-211.56,-,25.8,1.09,11.02,-0.8,-12.1
13,13,QBE,QBE Insurance Grp,22.865,22.32,59,26.66,15.01,127,p,5.69,6.18,3.3,213.9,10.4,-5.3,2.03,5.17,-8.2,-3.5
14,15,NCM,Newcrest Min,18.526,38.30,137,39.75,24.90,15,,0.39,0.39,50.0,53,72.3,-9.5,4.25,8.95,13.6,16.6
15,14,CSL,CSL Ltd,18.298,31.06,6,38.52,26.85,70,,2.25,2.25,52.2,192.51,16.1,34.5,3.35,7.49,-5.9,14.6
